Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Braithwaite Ave, Bellingen",R1,616.9 m²,"$380,000","$390,000",2.6%
"Driscoll Cl, Bellingen",R5,1.013 ha,"$650,000","$675,000",3.9%
"Darkwood Rd, Darkwood",C4,2.035 ha,"$600,000","$575,000",-4.2%
"Elm Ave, Dorrigo",R5,6762 m²,"$375,000","$375,000",0.0%
"Myrtle St, Dorrigo",R1,682.9 m²,"$247,000","$275,000",11.3%
"Hyde St, Fernmount",R1,3642 m²,"$400,000","$440,000",10.0%
"Azalea Ave, Mylestom",R1,556.4 m²,"$494,000","$494,000",0.0%
"Joeliza Dr, Repton",R5,7000 m²,"$535,000","$535,000",0.0%
"Crescent St, Urunga",R1,771.4 m²,"$385,000","$395,000",2.6%
"Newry Island Dr, Urunga",R1,834.7 m²,"$360,000","$360,000",0.0%
"Newry Island Dr, Urunga",R1,916.9 m²,"$460,000","$460,000",0.0%
