Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Hibiscus Cl, Acacia Gardens",R2,528.4 m²,"$685,000","$820,000",19.7%
"Allen Rd, Blacktown",R2,556.4 m²,"$640,000","$735,000",14.8%
"Buckley Ave, Blacktown",R1,179.1 m²,"$450,000","$530,000",17.8%
"Chester St, Blacktown",R2,557.4 m²,"$643,000","$740,000",15.1%
"Dora St, Blacktown",R2,556.4 m²,"$625,000","$730,000",16.8%
"Flushcombe Rd, Blacktown",MU1,252.7 m²,"$1,990,000","$2,180,000",9.6%
"Sarsfield St, Blacktown",R3,640 m²,"$760,000","$760,000",0.0%
"Turner St, Blacktown",R2,2214 m²,"$2,150,000","$2,450,000",14.0%
"Brougham Cres, Bungarribee",R3,476.2 m²,"$658,000","$773,000",17.5%
"Pinehurst St, Colebee",R3,492.9 m²,"$671,000","$785,000",17.0%
"Kaban St, Doonside",R2,556.4 m²,"$535,000","$590,000",10.3%
"Milson Rd, Doonside",R2,594.4 m²,"$575,000","$670,000",16.5%
"Haddon Cl, Glenwood",R2,501.1 m²,"$876,000","$1,080,000",23.3%
"Loftus St, Grantham Farm",R2,1112.8 m²,"$450,000","$480,000",6.7%
"Buckwell Dr, Hassall Grove",R2,554.5 m²,"$500,000","$570,000",14.0%
"Iezza Pl, Kellyville Ridge",R2,465.5 m²,"$835,000","$1,000,000",19.8%
"Sutherland Ave, Kings Langley",R2,696.8 m²,"$850,000","$1,020,000",20.0%
"Rennell St, Kings Park",R2,557.5 m²,"$685,000","$820,000",19.7%
"Melba Rd, Lalor Park",R2,556.4 m²,"$650,000","$740,000",13.9%
"Forbes Rd, Marayong",R2,556.4 m²,"$610,000","$738,000",21.0%
"Excelsior Ave, Marsden Park",R2,1.094 ha,"$5,650,000","$6,500,000",15.0%
"Goodenia St, Marsden Park",R2,375 m²,"$624,000","$740,000",18.6%
"Grange Ave, Marsden Park",B4,8994 m²,"$6,990,000","$6,990,000",0.0%
"Hazelwood Ave, Marsden Park",R3,317.2 m²,"$620,000","$690,000",11.3%
"Aspinall Ave, Minchinbury",R2,610.5 m²,"$600,000","$690,000",15.0%
"Callagher St, Mount Druitt",R2,841 m²,"$650,000","$748,000",15.1%
"Luxford Rd, Mount Druitt",R4,2045 m²,"$1,800,000","$1,800,000",0.0%
"Mannikin Pl, Mount Druitt",R3,350.2 m²,"$480,000","$480,000",0.0%
"Polonia Ave, Plumpton",R2,550 m²,"$515,000","$630,000",22.3%
"Norman St, Prospect",R2,557.4 m²,"$668,000","$770,000",15.3%
"Samuel Pl, Quakers Hill",R2,8007 m²,"$6,180,000","$6,790,000",9.9%
"Ritchie St, Riverstone",R2,347.2 m²,"$660,000","$710,000",7.6%
"Kimberley St, Rooty Hill",R2,556.4 m²,"$580,000","$655,000",12.9%
"Gilroy St, Ropes Crossing",UR,332.8 m²,"$500,000","$525,000",5.0%
"Susannah Dr, Ropes Crossing",UR,4993 m²,"$139,000","$145,000",4.3%
"Pomeroy St, Schofields",C4,2.105 ha,"$1,200,000","$1,150,000",-4.2%
"Amazon Rd, Seven Hills",R2,556.4 m²,"$700,000","$800,000",14.3%
"Olive St, Seven Hills",R4,663.9 m²,"$1,100,000","$1,100,000",0.0%
"Blacksmith Cl, Stanhope Gardens",R2,450 m²,"$820,000","$960,000",17.1%
"Mayfair St, Tallawong",R2,375 m²,"$712,000","$790,000",11.0%
"Adelong Pde, The Ponds",R3,465 m²,"$1,000,000","$1,080,000",8.0%
"Valencia Cres, Toongabbie",R2,556.4 m²,"$730,000","$840,000",15.1%
"Hasselburgh Rd, Tregear",R2,575.4 m²,"$445,000","$525,000",18.0%
