Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Hat Hill Rd, Blackheath",A,701.9 m²,"$415,000","$430,000",3.6%
"Inconstant St, Blackheath",R2,758.8 m²,"$515,000","$560,000",8.7%
"Mountbatten St, Blackheath",C4,840.26 m²,"$455,000","$486,000",6.8%
"Cathy St, Blaxland",R2,600.7 m²,"$580,000","$620,000",6.9%
"Robertswood Ave, Blaxland",C4,916.9 m²,"$580,000","$610,000",5.2%
"Wattlecliffe Dr, Blaxland",R3,482.8 m²,"$430,000","$460,000",7.0%
"Edwin Rd, Bullaburra",C4,911.7 m²,"$450,000","$450,000",0.0%
"Genevieve Rd, Bullaburra",A,809.4 m²,"$418,000","$430,000",2.9%
"Great Western Hwy, Faulconbridge",A,904.2 m²,"$370,000","$400,000",8.1%
"High View Ave, Faulconbridge",R2,714.5 m²,"$440,000","$455,000",3.4%
"St Georges Cres, Faulconbridge",C4,1233 m²,"$500,000","$520,000",4.0%
"High St, Glenbrook",C4,1261 m²,"$830,000","$840,000",1.2%
"Levy St, Glenbrook",A,1012 m²,"$872,000","$920,000",5.5%
"Walters Ave, Glenbrook",R2,758.8 m²,"$760,000","$800,000",5.3%
"Roberts Pde, Hawkesbury Heights",C4,720.8 m²,"$390,000","$390,000",0.0%
"Blue Hills Rd, Hazelbrook",R2,695.6 m²,"$420,000","$425,000",1.2%
"Clear View Pde, Hazelbrook",C4,1391 m²,"$450,000","$460,000",2.2%
"Oaklands Rd, Hazelbrook",A,752.5 m²,"$470,000","$475,000",1.1%
"Albion St, Katoomba",R2,910.5 m²,"$470,000","$480,000",2.1%
"Fitzgerald St, Katoomba",A,1163 m²,"$440,000","$450,000",2.3%
"Katoomba St, Katoomba",R1,1008.95 m²,"$600,000","$560,000",-6.7%
"Minni Ha Ha Rd, Katoomba",C4,809.4 m²,"$380,000","$380,000",0.0%
"Parke St, Katoomba",R3,758.8 m²,"$520,000","$520,000",0.0%
"Waratah St, Katoomba",C4,1061.47 m²,"$470,000","$450,000",-4.3%
"Gregory Tce, Lapstone",C4,720.8 m²,"$570,000","$600,000",5.3%
"Christabel St, Lawson",A,834.7 m²,"$390,000","$400,000",2.6%
"Honour Ave, Lawson",R3,885.2 m²,"$500,000","$480,000",-4.0%
"Ridge St, Lawson",C4,1271 m²,"$470,000","$450,000",-4.3%
"Thompson St, Lawson",R2,789.15 m²,"$420,000","$445,000",6.0%
"Craigend St, Leura",A,809.4 m²,"$844,000","$800,000",-5.2%
"Highland St, Leura",C4,720.8 m²,"$490,000","$460,000",-6.1%
"Leura Mall, Leura",A,1195 m²,"$550,000","$510,000",-7.3%
"Megalong St, Leura",R2,942.2 m²,"$582,000","$550,000",-5.5%
"Vale St, Leura",C4,1170.71 m²,"$710,000","$670,000",-5.6%
"Glossop Rd, Linden",C4,739.8 m²,"$400,000","$400,000",0.0%
"Blue Gum Ave, Medlow Bath",C4,720.8 m²,"$421,000","$400,000",-5.0%
"Bellereeve Ave, Mount Riverview",R2,556.4 m²,"$455,000","$465,000",2.2%
"Panorama Cres, Mount Riverview",C4,695.6 m²,"$480,000","$500,000",4.2%
"Montgomery St, Mount Victoria",R1,796.7 m²,"$390,000","$390,000",0.0%
"Victoria St, Mount Victoria",C4,1322 m²,"$250,000","$270,000",8.0%
"Victoria St, Mount Victoria",R2,708.2 m²,"$345,000","$350,000",1.5%
"Huntley Grange Rd, Springwood",C4,948.5 m²,"$490,000","$510,000",4.1%
"Lucinda Ave, Springwood",R2,803 m²,"$530,000","$555,000",4.7%
"Macquarie Rd, Springwood",R3,984.4 m²,"$710,000","$750,000",5.6%
"Picnic Glen, Springwood",C4,696.8 m²,"$470,000","$490,000",4.3%
"Pitt St, Springwood",A,1227 m²,"$570,000","$610,000",7.0%
"Russell Ave, Valley Heights",C4,1226 m²,"$580,000","$590,000",1.7%
"Arthur St, Warrimoo",A,695.6 m²,"$420,000","$420,000",0.0%
"Rickard Rd, Warrimoo",C4,714.5 m²,"$505,000","$500,000",-1.0%
"The Boulevarde , Warrimoo",R2,746.1 m²,"$470,000","$495,000",5.3%
"Cascade St, Wentworth Falls",R2,900.9 m²,"$475,000","$480,000",1.1%
"Mclaughlin Ave, Wentworth Falls",A,856.51 m²,"$620,000","$570,000",-8.1%
"Panorama Cres, Wentworth Falls",C4,752.5 m²,"$490,000","$490,000",0.0%
"Buena Vista Rd, Winmalee",C4,1359 m²,"$460,000","$480,000",4.4%
"Muru Ave, Winmalee",R2,923.2 m²,"$440,000","$460,000",4.6%
"Oakura Ave, Woodford",C4,828.3 m²,"$470,000","$460,000",-2.1%
