Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Charles St, Bourke",R1,6443 m²,"$4,250","$4,250",0.0%
"Meek St, Bourke",R1,1012 m²,"$2,000","$2,000",0.0%
"Mitchell St, Bourke",R1,6085 m²,"$90,000","$90,000",0.0%
"Richard St, Bourke",R1,1206 m²,"$27,000","$27,000",0.0%
"Tudor St, Bourke",R1,1012 m²,"$20,000","$20,000",0.0%
"Merrere St, Byrock",RU5,2023 m²,"$2,000","$2,000",0.0%
"Dunsandle Rd, Enngonia",RU5,919.8 m²,"$2,000","$2,000",0.0%
"Aubrey St, Fords Bridge",RU5,2023 m²,"$2,000","$2,000",0.0%
"Bloxham St, Louth",RU5,2023 m²,"$4,500","$4,500",0.0%
"Darling St, North Bourke",RU5,2023 m²,"$65,000","$95,000",46.2%
"Narran St, North Bourke",R5,8094 m²,"$150,000","$180,000",20.0%
"O'Grady St, Wanaaring",RU5,1808 m²,"$3,000","$3,000",0.0%
