Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Burwood Rd, Burwood",MU1,203.8 m²,"$1,990,000","$1,710,000",-14.1%
"Burwood Rd, Burwood",MU1,234 m²,"$3,350,000","$3,480,000",3.9%
"Burwood Rd, Burwood",MU1,936.7 m²,"$11,000,000","$10,400,000",-5.5%
"Church St, Burwood",R2,473.46 m²,"$1,880,000","$2,250,000",19.7%
"George St, Burwood",MU1,6171 m²,"$47,900,000","$47,900,000",0.0%
"Gordon St, Burwood",R2,417.3 m²,"$2,070,000","$2,300,000",11.1%
"Gordon St, Burwood",R2,2335 m²,"$5,350,000","$5,350,000",0.0%
"Hornsey St, Burwood",R1,401.7 m²,"$2,100,000","$2,310,000",10.0%
"Neich Pde, Burwood",R2,404.7 m²,"$2,230,000","$2,450,000",9.9%
"Nicholson St, Burwood",R1,379.4 m²,"$1,280,000","$1,350,000",5.5%
"Oxford St, Burwood",R1,490.4 m²,"$1,880,000","$2,250,000",19.7%
"Railway Pde, Burwood",MU1,512.2 m²,"$7,730,000","$7,000,000",-9.4%
"Selborne St, Burwood",R2,1018 m²,"$3,340,000","$3,340,000",0.0%
"Sunbeam Ave, Burwood",R2,457.97 m²,"$1,730,000","$1,800,000",4.1%
"Devonshire St, Croydon",R2,581.7 m²,"$1,890,000","$2,100,000",11.1%
"Ivanhoe Rd, Croydon",R2,486.9 m²,"$1,700,000","$1,900,000",11.8%
"Boyle St, Croydon Park",R3,505.9 m²,"$1,420,000","$1,500,000",5.6%
"Eden Ave, Croydon Park",R2,366.7 m²,"$1,150,000","$1,300,000",13.0%
"Violet St, Croydon Park",R2,518.5 m²,"$1,360,000","$1,600,000",17.7%
"Baker St, Enfield",R2,442.6 m²,"$1,240,000","$1,400,000",12.9%
"The Boulevarde , Strathfield",MU1,208.7 m²,"$3,700,000","$3,700,000",0.0%
"White St, Strathfield",R2,480.6 m²,"$1,750,000","$1,850,000",5.7%
"Willee St, Strathfield",R2,569 m²,"$2,160,000","$2,310,000",6.9%
