Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Barby Cres, Bangalow",R2,763.2 m²,"$850,000","$950,000",11.8%
"Clover Hill Cct, Bangalow",R3,867 m²,"$1,120,000","$1,120,000",0.0%
"Tristania St, Bangalow",R2,638.7 m²,"$760,000","$760,000",0.0%
"Excelsior Cct, Brunswick Heads",R2,694.6 m²,"$630,000","$750,000",19.1%
"Fingal St, Brunswick Heads",R2,670.3 m²,"$1,200,000","$1,400,000",16.7%
"Harbour Way, Brunswick Heads",Z,504 m²,"$54,000","$56,000",3.7%
"South Beach Rd, Brunswick Heads",R2,505.9 m²,"$2,000,000","$2,000,000",0.0%
"Tweed St, Brunswick Heads",MU1,735.8 m²,"$1,500,000","$1,500,000",0.0%
"Brownell Dr, Byron Bay",R2,897.9 m²,"$6,800,000","$7,250,000",6.6%
"Lighthouse Rd, Byron Bay",R3,733.1 m²,"$3,870,000","$3,870,000",0.0%
"Mackay St, Byron Bay",R2,596.99 m²,"$1,230,000","$1,170,000",-4.9%
"Pacific Vista Dr, Byron Bay",R2,666 m²,"$2,900,000","$2,900,000",0.0%
"Palm Pl, Byron Bay",R2,630.1 m²,"$990,000","$990,000",0.0%
"Ruskin St, Byron Bay",R2,752.5 m²,"$2,550,000","$2,550,000",0.0%
"Coachwood Ct, Federal",RU5,2000 m²,"$580,000","$650,000",12.1%
"Main Arm Rd, Mullumbimby",R2,4.061 ha,"$4,400,000","$4,400,000",0.0%
"Station St, Mullumbimby",R2,559 m²,"$500,000","$500,000",0.0%
"Tyagarah Rd, Myocum",R5,2.062 ha,"$1,400,000","$1,300,000",-7.1%
"Durroon Ct, Ocean Shores",R3,995.5 m²,"$750,000","$750,000",0.0%
"Jarrah Cres, Ocean Shores",R2,866.3 m²,"$740,000","$740,000",0.0%
"Rajah Rd, Ocean Shores",R2,847.3 m²,"$615,000","$615,000",0.0%
"Walgooan Way, Ocean Shores",R2,790.4 m²,"$550,000","$550,000",0.0%
"Redgate Rd, South Golden Beach",A,7631 m²,"$250,000","$220,000",-12.0%
"Robin St, South Golden Beach",R2,575.4 m²,"$680,000","$630,000",-7.4%
"Midgenberry Pl, Suffolk Park",R2,709.5 m²,"$950,000","$950,000",0.0%
"Wareham St, Suffolk Park",R2,725 m²,"$1,600,000","$1,600,000",0.0%
