Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"East St, Canowindra",R1,1373 m²,"$105,000","$110,000",4.8%
"Mill St, Canowindra",R1,2023 m²,"$130,000","$135,000",3.9%
"Mayne St, Cargo",RU5,3095 m²,"$190,000","$195,000",2.6%
"Sherwin St, Cargo",R5,8094 m²,"$230,000","$240,000",4.4%
"Weemilah Pl, Clifton Grove",R5,2.001 ha,"$630,000","$630,000",0.0%
"Long St, Cudal",R5,1.795 ha,"$215,000","$240,000",11.6%
"Main St, Cudal",RU5,1404 m²,"$175,000","$190,000",8.6%
"Keay St, Cumnock",RU5,1861.5 m²,"$60,000","$60,000",0.0%
"Obley St, Cumnock",R5,4200 m²,"$57,000","$57,000",0.0%
"Camp St, Eugowra",RU5,2023 m²,"$55,000","$57,000",3.6%
"Grevillea Ave, Eugowra",RU5,1012 m²,"$54,000","$56,000",3.7%
"The Escort Way , Eugowra",R5,5.66 ha,"$175,000","$175,000",0.0%
"Derowie St, Manildra",RU5,1568 m²,"$80,000","$120,000",50.0%
"Orange Rd, Manildra",R5,8106 m²,"$130,000","$195,000",50.0%
"Euchareena Rd, Molong",R5,4532 m²,"$435,000","$435,000",0.0%
"Gidley St, Molong",R1,682.9 m²,"$200,000","$200,000",0.0%
"Hill St, Molong",R1,402.4 m²,"$110,000","$110,000",0.0%
"Mcgroder St, Molong",R5,1.033 ha,"$423,000","$423,000",0.0%
"Cable St, Moorbel",R5,3.943 ha,"$385,000","$385,000",0.0%
"Ostini Lane, Mullion Creek",R5,1.619 ha,"$480,000","$500,000",4.2%
"Carcoar St, Spring Hill",R5,2 ha,"$550,000","$570,000",3.6%
"Broken Shaft Cl, Summer Hill Creek",R5,20.76 ha,"$520,000","$520,000",0.0%
"Emmas Lane, Windera",R5,2.004 ha,"$520,000","$540,000",3.9%
"Cobar St, Yeoval",R5,2.738 ha,"$30,600","$30,600",0.0%
"King St, Yeoval",RU5,1619 m²,"$25,000","$25,000",0.0%
