Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Broughton St, Camden",MU1,657.6 m²,"$940,000","$900,000",-4.3%
"Elizabeth St, Camden",MU1,992.7 m²,"$990,000","$1,050,000",6.1%
"Little St, Camden",R2,645 m²,"$690,000","$690,000",0.0%
"Murrandah Ave, Camden",R2,720.8 m²,"$800,000","$720,000",-10.0%
"Murrandah Ave, Camden",R3,720.8 m²,"$900,000","$920,000",2.2%
"Arndell St, Camden South",R2,695.6 m²,"$650,000","$665,000",2.3%
"Flinders Ave, Camden South",R2,556.4 m²,"$570,000","$570,000",0.0%
"Furner Ave, Camden South",R2,735 m²,"$640,000","$655,000",2.3%
"Taynish Ave, Camden South",R2,904.2 m²,"$693,000","$710,000",2.5%
"Ulmarra Ave, Camden South",R2,834.7 m²,"$700,000","$660,000",-5.7%
"Chisholm Rd, Catherine Field",R5,2.026 ha,"$2,850,000","$2,850,000",0.0%
"Springfield Rd, Catherine Field",R5,4000 m²,"$1,570,000","$1,650,000",5.1%
"Cobbitty Rd, Cobbitty",R5,2002 m²,"$950,000","$1,000,000",5.3%
"Matavai St, Cobbitty",R1,381.3 m²,"$610,000","$620,000",1.6%
"Manooka Rd, Currans Hill",C4,959.4 m²,"$650,000","$700,000",7.7%
"Woolshed Pl, Currans Hill",R2,500.1 m²,"$470,000","$520,000",10.6%
"Higgins Ave, Elderslie",R1,478.8 m²,"$620,000","$620,000",0.0%
"Liz Kernohan Dr, Elderslie",R1,3927 m²,"$120,000","$140,000",16.7%
"Luker St, Elderslie",R2,769.2 m²,"$680,000","$690,000",1.5%
"Mooresfield Lane, Ellis Lane",R5,.4 ha,"$1,350,000","$1,380,000",2.2%
"Bluestone Ave, Gledswood Hills",R1,594.1 m²,"$607,000","$640,000",5.4%
"Downing Way, Gledswood Hills",R1,416.8 m²,"$577,000","$610,000",5.7%
"Gledswood Hills Dr, Gledswood Hills",R2,800 m²,"$1,100,000","$1,130,000",2.7%
"Donovan Bvd, Gregory Hills",R1,380.5 m²,"$523,000","$564,000",7.8%
"Water Gum Rd, Gregory Hills",C4,6.997 ha,"$402,000","$440,000",9.5%
"Cogrington Dr, Harrington Park",R1,779.6 m²,"$853,000","$900,000",5.5%
"Forestgrove Dr, Harrington Park",R2,707.7 m²,"$945,000","$970,000",2.7%
"Foveaux Cct, Harrington Park",R2,2542 m²,"$85,000","$100,000",17.7%
"Hughes Ave, Harrington Park",C4,703.4 m²,"$825,000","$850,000",3.0%
"The Outlook , Kirkham",R5,4000 m²,"$1,600,000","$1,650,000",3.1%
"Bringelly Rd, Leppington",B4,2.03 ha,"$13,000,000","$14,300,000",10.0%
"Camden Valley Way, Leppington",R3,1.044 ha,"$4,840,000","$5,500,000",13.6%
"Heath Rd, Leppington",R2,2.023 ha,"$6,220,000","$7,500,000",20.6%
"Melanite St, Leppington",R2,431.4 m²,"$750,000","$770,000",2.7%
"Neptune Rd, Leppington",R2,310.2 m²,"$600,000","$600,000",0.0%
"Rover St, Leppington",R2,382.5 m²,"$600,000","$630,000",5.0%
"Willowdale Dr, Leppington",R3,240.7 m²,"$470,000","$440,000",-6.4%
"Burnett Ave, Mount Annan",R2,655.6 m²,"$600,000","$600,000",0.0%
"George Caley Pl, Mount Annan",R2,709.6 m²,"$620,000","$620,000",0.0%
"Kokoda Cct, Mount Annan",R3,284.9 m²,"$18,000","$22,500",25.0%
"Kurrajong Cct, Mount Annan",R2,599.7 m²,"$630,000","$640,000",1.6%
"The Clearwater , Mount Annan",R3,360 m²,"$550,000","$550,000",0.0%
"Doncaster Ave, Narellan",R3,645 m²,"$740,000","$760,000",2.7%
"Eastlewood St, Narellan",R2,697 m²,"$615,000","$625,000",1.6%
"Ridge View Pl, Narellan",R2,560 m²,"$640,000","$645,000",0.8%
"Sirius Cct, Narellan",R2,577.5 m²,"$570,000","$590,000",3.5%
"Eskdale Cl, Narellan Vale",R2,666.2 m²,"$610,000","$625,000",2.5%
"Holdsworth Dr, Narellan Vale",R2,689.9 m²,"$580,000","$585,000",0.9%
"Manna Gum Rd, Narellan Vale",R2,777.4 m²,"$685,000","$710,000",3.7%
"Richardson Rd, Narellan Vale",R1,8435 m²,"$2,530,000","$3,000,000",18.6%
"Bowerbird Loop, Oran Park",R1,1.227 ha,"$4,550,000","$5,000,000",9.9%
"Skaife St, Oran Park",R1,450 m²,"$630,000","$655,000",4.0%
"Stratton Rd, Oran Park",R2,487.4 m²,"$570,000","$620,000",8.8%
"Millman Rd, Spring Farm",R1,390 m²,"$550,000","$565,000",2.7%
