Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Abbotsford Pde, Abbotsford",R2,651.3 m²,"$7,080,000","$7,220,000",2.0%
"Fitzroy St, Abbotsford",R3,404.7 m²,"$2,330,000","$2,450,000",5.2%
"Glen Ormond Ave, Abbotsford",R2,392 m²,"$2,180,000","$2,440,000",11.9%
"Great North Rd, Abbotsford",Z,1137 m²,"$473,000","$473,000",0.0%
"St Albans St, Abbotsford",R2,448.9 m²,"$2,840,000","$3,120,000",9.9%
"Brays Rd, Breakfast Point",R2,450 m²,"$2,300,000","$2,420,000",5.2%
"Broughton St, Concord",R3,537.5 m²,"$1,630,000","$1,700,000",4.3%
"Cabarita Rd, Concord",R2,499.5 m²,"$2,100,000","$2,300,000",9.5%
"Cormiston Ave, Concord",R2,600.7 m²,"$2,520,000","$2,720,000",7.9%
"Correys Ave, Concord",R2,531.1 m²,"$1,840,000","$2,020,000",9.8%
"Majors Bay Rd, Concord",MU1,168.66 m²,"$2,050,000","$1,950,000",-4.9%
"Shipham St, Concord",R3,522.45 m²,"$2,250,000","$2,250,000",0.0%
"Boronia St, Concord West",R2,600.7 m²,"$1,850,000","$2,040,000",10.3%
"Cavendish St, Concord West",R3,445.91 m²,"$1,840,000","$1,840,000",0.0%
"Colane St, Concord West",R2,651.3 m²,"$2,240,000","$2,340,000",4.5%
"Cary St, Drummoyne",MU1,3.616 ha,"$24,895,902","$24,895,902",0.0%
"Drummoyne Ave, Drummoyne",R3,1450 m²,"$14,100,000","$14,000,000",-0.7%
"Gipps St, Drummoyne",R2,683 m²,"$3,150,000","$3,150,000",0.0%
"Lyons Rd, Drummoyne",R3,423.7 m²,"$2,420,000","$2,420,000",0.0%
"Marlborough St, Drummoyne",R3,461.6 m²,"$1,810,000","$1,810,000",0.0%
"Renwick St, Drummoyne",R2,278.59 m²,"$1,770,000","$1,900,000",7.3%
"Therry St, Drummoyne",R2,404.71 m²,"$2,030,000","$2,190,000",7.9%
"Tranmere St, Drummoyne",R3,863 m²,"$4,670,000","$4,300,000",-7.9%
"Victoria Rd, Drummoyne",MU1,278.2 m²,"$1,830,000","$1,740,000",-4.9%
"Victoria Pl, Drummoyne",R3,657 m²,"$6,920,000","$7,200,000",4.1%
"Wrights Rd, Drummoyne",Z,163.2 m²,"$92,400","$92,400",0.0%
"East St, Five Dock",MU1,656.7 m²,"$5,350,000","$5,000,000",-6.5%
"Great North Rd, Five Dock",MU1,196 m²,"$2,210,000","$2,100,000",-5.0%
"Newcastle St, Five Dock",R2,594.4 m²,"$1,800,000","$2,000,000",11.1%
"Sutton St, Five Dock",R3,301.9 m²,"$1,580,000","$1,780,000",12.7%
"Brunswick Ave, Liberty Grove",R3,148.6 m²,"$990,000","$1,070,000",8.1%
"Bertram St, Mortlake",R1,312.04 m²,"$1,460,000","$1,600,000",9.6%
"Hilly St, Mortlake",R1,880.3 m²,"$3,350,000","$3,350,000",0.0%
"Brussels St, North Strathfield",R2,572.2 m²,"$1,900,000","$1,930,000",1.6%
"Blaxland Rd, Rhodes",R4,644.9 m²,"$3,640,000","$3,640,000",0.0%
"Blaxland Rd, Rhodes",MU1,733.5 m²,"$3,870,000","$3,870,000",0.0%
"Blaxland Rd, Rhodes",MU1,1043 m²,"$10,100,000","$10,100,000",0.0%
"Llewellyn St, Rhodes",R3,695.6 m²,"$2,270,000","$2,380,000",4.9%
"Llewellyn St, Rhodes",R2,621.3 m²,"$2,470,000","$2,590,000",4.9%
"Llewellyn St, Rhodes",R2,809.35 m²,"$6,000,000","$6,200,000",3.3%
"Shoreline Dr, Rhodes",R4,2979 m²,"$25,600,000","$24,300,000",-5.1%
"Hilts Rd, Strathfield",R4,1654 m²,"$10,500,000","$9,970,000",-5.1%
"Leicester Ave, Strathfield",R4,567.3 m²,"$2,200,000","$2,200,000",0.0%
