Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Allibone St, Ashbury",R2,486.9 m²,"$1,670,000","$1,840,000",10.2%
"Bankstown City Plza, Bankstown",B4,113.8 m²,"$1,330,000","$1,330,000",0.0%
"Bankstown City Plza, Bankstown",B4,235.44 m²,"$2,100,000","$2,100,000",0.0%
"Griffiths Ave, Bankstown",R2,575.4 m²,"$950,000","$1,020,000",7.4%
"Jacobs St, Bankstown",R2,455.3 m²,"$924,000","$998,000",8.0%
"Melanie St, Bankstown",R4,1387 m²,"$2,900,000","$3,000,000",3.5%
"Pringle Ave, Bankstown",R2,1254.1 m²,"$1,660,000","$1,800,000",8.4%
"Restwell St, Bankstown",B4,1114 m²,"$5,250,000","$4,950,000",-5.7%
"Sir Joseph Banks St, Bankstown",R4,505.9 m²,"$936,000","$1,010,000",7.9%
"Leighdon St, Bass Hill",R2,556.4 m²,"$909,000","$982,000",8.0%
"Orchard Rd, Bass Hill",R2,1732 m²,"$1,930,000","$1,930,000",0.0%
"Boronia St, Belfield",R3,556.4 m²,"$1,280,000","$1,510,000",18.0%
"Gladstone St, Belmore",R3,543.7 m²,"$1,160,000","$1,330,000",14.7%
"Plimsoll St, Belmore",R3,655.49 m²,"$1,800,000","$1,850,000",2.8%
"Browning St, Campsie",R4,1109.5 m²,"$3,150,000","$3,250,000",3.2%
"Fletcher St, Campsie",R3,487.72 m²,"$1,430,000","$1,570,000",9.8%
"Sixth Ave, Campsie",R4,505.92 m²,"$1,160,000","$1,250,000",7.8%
"James St, Canterbury",R3,559.4 m²,"$1,480,000","$1,610,000",8.8%
"Modern Ave, Canterbury",R3,600.22 m²,"$1,300,000","$1,490,000",14.6%
"Campbell Hill Rd, Chester Hill",R3,581.41 m²,"$890,000","$970,000",9.0%
"Joan St, Chester Hill",R2,505.9 m²,"$735,000","$808,000",9.9%
"Proctor Pde, Chester Hill",R2,550.1 m²,"$868,000","$929,000",7.0%
"Jarrett St, Clemton Park",R3,493.2 m²,"$1,060,000","$1,220,000",15.1%
