Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Rawson St, Aberdare",R2,1011.83 m²,"$305,000","$315,000",3.3%
"Charles St, Abermain",R2,809.4 m²,"$275,000","$285,000",3.6%
"Doyle St, Bellbird",R2,1.49 ha,"$1,800,000","$1,850,000",2.8%
"Mathieson St, Bellbird",R2,809.43 m²,"$290,000","$295,000",1.7%
"Black Hill Rd, Black Hill",C4,81.49 ha,"$2,140,000","$2,240,000",4.7%
"Russell St, Branxton",R3,1011.83 m²,"$310,000","$330,000",6.5%
"Catherine St, Cessnock",R3,809.43 m²,"$305,000","$315,000",3.3%
"Cornish St, Cessnock",R2,695.6 m²,"$250,000","$260,000",4.0%
"Cumberland St, Cessnock",MU1,809.4 m²,"$275,000","$295,000",7.3%
"Oakey Creek Rd, Cessnock",R2,3344 m²,"$525,000","$550,000",4.8%
"Stephen St, Cessnock",R3,2023.82 m²,"$630,000","$650,000",3.2%
"Trebbiano Dr, Cessnock",R2,849.9 m²,"$285,000","$295,000",3.5%
"Busby St, Cliftleigh",R2,606 m²,"$360,000","$375,000",4.2%
"Franks Cl, East Branxton",R2,900 m²,"$305,000","$315,000",3.3%
"Branxton St, Greta",R2,5.853 ha,"$2,430,000","$2,500,000",2.9%
"Price St, Greta",R2,910.63 m²,"$320,000","$330,000",3.1%
"Errol Cres, Heddon Greta",R5,2058 m²,"$615,000","$635,000",3.3%
"Allandale St, Kearsley",R2,1012 m²,"$295,000","$305,000",3.4%
"Maitland St, Kurri Kurri",R3,674.5 m²,"$325,000","$335,000",3.1%
"Mitchell Ave, Kurri Kurri",R2,830.29 m²,"$285,000","$295,000",3.5%
"Railway Pde, Kurri Kurri",R2,4000 m²,"$1,030,000","$1,060,000",2.9%
"Millfield Rd, Millfield",RU5,1005 m²,"$310,000","$320,000",3.2%
"Wollombi Rd, Millfield",R5,8619 m²,"$570,000","$590,000",3.5%
"Maitland Rd, Mulbring",R5,10.36 ha,"$2,420,000","$2,490,000",2.9%
"Cessnock Rd, Neath",R2,1012 m²,"$240,000","$250,000",4.2%
"Barclay Dr, North Rothbury",MU1,516 m²,"$311,000","$320,000",2.9%
"Lancaster Vsta, North Rothbury",R1,562.8 m²,"$306,000","$320,000",4.6%
"Wine Country Dr, North Rothbury",R1,2 ha,"$1,990,000","$2,040,000",2.5%
"Pinchen St, Nulkaba",RU5,2.223 ha,"$1,230,000","$1,260,000",2.4%
"Wine Country Dr, Nulkaba",RU5,1011 m²,"$340,000","$360,000",5.9%
"Appleton Ave, Weston",R2,613.11 m²,"$270,000","$280,000",3.7%
"Second St, Weston",R3,809.43 m²,"$290,000","$310,000",6.9%
