Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Crisp Dr, Ashby Heights",R5,2.004 ha,"$355,000","$355,000",0.0%
"Cambridge St, Copmanhurst",R2,1720 m²,"$125,000","$130,000",4.0%
"Burragan Rd, Coutts Crossing",R5,4.064 ha,"$230,000","$240,000",4.4%
"Kerrani Pl, Coutts Crossing",R2,1186 m²,"$140,000","$140,000",0.0%
"East Bank Rd, Glenreagh",R5,6000 m²,"$330,000","$340,000",3.0%
"James St, Glenreagh",R2,796.7 m²,"$195,000","$200,000",2.6%
"Arthur St, Grafton",R1,1214.24 m²,"$170,000","$170,000",0.0%
"Pound St, Grafton",R1,660.17 m²,"$190,000","$190,000",0.0%
"Victoria St, Grafton",R1,862.5 m²,"$400,000","$400,000",0.0%
"Rosella Rd, Gulmarrad",R5,4000 m²,"$420,000","$420,000",0.0%
"Hickey St, Iluka",R2,10.91 ha,"$550,000","$525,000",-4.6%
"Sovereign St, Iluka",R2,670.2 m²,"$445,000","$350,000",-21.4%
"Edgecombe Ave, Junction Hill",R2,980.8 m²,"$165,000","$165,000",0.0%
"Gibraltar Cres, Koolkhan",R1,4064 m²,"$229,000","$229,000",0.0%
"Neill St, Lawrence",R2,2023 m²,"$185,000","$250,000",35.1%
"Central Ave, Maclean",R2,781.8 m²,"$305,000","$305,000",0.0%
"Mcmillan Lane, Maclean",R3,451.5 m²,"$340,000","$285,000",-16.2%
"Haigh St, South Grafton",R1,584.3 m²,"$120,000","$120,000",0.0%
"Kennedy St, South Grafton",R1,505.9 m²,"$80,000","$92,000",15.0%
"Plater Cres, Townsend",R2,575.2 m²,"$250,000","$250,000",0.0%
"Cordini St, Tucabia",R2,2023 m²,"$150,000","$150,000",0.0%
"King St, Ulmarra",R2,645 m²,"$105,000","$120,000",14.3%
"Caramana Dr, Waterview Heights",R5,6000 m²,"$260,000","$260,000",0.0%
"Hampton Rd, Waterview Heights",R5,6152 m²,"$45,500","$45,500",0.0%
"Kendall Ave, Wooli",R2,940.9 m²,"$507,000","$507,000",0.0%
"Main St, Wooli",R2,423.7 m²,"$1,050,000","$900,000",-14.3%
"Middle St, Woombah",R2,3794 m²,"$305,000","$305,000",0.0%
"Waterview Cres, Woombah",R5,4000 m²,"$400,000","$420,000",5.0%
"Grevillia Ave, Yamba",R2,573.5 m²,"$380,000","$380,000",0.0%
"Harwood St, Yamba",R2,518.5 m²,"$875,000","$875,000",0.0%
"Kohler Dr, Yamba",R1,560 m²,"$380,000","$380,000",0.0%
"Nautilus Pl, Yamba",R2,499.4 m²,"$690,000","$690,000",0.0%
"Taine Ct, Yamba",R2,731.2 m²,"$875,000","$835,000",-4.6%
"Wooli St, Yamba",R3,207.9 m²,"$775,000","$725,000",-6.5%
