Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Acacia Dr, Cobar",R2,899.3 m²,"$25,400","$37,000",45.7%
"Annies Lane, Cobar",R5,2 ha,"$74,500","$107,000",43.6%
"Brough St, Cobar",R2,682.4 m²,"$21,100","$30,800",46.0%
"Cowper St, Cobar",R2,1012 m²,"$11,400","$20,000",75.4%
"Irwin St, Cobar",R2,739.8 m²,"$22,100","$32,200",45.7%
"James Pl, Cobar",R2,800 m²,"$24,000","$35,000",45.8%
"Louth Rd, Cobar",R2,3.202 ha,"$103,000","$150,000",45.6%
"Prince St, Cobar",R1,795.9 m²,"$26,600","$33,500",25.9%
"Kewong St, Euabalong",RU5,2023 m²,"$4,000","$8,000",100.0%
"Illewong St, Euabalong West",RU5,2023 m²,"$2,000","$4,000",100.0%
"Scott St, Mount Hope",RU5,1012 m²,"$1,000","$2,000",100.0%
"Milford St, Nymagee",RU5,1511 m²,"$2,990","$4,990",66.9%
