Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Arrawarra Rd, Arrawarra Headland",R2,626 m²,"$620,000","$650,000",4.8%
"Mcrae Cl, Boambee",R5,6021 m²,"$640,000","$670,000",4.7%
"View Dr, Boambee East",R2,828 m²,"$380,000","$380,000",0.0%
"Braford Dr, Bonville",R5,7819 m²,"$640,000","$640,000",0.0%
"Fig Cl, Bonville",R5,6054 m²,"$500,000","$500,000",0.0%
"Williams Rd, Bonville",R5,2.312 ha,"$850,000","$925,000",8.8%
"Beryl St, Coffs Harbour",R2,777.8 m²,"$375,000","$375,000",0.0%
"Bonville St, Coffs Harbour",R4,777.8 m²,"$519,000","$520,000",0.2%
"Boultwood St, Coffs Harbour",R1,1055 m²,"$840,000","$840,000",0.0%
"Brodie Dr, Coffs Harbour",R2,765.2 m²,"$575,000","$575,000",0.0%
"Cutter Dr, Coffs Harbour",R2,1014 m²,"$645,000","$645,000",0.0%
"Edinburgh St, Coffs Harbour",R1,885.2 m²,"$1,250,000","$1,250,000",0.0%
"Grafton St, Coffs Harbour",R1,1796.5 m²,"$1,000,000","$950,000",-5.0%
"Harbour Dr, Coffs Harbour",R3,809.4 m²,"$500,000","$525,000",5.0%
"Harbour Dr, Coffs Harbour",MU1,498.3 m²,"$1,000,000","$1,000,000",0.0%
"Moore St, Coffs Harbour",R3,1012 m²,"$1,000,000","$1,000,000",0.0%
"Nambucca Ave, Coffs Harbour",R2,630.9 m²,"$385,000","$385,000",0.0%
"Ocean Pde, Coffs Harbour",R1,1037 m²,"$1,080,000","$1,300,000",20.4%
"Reid Dr, Coffs Harbour",R2,703 m²,"$340,000","$340,000",0.0%
"San Francisco Ave, Coffs Harbour",R3,834.7 m²,"$430,000","$430,000",0.0%
"West High St, Coffs Harbour",R3,766 m²,"$415,000","$415,000",0.0%
"East Bank Rd, Coramba",R2,758.8 m²,"$259,000","$259,000",0.0%
"Eileen Dr, Corindi Beach",R2,561 m²,"$420,000","$420,000",0.0%
"Capizzi Cl, Emerald Beach",R5,3786 m²,"$440,000","$440,000",0.0%
"Flagstaff Ave, Emerald Beach",R3,575.4 m²,"$740,000","$814,000",10.0%
"Lights St, Emerald Beach",R2,575.4 m²,"$413,000","$440,000",6.5%
"Norman Hill Dr, Korora",R2,581.7 m²,"$460,000","$460,000",0.0%
"Old Coast Rd, Korora",R5,9020 m²,"$600,000","$600,000",0.0%
"Pacific Hwy, Korora",R5,121 m²,"$26,000","$26,000",0.0%
"Trevally St, Korora",R1,500 m²,"$500,000","$500,000",0.0%
"Stanley St, Lowanna",R2,1012 m²,"$150,000","$155,000",3.3%
"Heritage Dr, Moonee Beach",R5,1.262 ha,"$670,000","$670,000",0.0%
"Sullivans Rd, Moonee Beach",MU1,7094 m²,"$980,000","$1,000,000",2.0%
"Tidal Cres, Moonee Beach",R2,701.5 m²,"$575,000","$575,000",0.0%
"Nelson St, Nana Glen",R2,1012 m²,"$275,000","$275,000",0.0%
"Thoroughbred Cl, Nana Glen",R5,2.098 ha,"$390,000","$390,000",0.0%
"Ellis Cres, North Boambee Valley",R2,594 m²,"$400,000","$400,000",0.0%
"North Boambee Rd, North Boambee Valley",R2,2 ha,"$1,640,000","$1,640,000",0.0%
"Quay Cres, Safety Beach",R2,800 m²,"$450,000","$465,000",3.3%
"Chestnut Ave, Sandy Beach",R2,746.1 m²,"$450,000","$495,000",10.0%
"Seabeach St, Sandy Beach",R2,450 m²,"$352,000","$369,000",4.8%
"Serene Ct, Sapphire Beach",R2,816.6 m²,"$765,000","$690,000",-9.8%
"Bangalow Tce, Sawtell",R2,925 m²,"$445,000","$445,000",0.0%
"Boronia St, Sawtell",R3,575.4 m²,"$1,500,000","$1,500,000",0.0%
"Eighteenth Ave, Sawtell",R1,796.7 m²,"$1,250,000","$1,250,000",0.0%
"Thirteenth Ave, Sawtell",R2,809.4 m²,"$800,000","$800,000",0.0%
"Durie Cl, Toormina",R3,636.3 m²,"$270,000","$270,000",0.0%
"Barnes St, Woolgoolga",R2,704 m²,"$365,000","$420,000",15.1%
"Nelson St, Woolgoolga",R3,1012 m²,"$950,000","$1,100,000",15.8%
"Pacific St, Woolgoolga",R1,600.7 m²,"$700,000","$700,000",0.0%
"River St, Woolgoolga",MU1,1158 m²,"$400,000","$400,000",0.0%
"Shearer Dr, Woolgoolga",R5,3166 m²,"$445,000","$445,000",0.0%
