Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Mackay St, Cootamundra",R3,674.3 m²,"$143,000","$143,000",0.0%
"Murray St, Cootamundra",R1,815.7 m²,"$141,000","$141,000",0.0%
"Parker St, Cootamundra",R1,999.1 m²,"$167,000","$167,000",0.0%
"Pinkerton Rd, Cootamundra",R5,8.093 ha,"$365,000","$419,000",14.8%
"Warren St, Cootamundra",R1,1220 m²,"$130,000","$130,000",0.0%
"Charlotte St, Gundagai",R5,3.545 ha,"$182,000","$191,000",5.0%
"Hanley St, Gundagai",R3,1752 m²,"$109,000","$136,000",24.8%
"Hanley St, Gundagai",R1,2896.5 m²,"$172,000","$189,000",9.9%
"Nangus Rd, Nangus",RU5,1821 m²,"$41,600","$52,000",25.0%
"Middle St, South Gundagai",R1,1.821 ha,"$230,000","$264,000",14.8%
"Mount St, South Gundagai",R1,1300.4 m²,"$128,000","$128,000",0.0%
"Mount St, South Gundagai",MU1,2023 m²,"$175,000","$185,000",5.7%
"Britannia St, Stockinbingal",RU5,2023 m²,"$64,100","$85,800",33.9%
"King St, Wallendbeen",RU5,1973 m²,"$78,000","$97,500",25.0%
