Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Sloan St, Billimari",RU5,1012 m²,"$28,400","$28,500",0.4%
"George Russell Dr, Canowindra",R5,1.619 ha,"$210,000","$240,000",14.3%
"Bligh St, Cowra",R1,971.4 m²,"$195,000","$195,000",0.0%
"Comerford St, Cowra",R1,1334 m²,"$165,000","$165,000",0.0%
"Cowra Rd, Cowra",R5,7500 m²,"$264,000","$270,000",2.3%
"Graham St, Cowra",RU5,4047 m²,"$100,000","$100,000",0.0%
"Kite St, Cowra",R1,954.8 m²,"$110,000","$110,000",0.0%
"Lachlan Valley Way, Cowra",RU5,3541 m²,"$55,000","$55,000",0.0%
"Lyall St, Cowra",R1,931.8 m²,"$175,000","$175,000",0.0%
"Pridham St, Cowra",R1,4.86 ha,"$448,000","$448,000",0.0%
"Ranken St, Cowra",R2,1239 m²,"$148,000","$155,000",4.7%
"Whitby St, Cowra",R1,790.4 m²,"$115,000","$115,000",0.0%
"Main St, Darbys Falls",RU5,2024 m²,"$70,400","$70,000",-0.6%
"Forbes St, Gooloogong",RU5,2023 m²,"$60,000","$60,000",0.0%
"Waddell St, Wattamondara",RU5,2023 m²,"$115,000","$120,000",4.4%
"Bowen St, Woodstock",RU5,1764 m²,"$105,000","$105,000",0.0%
"Waugoola Rd, Wyangala",RU5,578.6 m²,"$25,000","$25,000",0.0%
