Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Edward Rd, Batehaven",R2,1320 m²,"$354,000","$354,000",0.0%
"Orient St, Batemans Bay",MU1,699 m²,"$1,090,000","$1,090,000",0.0%
"Pacific St, Batemans Bay",R3,459.9 m²,"$477,000","$477,000",0.0%
"Boobook Ct, Bodalla",R5,1.694 ha,"$405,000","$405,000",0.0%
"Laidley Ave, Bodalla",RU5,1467 m²,"$285,000","$307,000",7.7%
"Banksia St, Broulee",R2,619.6 m²,"$635,000","$676,000",6.5%
"Sea St, Catalina",R2,556.4 m²,"$293,000","$275,000",-6.1%
"Bate St, Central Tilba",RU5,608.4 m²,"$324,000","$324,000",0.0%
"Eucalyptus Dr, Dalmeny",C4,1491 m²,"$508,000","$521,000",2.6%
"Laidley St, Dalmeny",R2,645 m²,"$404,000","$424,000",5.0%
"Shaw Pl, Guerilla Bay",C4,904.2 m²,"$933,000","$960,000",2.9%
"Montague Ave, Kianga",R2,878.9 m²,"$456,000","$469,000",2.9%
"Barrakee Dr, Long Beach",C4,1.075 ha,"$574,000","$470,000",-18.1%
"Northcove Rd, Long Beach",R2,828.3 m²,"$399,000","$381,000",-4.5%
"Iluka Ave, Malua Bay",R2,569.1 m²,"$1,460,000","$1,310,000",-10.3%
"Yugura St, Malua Bay",R2,556.4 m²,"$444,000","$444,000",0.0%
"Park St, Mogo",R2,1012 m²,"$244,000","$244,000",0.0%
"Glenduart Gr, Moruya",R5,1.006 ha,"$500,000","$500,000",0.0%
"Murray St, Moruya",R2,809.3 m²,"$359,000","$369,000",2.8%
"Newstead Rd, Moruya Heads",R2,834.7 m²,"$429,000","$429,000",0.0%
"Lamont Young Dr, Mystery Bay",R2,1300 m²,"$425,000","$442,000",4.0%
"Riverside Dr, Narooma",R3,834.1 m²,"$667,000","$597,000",-10.5%
"Ross St, Narooma",R2,1138 m²,"$388,000","$422,000",8.8%
"Wonga Rd, Narooma",C4,2 ha,"$586,000","$660,000",12.6%
"Currowan St, Nelligen",RU5,733.5 m²,"$351,000","$351,000",0.0%
"Cors Pde, North Batemans Bay",R5,3.025 ha,"$545,000","$416,000",-23.7%
"Long Point St, Potato Point",R2,765.1 m²,"$558,000","$597,000",7.0%
"Sebbens Cres, Rosedale",R2,725 m²,"$402,000","$381,000",-5.2%
"Village Rd, South Durras",R2,657.6 m²,"$552,000","$537,000",-2.7%
"Jardine Rd, Sunshine Bay",R2,561.6 m²,"$395,000","$370,000",-6.3%
"Surf Beach Ave, Surf Beach",R2,581.7 m²,"$432,000","$432,000",0.0%
"Kerang St, Surfside",R2,3.779 ha,"$1,950,000","$1,950,000",0.0%
"Timbara Cres, Surfside",R2,708.2 m²,"$380,000","$370,000",-2.6%
"Sunpatch Pde, Tomakin",R2,556.4 m²,"$600,000","$577,000",-3.8%
"Evans Rd, Tuross Head",R2,644.3 m²,"$407,000","$410,000",0.7%
