Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Reeves Cres, Bonnyrigg",R1,252.3 m²,"$450,000","$540,000",20.0%
"Durham Cl, Bonnyrigg Heights",R2,550.1 m²,"$650,000","$770,000",18.5%
"Bettong Cres, Bossley Park",R2,550.9 m²,"$655,000","$750,000",14.5%
"The Horsley Dr, Bossley Park",R2,1.479 ha,"$6,000,000","$7,000,000",16.7%
"Alick St, Cabramatta",R2,701.8 m²,"$745,000","$850,000",14.1%
"Cabramatta Rd, Cabramatta",MU1,881 m²,"$1,950,000","$1,950,000",0.0%
"Utzon Rd, Cabramatta West",R2,562.7 m²,"$750,000","$860,000",14.7%
"Beckenham St, Canley Vale",R2,2023 m²,"$1,630,000","$2,000,000",22.7%
"Avisford St, Fairfield",R2,562.1 m²,"$720,000","$820,000",13.9%
"Barbara St, Fairfield",MU1,411 m²,"$1,250,000","$1,250,000",0.0%
"Bodalla St, Fairfield Heights",R4,646.65 m²,"$880,000","$1,020,000",15.9%
"Polding St, Fairfield Heights",R3,553.6 m²,"$618,000","$780,000",26.2%
"Chandos Rd, Horsley Park",Z,4.047 ha,"$1,350,000","$1,450,000",7.4%
"The Horsley Dr, Horsley Park",RU5,505.9 m²,"$425,000","$475,000",11.8%
"Bruce St, Lansvale",R2,562.8 m²,"$605,000","$700,000",15.7%
"O'Shannassy St, Mount Pritchard",R2,562.8 m²,"$580,000","$660,000",13.8%
"Broughton St, Old Guildford",R2,556.4 m²,"$670,000","$750,000",11.9%
"Rowley St, Smithfield",R2,551.72 m²,"$650,000","$760,000",16.9%
"Wellington St, Wakeley",R2,552 m²,"$685,000","$790,000",15.3%
