Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Charles St, Balldale",RU5,2023 m²,"$26,300","$27,500",4.6%
"Clarence St, Boree Creek",RU5,2023 m²,"$44,500","$49,000",10.1%
"Orara St, Boree Creek",R5,2.428 ha,"$55,000","$61,000",10.9%
"Alfred St, Corowa",R1,758.8 m²,"$173,000","$175,000",1.2%
"Banksia Dr, Corowa",R1,759.4 m²,"$150,000","$160,000",6.7%
"Carson Dr, Corowa",R1,779.2 m²,"$147,000","$160,000",8.8%
"Church St, Corowa",R2,1012 m²,"$128,000","$135,000",5.5%
"Federation Ave, Corowa",R1,6308 m²,"$315,000","$325,000",3.2%
"Gallipoli St, Corowa",R2,1012 m²,"$130,000","$145,000",11.5%
"Gitchell St, Corowa",R1,858.4 m²,"$128,000","$140,000",9.4%
"Katrina Cct, Corowa",R2,1.944 ha,"$355,000","$410,000",15.5%
"Martin St, Corowa",R1,1002 m²,"$136,000","$143,000",5.2%
"Piggin Ct, Corowa",R1,3997 m²,"$700,000","$650,000",-7.1%
"Queen St, Corowa",MU1,780 m²,"$177,000","$185,000",4.5%
"River St, Corowa",R2,1957 m²,"$700,000","$550,000",-21.4%
"Roden St, Corowa",R2,8094 m²,"$324,000","$325,000",0.3%
"Vera St, Corowa",R2,626.9 m²,"$101,000","$135,000",33.7%
"Whitehead St, Corowa",R5,8.154 ha,"$257,000","$360,000",40.1%
"Federation Way, Daysdale",RU5,4047 m²,"$30,000","$40,000",33.3%
"Clarke St, Howlong",R1,2023.4 m²,"$158,000","$174,000",10.1%
"Hawkins St, Howlong",MU1,1694 m²,"$220,000","$220,000",0.0%
"High St, Howlong",R1,5964 m²,"$477,000","$480,000",0.6%
"Hoddle St, Howlong",R1,2023 m²,"$232,000","$203,000",-12.5%
"Sturt St, Howlong",R2,1.603 ha,"$345,000","$360,000",4.4%
"Townsend St, Howlong",R1,1143 m²,"$165,000","$175,000",6.1%
"Yamma St, Morundah",RU5,2124 m²,"$30,500","$32,000",4.9%
"Corowa Rd, Mulwala",R1,2.025 ha,"$560,000","$610,000",8.9%
"Corowa Rd, Mulwala",R2,1808 m²,"$1,350,000","$1,350,000",0.0%
"Damian Cres, Mulwala",R2,4001 m²,"$307,000","$281,000",-8.5%
"Inglis St, Mulwala",R1,742 m²,"$210,000","$215,000",2.4%
"Melbourne St, Mulwala",R1,512.2 m²,"$328,000","$335,000",2.1%
"Melbourne St, Mulwala",R1,1190.02 m²,"$1,550,000","$1,550,000",0.0%
"Pool Ave, Mulwala",MU1,603 m²,"$329,000","$570,000",73.3%
"Sturt St, Mulwala",R1,855 m²,"$275,000","$275,000",0.0%
"Wandoo Ct, Mulwala",R2,6261 m²,"$367,000","$370,000",0.8%
"Thornber St, Oaklands",RU5,2023 m²,"$36,300","$44,000",21.2%
"Bong St, Rand",RU5,1265 m²,"$27,500","$27,500",0.0%
"Urana Rd, Rand",R5,7.411 ha,"$135,000","$135,000",0.0%
"Vardy St, Urana",RU5,1717 m²,"$38,500","$43,000",11.7%
