Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Alder St, Forbes",R1,1200 m²,"$152,000","$152,000",0.0%
"Bathurst St, Forbes",R1,1012 m²,"$182,000","$182,000",0.0%
"Farrand St, Forbes",R1,850 m²,"$104,000","$104,000",0.0%
"Federation Bvd, Forbes",R1,801 m²,"$152,000","$162,000",6.6%
"Gloucester St, Forbes",R1,632 m²,"$97,900","$102,000",4.2%
"Marcia St, Forbes",MU1,4907 m²,"$42,900","$42,900",0.0%
"Show St, Forbes",R1,981.8 m²,"$91,000","$91,000",0.0%
"Thames St, Forbes",R1,881.1 m²,"$93,700","$93,700",0.0%
"Wambat St, Forbes",R1,784.1 m²,"$108,000","$108,000",0.0%
"Wyndham Ave, Forbes",R5,3.505 ha,"$257,000","$236,000",-8.2%
"Church St, Ootha",RU5,2403 m²,"$1,000","$1,000",0.0%
