Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Noble St, Allawah",R2,95.2 m²,"$48,900","$51,900",6.1%
"Ferry Ave, Beverley Park",R2,467.9 m²,"$1,200,000","$1,290,000",7.5%
"Mountview Ave, Beverly Hills",R2,809.4 m²,"$1,300,000","$1,380,000",6.2%
"Warraroong St, Beverly Hills",R2,537.4 m²,"$1,070,000","$1,170,000",9.4%
"Oberon St, Blakehurst",R2,535.17 m²,"$1,350,000","$1,420,000",5.2%
"Arthur St, Carlton",R2,558.91 m²,"$1,210,000","$1,290,000",6.6%
"Cronulla St, Carlton",R2,735.8 m²,"$2,790,000","$2,940,000",5.4%
"Allawah Ave, Carss Park",R2,613.4 m²,"$1,420,000","$1,510,000",6.3%
"Queens Rd, Connells Point",R2,608.8 m²,"$2,970,000","$3,040,000",2.4%
"Forest Rd, Hurstville",MU1,151.8 m²,"$1,620,000","$1,650,000",1.9%
"Ormonde Pde, Hurstville",MU1,380.9 m²,"$2,370,000","$2,400,000",1.3%
"Park Rd, Hurstville",Z,1167 m²,"$4,330,000","$4,550,000",5.1%
"Patrick St, Hurstville",R2,435.96 m²,"$1,170,000","$1,260,000",7.7%
"Queens Rd, Hurstville",R2,899.62 m²,"$1,650,000","$1,690,000",2.4%
"Smiths Ave, Hurstville",R2,135.3 m²,"$46,900","$49,900",6.4%
"St Georges Pde, Hurstville",R2,841.05 m²,"$1,750,000","$1,840,000",5.1%
"St Georges Pde, Hurstville",R4,961.2 m²,"$2,040,000","$2,150,000",5.4%
"The Avenue , Hurstville",MU1,1439 m²,"$5,090,000","$5,100,000",0.2%
"Jellicoe St, Hurstville Grove",R2,632.3 m²,"$1,280,000","$1,350,000",5.5%
"Moya Cres, Kingsgrove",R2,423.7 m²,"$1,020,000","$1,120,000",9.8%
"Gladstone St, Kogarah",R4,796.8 m²,"$5,410,000","$5,410,000",0.0%
"Queens Ave, Kogarah",R4,408.73 m²,"$1,100,000","$1,170,000",6.4%
"Railway Pde, Kogarah",MU1,202.3 m²,"$1,280,000","$1,300,000",1.6%
"Railway Pde, Kogarah",MU1,687.2 m²,"$2,770,000","$2,800,000",1.1%
"Regent St, Kogarah",MU1,221.3 m²,"$1,020,000","$1,040,000",2.0%
"Regent St, Kogarah",R4,252.9 m²,"$1,350,000","$1,350,000",0.0%
"Boronia Pde, Lugarno",R2,1534.5 m²,"$1,470,000","$1,540,000",4.8%
"Renway Ave, Lugarno",R2,581.7 m²,"$899,000","$950,000",5.7%
"Ballantyne Rd, Mortdale",R2,511 m²,"$949,000","$1,040,000",9.6%
"Morts Rd, Mortdale",R2,1518 m²,"$2,250,000","$2,420,000",7.6%
"Newman St, Mortdale",R2,443.7 m²,"$819,000","$900,000",9.9%
"Mercury St, Narwee",R3,417.41 m²,"$900,000","$980,000",8.9%
"Mountview Ave, Narwee",R2,480.6 m²,"$825,000","$900,000",9.1%
"Ada St, Oatley",R3,999.1 m²,"$2,100,000","$2,210,000",5.2%
"Boorara Ave, Oatley",R2,505.9 m²,"$1,370,000","$1,470,000",7.3%
"Frederick St, Oatley",R2,608.01 m²,"$1,300,000","$1,410,000",8.5%
"Letitia St, Oatley",R2,1213.9 m²,"$1,950,000","$2,040,000",4.6%
"Amy Rd, Peakhurst",R3,1146.84 m²,"$2,100,000","$2,210,000",5.2%
"Rona St, Peakhurst",R2,594.4 m²,"$879,000","$959,000",9.1%
"Arcadia St, Penshurst",R2,442.8 m²,"$959,000","$1,020,000",6.4%
"Cambridge St, Penshurst",R4,956.9 m²,"$2,340,000","$2,490,000",6.4%
"Judd St, Penshurst",R2,445.91 m²,"$1,050,000","$1,140,000",8.6%
"Hardwicke St, Riverwood",R3,580.64 m²,"$919,000","$999,000",8.7%
"Killara Ave, Riverwood",R2,423.6 m²,"$819,000","$900,000",9.9%
"Mona Rd, Riverwood",R4,594.3 m²,"$1,020,000","$1,080,000",5.9%
"Talbot St, Riverwood",R2,695.6 m²,"$1,320,000","$1,400,000",6.1%
"Weemala Ave, Riverwood",R2,432.64 m²,"$774,000","$849,000",9.7%
"Hillview St, Sans Souci",R2,585.22 m²,"$1,450,000","$1,570,000",8.3%
"Connells Point Rd, South Hurstville",R3,674.39 m²,"$1,180,000","$1,240,000",5.1%
"West St, South Hurstville",R2,401.9 m²,"$1,020,000","$1,090,000",6.9%
"William St, South Hurstville",R3,1391.2 m²,"$2,690,000","$2,840,000",5.6%
