Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Forbes St, Deepwater",RU5,1682 m²,"$70,000","$70,000",0.0%
"Severn River Rd, Dundee",RU5,1998 m²,"$49,000","$49,000",0.0%
"Moore St, Emmaville",RU5,2734.6 m²,"$45,200","$45,000",-0.4%
"Wellington Vale Rd, Emmaville",RU5,4375 m²,"$63,000","$63,000",0.0%
"Bourke St, Glen Innes",R1,733.5 m²,"$97,000","$98,000",1.0%
"Coronation Ave, Glen Innes",R1,851.3 m²,"$83,500","$88,000",5.4%
"Cramsie Cres, Glen Innes",R5,1.25 ha,"$249,000","$250,000",0.4%
"Hewitt Rd, Glen Innes",R5,2.118 ha,"$190,000","$245,000",29.0%
"Hunter St, Glen Innes",R2,19.794 ha,"$700,000","$700,000",0.0%
"Lambeth St, Glen Innes",MU1,3706 m²,"$180,000","$180,000",0.0%
"Macquarie St, Glen Innes",R1,1012 m²,"$91,000","$92,000",1.1%
"Pitt St, Glen Innes",R1,746.1 m²,"$95,000","$95,000",0.0%
"Glencoe St, Glencoe",RU5,2023 m²,"$85,000","$82,000",-3.5%
"Victoria St, Red Range",RU5,2023 m²,"$35,000","$45,000",28.6%
"Polhill Rd, Wellingrove",RU5,7133 m²,"$63,600","$64,000",0.6%
