Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"King St, Bungonia",RU5,2023 m²,"$179,000","$232,000",29.6%
"Abbey Rd, Goulburn",C4,8003 m²,"$479,000","$479,000",0.0%
"Ada St, Goulburn",R2,1000 m²,"$286,000","$286,000",0.0%
"Auburn St, Goulburn",MU1,466.8 m²,"$204,000","$204,000",0.0%
"Blackshaw Rd, Goulburn",MU1,1189 m²,"$64,500","$64,500",0.0%
"Bourke St, Goulburn",MU1,1295 m²,"$382,000","$382,000",0.0%
"Bourke St, Goulburn",MU1,846.2 m²,"$370,000","$444,000",20.0%
"Bourke St, Goulburn",MU1,1.217 ha,"$1,010,000","$1,810,000",79.2%
"Brendas Dr, Goulburn",R1,750.3 m²,"$287,000","$287,000",0.0%
"Cahill Pl, Goulburn",R2,749.9 m²,"$278,000","$278,000",0.0%
"Deccan St, Goulburn",R1,755.6 m²,"$343,000","$411,000",19.8%
"Eleanor St, Goulburn",R2,676.6 m²,"$158,000","$158,000",0.0%
"Fitzroy St, Goulburn",R1,689 m²,"$162,000","$162,000",0.0%
"Franklin St, Goulburn",R3,6793 m²,"$1,040,000","$1,040,000",0.0%
"Gibson St, Goulburn",R1,649.7 m²,"$231,000","$231,000",0.0%
"Goorawin Pl, Goulburn",R1,1760 m²,"$396,000","$415,000",4.8%
"Hovell St, Goulburn",R1,600 m²,"$239,000","$239,000",0.0%
"Lagoon St, Goulburn",MU1,486.9 m²,"$216,000","$216,000",0.0%
"Lisgar St, Goulburn",R1,708.2 m²,"$203,000","$203,000",0.0%
"Lisgar St, Goulburn",R1,1.606 ha,"$638,000","$638,000",0.0%
"Marsden St, Goulburn",R1,461.6 m²,"$338,000","$338,000",0.0%
"Mary St, Goulburn",R1,632.3 m²,"$254,000","$254,000",0.0%
"Middle Arm Rd, Goulburn",R2,4.979 ha,"$3,480,000","$3,480,000",0.0%
"Mundy St, Goulburn",R1,404.7 m²,"$253,000","$253,000",0.0%
"Racecourse Dr, Goulburn",R5,4004 m²,"$362,000","$362,000",0.0%
"Ridge St, Goulburn",C4,2.715 ha,"$459,000","$493,000",7.4%
"Sanctuary Dr, Goulburn",R5,3273 m²,"$425,000","$425,000",0.0%
"Snowgums Dr, Goulburn",R5,1750 m²,"$350,000","$350,000",0.0%
"Swan Loop, Goulburn",R2,900 m²,"$453,000","$543,000",19.9%
"Taralga Rd, Goulburn",R2,1.504 ha,"$1,570,000","$1,570,000",0.0%
"Towrang Ave, Goulburn",R2,644.9 m²,"$190,000","$190,000",0.0%
"Wran St, Goulburn",R2,883.2 m²,"$320,000","$320,000",0.0%
"Braidwood Rd, Lake Bathurst",RU5,3275 m²,"$279,000","$265,000",-5.0%
"Austin St, Marulan",R1,1214 m²,"$261,000","$313,000",19.9%
"Brayton Rd, Marulan",R2,1000 m²,"$280,000","$336,000",20.0%
"Brayton Rd, Marulan",R2,45.81 ha,"$935,000","$1,120,000",19.8%
"Corriedale Dr, Marulan",R5,5483 m²,"$727,000","$872,000",19.9%
"Tall Timbers Dr, Run-O-Waters",R5,1.558 ha,"$490,000","$490,000",0.0%
"Huon St, Tallong",RU5,2318 m²,"$321,000","$256,000",-20.3%
"Mulwaree Dr, Tallong",R5,1.286 ha,"$561,000","$448,000",-20.1%
"Rosebery St, Tarago",RU5,3541 m²,"$238,000","$238,000",0.0%
"Arthurs Rd, Towrang",RU5,2.35 ha,"$264,000","$264,000",0.0%
