Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"King St, Brocklesby",RU5,2023 m²,"$99,000","$107,000",8.1%
"Beatrice Rd, Burrumbuttock",R5,2.354 ha,"$281,000","$290,000",3.2%
"Urana Rd, Burrumbuttock",RU5,2023 m²,"$111,000","$114,000",2.7%
"Balfour St, Culcairn",RU5,1012 m²,"$76,000","$88,000",15.8%
"Balfour St, Culcairn",RU5,1012 m²,"$79,000","$98,000",24.1%
"Balfour St, Culcairn",R2,1.072 ha,"$185,000","$200,000",8.1%
"Gordon St, Culcairn",RU5,1.26 ha,"$175,000","$235,000",34.3%
"Bent St, Gerogery",RU5,1707.4 m²,"$112,000","$115,000",2.7%
"Huon St, Gerogery",R5,3.33 ha,"$345,000","$380,000",10.1%
"Angaston Rd, Henty",R5,1.985 ha,"$120,000","$125,000",4.2%
"Ivor St, Henty",RU5,1012 m²,"$87,000","$90,000",3.5%
"Sladen St, Henty",RU5,480.6 m²,"$30,000","$30,000",0.0%
"Sladen St, Henty",RU5,2000 m²,"$110,000","$115,000",4.6%
"Albury St, Holbrook",RU5,1543 m²,"$105,000","$110,000",4.8%
"Bath St, Holbrook",RU5,2030.2 m²,"$160,000","$190,000",18.8%
"Bowler St, Holbrook",RU5,1012 m²,"$109,000","$115,000",5.5%
"Enterprise Dr, Holbrook",RU5,3300 m²,"$180,000","$190,000",5.6%
"Malabar Rd, Holbrook",R5,3.645 ha,"$350,000","$350,000",0.0%
"Adams St, Jindera",RU5,1003 m²,"$205,000","$210,000",2.4%
"Coogera Cct, Jindera",R5,2.028 ha,"$450,000","$460,000",2.2%
"Gibson St, Jindera",RU5,2023 m²,"$250,000","$260,000",4.0%
"Rosler St, Jindera",R2,2064 m²,"$320,000","$325,000",1.6%
"Urana St, Jindera",RU5,1137.2 m²,"$260,000","$270,000",3.9%
"Brownrigg St, Morven",RU5,2023 m²,"$90,000","$97,000",7.8%
"Billabong St, Walbundrie",RU5,2023 m²,"$36,000","$36,000",0.0%
"William St, Walla Walla",RU5,1088 m²,"$94,000","$97,000",3.2%
"Edward St, Woomargama",RU5,2023 m²,"$96,100","$102,000",6.1%
