Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Richards St, Beelbangera",RU5,828.3 m²,"$134,000","$134,000",0.0%
"Bilbul Pl, Bilbul",RU5,1012 m²,"$103,000","$103,000",0.0%
"Burley St, Griffith",R1,833.7 m²,"$255,000","$226,000",-11.4%
"Erskine Rd, Griffith",R1,968.9 m²,"$174,000","$174,000",0.0%
"Kelly Ave, Griffith",R1,322.5 m²,"$62,400","$62,400",0.0%
"Kookora St, Griffith",MU1,853.6 m²,"$221,000","$221,000",0.0%
"Mcinnes St, Griffith",R1,834.7 m²,"$220,000","$220,000",0.0%
"Ortella St, Griffith",R1,733.5 m²,"$256,000","$256,000",0.0%
"Sidlow Rd, Griffith",R1,4.957 ha,"$742,000","$742,000",0.0%
"Wakaden St, Griffith",R3,834.7 m²,"$367,000","$367,000",0.0%
"Willandra Ave, Griffith",MU1,1391 m²,"$359,000","$359,000",0.0%
"Yarran St, Hanwood",RU5,1010 m²,"$178,000","$178,000",0.0%
"Bella Vista Dr, Lake Wyangan",R5,4238 m²,"$403,000","$403,000",0.0%
"Lakes Rd, Lake Wyangan",C4,5409 m²,"$404,000","$424,000",5.0%
"Mason St, Lake Wyangan",RU5,7622 m²,"$251,000","$251,000",0.0%
"Lowde St, Nericon",RU5,1578 m²,"$88,600","$88,600",0.0%
"Dunn St, Tharbogang",RU5,1012 m²,"$81,600","$81,600",0.0%
"Stanbridge St, Yenda",RU5,1012 m²,"$112,000","$112,000",0.0%
"Mccormack Rd, Yoogali",RU5,761.6 m²,"$191,000","$191,000",0.0%
