Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Breeza St, Carroll",RU5,2023 m²,"$24,600","$26,000",5.7%
"Pine St, Curlewis",RU5,1423 m²,"$73,100","$76,800",5.1%
"Barber St, Gunnedah",R3,720.8 m²,"$132,000","$145,000",9.9%
"Breen St, Gunnedah",R2,790.4 m²,"$133,000","$140,000",5.3%
"Carlyon Ave, Gunnedah",R5,1.817 ha,"$240,000","$265,000",10.4%
"Conadilly St, Gunnedah",R2,948.5 m²,"$98,600","$108,000",9.5%
"Conadilly St, Gunnedah",MU1,827 m²,"$120,000","$130,000",8.3%
"Favell St, Gunnedah",R2,4.87 ha,"$562,000","$646,000",15.0%
"Newell Ave, Gunnedah",R2,670.6 m²,"$62,100","$60,700",-2.3%
"Millie St, Mullaley",RU5,2023 m²,"$33,400","$28,500",-14.7%
