Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Eaton St, Agnes Banks",R2,756.6 m²,"$480,000","$540,000",12.5%
"Alexander St, Bligh Park",R3,646.6 m²,"$460,000","$473,000",2.8%
"Colonial Dr, Bligh Park",R2,763.8 m²,"$475,000","$489,000",3.0%
"Bellbird Cres, Bowen Mountain",RU5,769 m²,"$325,000","$390,000",20.0%
"Port Erringhi Rd, Ebenezer",RU5,695.6 m²,"$360,000","$375,000",4.2%
"Carmen Pl, Freemans Reach",RU5,695.6 m²,"$425,000","$445,000",4.7%
"Boomerang Dr, Glossodia",R2,556.4 m²,"$400,000","$425,000",6.3%
"Cornwell Ave, Hobartville",R3,556.4 m²,"$500,000","$500,000",0.0%
"Jacqueline Pl, Kurmond",R2,1011 m²,"$470,000","$530,000",12.8%
"Woodburn Rd, Kurrajong",R2,1891 m²,"$580,000","$635,000",9.5%
"East St, Kurrajong Heights",C4,1.6 ha,"$670,000","$670,000",0.0%
"Warks Hill Rd, Kurrajong Heights",R2,663.9 m²,"$415,000","$450,000",8.4%
"Settlers Rd, Lower Macdonald",RU5,1516 m²,"$290,000","$305,000",5.2%
"St Albans Rd, Lower Macdonald",C4,4.51 ha,"$480,000","$480,000",0.0%
"Greens Rd, Lower Portland",C4,7.572 ha,"$860,000","$600,000",-30.2%
"Balmain Rd, Mcgraths Hill",R2,598.9 m²,"$465,000","$511,000",9.9%
"Sams Way, Mountain Lagoon",C4,10.28 ha,"$870,000","$950,000",9.2%
"Campbell St, North Richmond",R2,727.2 m²,"$565,000","$620,000",9.7%
"Mantle Ave, North Richmond",R3,283.8 m²,"$364,000","$375,000",3.0%
"Boundary Rd, Oakville",R3,2.024 ha,"$8,400,000","$12,000,000",42.9%
"Bushpea Rd, Oakville",R2,356.3 m²,"$655,000","$640,000",-2.3%
"Fernadell Dr, Pitt Town",R2,652.9 m²,"$750,000","$780,000",4.0%
"Mahony St, Pitt Town",R5,2500 m²,"$1,370,000","$1,400,000",2.2%
"John Tebbutt Pl, Richmond",R1,291.2 m²,"$430,000","$440,000",2.3%
"William Cox Dr, Richmond",R2,555 m²,"$530,000","$540,000",1.9%
"Cox St, South Windsor",R3,727.2 m²,"$475,000","$484,000",1.9%
"Mileham St, South Windsor",R2,545.15 m²,"$440,000","$440,000",0.0%
"Chapman Rd, Vineyard",C4,2.04 ha,"$2,250,000","$2,300,000",2.2%
"Commercial Rd, Vineyard",R2,2.159 ha,"$6,300,000","$7,500,000",19.1%
"Church Rd, Wilberforce",R2,1000 m²,"$580,000","$590,000",1.7%
"Cambridge Ave, Windsor",R2,651.3 m²,"$480,000","$480,000",0.0%
"Catherine St, Windsor",R3,657.6 m²,"$570,000","$570,000",0.0%
"Tollgate Cres, Windsor",R1,656.2 m²,"$490,000","$510,000",4.1%
"Wavehill Ave, Windsor Downs",R5,4559 m²,"$1,100,000","$1,100,000",0.0%
"Kestrel Way, Yarramundi",R5,5000 m²,"$950,000","$950,000",0.0%
"Mountain Ave, Yarramundi",C4,2.921 ha,"$1,170,000","$1,170,000",0.0%
