Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Dudley St, Asquith",R2,695.6 m²,"$1,160,000","$1,290,000",11.2%
"Pacific Hwy, Asquith",R4,1437 m²,"$4,240,000","$4,490,000",5.9%
"Blackwood Cl, Beecroft",R2,5329 m²,"$4,690,000","$4,920,000",4.9%
"Fiona Rd, Beecroft",R2,701.9 m²,"$1,570,000","$1,750,000",11.5%
"Joalah Cres, Berowra Heights",R2,802.4 m²,"$854,000","$956,000",11.9%
"Brooklyn Rd, Brooklyn",R2,701.9 m²,"$891,000","$891,000",0.0%
"Oakhill Dr, Castle Hill",R2,721.8 m²,"$1,460,000","$1,610,000",10.3%
"Francis Greenway Dr, Cherrybrook",R2,731.5 m²,"$1,430,000","$1,570,000",9.8%
"Woodgrove Ave, Cherrybrook",R2,741 m²,"$1,420,000","$1,680,000",18.3%
"Chandler Ave, Cowan",R2,912.2 m²,"$797,000","$860,000",7.9%
"Grantham Cres, Dangar Island",C4,904.2 m²,"$596,000","$697,000",17.0%
"Galston Rd, Dural",RU5,923.2 m²,"$1,450,000","$1,400,000",-3.5%
"Ravensbourne Cct, Dural",R2,688.3 m²,"$1,220,000","$1,330,000",9.0%
"Gardiner Rd, Galston",R2,733.5 m²,"$1,000,000","$1,070,000",7.0%
"Ashley St, Hornsby",R3,657.6 m²,"$1,270,000","$1,170,000",-7.9%
"Clarke Rd, Hornsby",R2,746.1 m²,"$1,200,000","$1,340,000",11.7%
"Coronation St, Hornsby",MU1,379.4 m²,"$1,500,000","$1,530,000",2.0%
"Peats Ferry Rd, Hornsby",R3,1675 m²,"$3,880,000","$3,880,000",0.0%
"Galston Rd, Hornsby Heights",R2,695.6 m²,"$955,000","$1,050,000",10.0%
"Excelsior Rd, Mount Colah",R2,804.4 m²,"$935,000","$1,020,000",9.1%
"Capella Pl, Normanhurst",R2,771.4 m²,"$1,220,000","$1,350,000",10.7%
"Grayson Rd, North Epping",R2,739.8 m²,"$1,450,000","$1,630,000",12.4%
"Laurence St, Pennant Hills",R2,778.1 m²,"$1,330,000","$1,470,000",10.5%
"Eddy St, Thornleigh",R2,757 m²,"$1,240,000","$1,360,000",9.7%
"Station St, Thornleigh",R4,445.9 m²,"$1,280,000","$1,360,000",6.3%
"Isis St, Wahroonga",R2,821.1 m²,"$1,320,000","$1,440,000",9.1%
"Westleigh Dr, Westleigh",R2,695.5 m²,"$1,150,000","$1,270,000",10.4%
