Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Cowell St, Gladesville",R3,483 m²,"$1,900,000","$1,950,000",2.6%
"Prince Edward St, Gladesville",R2,554.8 m²,"$1,750,000","$1,840,000",5.1%
"Victoria Rd, Gladesville",MU1,151.8 m²,"$1,350,000","$1,350,000",0.0%
"Sherwin St, Henley",R2,708.2 m²,"$2,900,000","$2,900,000",0.0%
"Abbey St, Hunters Hill",R2,522.7 m²,"$2,250,000","$2,360,000",4.9%
"Church St, Hunters Hill",R3,1043 m²,"$4,000,000","$4,200,000",5.0%
"Francis St, Hunters Hill",R2,1050 m²,"$5,500,000","$5,500,000",0.0%
"Gladesville Rd, Hunters Hill",MU1,341.5 m²,"$1,700,000","$1,700,000",0.0%
"Le Vesinet Dr, Hunters Hill",R3,419.9 m²,"$4,280,000","$4,600,000",7.5%
"Lyndhurst Cres, Hunters Hill",R2,809 m²,"$6,250,000","$6,600,000",5.6%
"St Malo Ave, Hunters Hill",R3,3337 m²,"$14,000,000","$14,500,000",3.6%
"Viret St, Hunters Hill",R2,1031.8 m²,"$7,970,000","$7,970,000",0.0%
"Woolwich Rd, Hunters Hill",R2,803.1 m²,"$3,400,000","$3,600,000",5.9%
"Huntleys Point Rd, Huntleys Point",R2,39 m²,"$40,000","$40,000",0.0%
