Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Johnston St, Annandale",R1,252.9 m²,"$2,000,000","$1,900,000",-5.0%
"Railway Pde, Annandale",Z,822.2 m²,"$98,600","$98,600",0.0%
"Trafalgar St, Annandale",R1,202.3 m²,"$1,470,000","$1,540,000",4.8%
"Bland St, Ashfield",R3,885.2 m²,"$3,900,000","$3,660,000",-6.2%
"Frederick St, Ashfield",R3,600.7 m²,"$1,490,000","$1,520,000",2.0%
"Frederick St, Ashfield",R2,822 m²,"$2,620,000","$2,820,000",7.6%
"Hedger Ave, Ashfield",R2,417.3 m²,"$1,290,000","$1,400,000",8.5%
"John St, Ashfield",R2,448.9 m²,"$1,460,000","$1,590,000",8.9%
"Liverpool Rd, Ashfield",MU1,442.6 m²,"$1,210,000","$1,210,000",0.0%
"Queen St, Ashfield",R2,502.88 m²,"$1,440,000","$1,530,000",6.3%
"Evans St, Balmain",R1,231.2 m²,"$1,730,000","$1,800,000",4.1%
"Fitzroy Ave, Balmain",Z,4527 m²,"$465,000","$465,000",0.0%
"Gipps St, Birchgrove",R1,202.41 m²,"$2,190,000","$2,370,000",8.2%
"Louisa Rd, Birchgrove",R1,252.9 m²,"$7,110,000","$7,110,000",0.0%
"Liverpool Rd, Croydon",MU1,1208 m²,"$4,750,000","$4,750,000",0.0%
"Cromwell St, Croydon Park",R2,373.1 m²,"$1,270,000","$1,390,000",9.5%
"Beach Rd, Dulwich Hill",R2,278.2 m²,"$1,350,000","$1,460,000",8.2%
"Hugh Ave, Dulwich Hill",R2,442.6 m²,"$1,830,000","$1,960,000",7.1%
"Boomerang St, Haberfield",R2,689.2 m²,"$2,450,000","$2,620,000",6.9%
"Sloane St, Haberfield",R2,632.3 m²,"$2,060,000","$2,220,000",7.8%
"George St, Leichhardt",R3,4546 m²,"$24,800,000","$24,800,000",0.0%
"North Ave, Leichhardt",R1,151.8 m²,"$1,220,000","$1,340,000",9.8%
"Lilyfield Rd, Lilyfield",R1,1085 m²,"$4,630,000","$4,510,000",-2.6%
"Mary St, Lilyfield",R1,303.5 m²,"$1,510,000","$1,630,000",8.0%
"Addison Rd, Marrickville",MU1,259.3 m²,"$990,000","$990,000",0.0%
"Bayley St, Marrickville",R1,278.89 m²,"$1,090,000","$1,190,000",9.2%
"Farr St, Marrickville",R3,215 m²,"$1,180,000","$1,180,000",0.0%
"Fernbank St, Marrickville",R2,188.86 m²,"$1,200,000","$1,300,000",8.3%
"Livingstone Rd, Marrickville",R1,670.3 m²,"$3,420,000","$3,420,000",0.0%
"Victoria Rd, Marrickville",MU1,10.7 ha,"$54,374,843","$54,374,843",0.0%
"Warren Rd, Marrickville",R2,373.1 m²,"$1,350,000","$1,470,000",8.9%
"Alice St, Newtown",R2,126.5 m²,"$1,050,000","$1,170,000",11.4%
"Probert St, Newtown",R2,125.4 m²,"$1,150,000","$1,270,000",10.4%
"Belgrave St, Petersham",R2,252.76 m²,"$1,250,000","$1,340,000",7.2%
"Crystal St, Petersham",MU1,512.2 m²,"$2,790,000","$2,790,000",0.0%
"Livingstone Rd, Petersham",R4,948.5 m²,"$3,600,000","$3,600,000",0.0%
"Nelson Pl, Petersham",R4,376.71 m²,"$1,700,000","$1,780,000",4.7%
"Alfred St, Rozelle",R1,207 m²,"$1,470,000","$1,530,000",4.1%
"Merton St, Rozelle",R1,153.92 m²,"$1,430,000","$1,520,000",6.3%
"Sommerville Rd, Rozelle",Z,4848 m²,"$2,920,000","$2,920,000",0.0%
"Grove St, St Peters",R2,183.4 m²,"$970,000","$1,110,000",14.4%
"Mary St, St Peters",R3,1454 m²,"$5,100,000","$5,100,000",0.0%
"Albany Rd, Stanmore",R2,223.14 m²,"$1,380,000","$1,450,000",5.1%
"Cambridge St, Stanmore",R2,775.7 m²,"$3,110,000","$3,110,000",0.0%
"Parramatta Rd, Stanmore",B4,389 m²,"$1,580,000","$1,500,000",-5.1%
"Bartlett St, Summer Hill",R2,271.9 m²,"$1,530,000","$1,670,000",9.2%
"Edwin St, Tempe",R2,221.3 m²,"$1,000,000","$1,070,000",7.0%
