Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Frome St, Ashford",RU5,1998 m²,"$28,500","$35,600",24.9%
"Bruxner Way, Bonshaw",RU5,4047 m²,"$14,000","$35,000",150.0%
"Ashford Rd, Bukkulla",RU5,1.214 ha,"$52,000","$52,000",0.0%
"Burnett St, Delungra",RU5,1012 m²,"$30,000","$30,000",0.0%
"Elsmore Rd, Elsmore",RU5,4047 m²,"$47,800","$47,800",0.0%
"Guyra Rd, Gilgai",R5,1.199 ha,"$140,000","$140,000",0.0%
"Wood St, Gilgai",RU5,1012 m²,"$48,000","$48,000",0.0%
"Yetman Rd, Graman",RU5,4046 m²,"$18,700","$18,700",0.0%
"Copeton Dam Rd, Gum Flat",RU5,6475 m²,"$60,000","$60,000",0.0%
"Bennett St, Inverell",R1,885.2 m²,"$105,000","$105,000",0.0%
"Brewery St, Inverell",R1,2.04 ha,"$300,000","$300,000",0.0%
"Froude St, Inverell",R1,670.3 m²,"$105,000","$105,000",0.0%
"Froude St, Inverell",R1,790.9 m²,"$126,000","$126,000",0.0%
"Pearson Rd, Inverell",R5,1.284 ha,"$172,000","$223,000",29.7%
"Prince St, Inverell",R1,1012 m²,"$108,000","$108,000",0.0%
"Short St, Inverell",R1,689.2 m²,"$95,000","$95,000",0.0%
"Wynne St, Inverell",R1,640.9 m²,"$24,000","$24,000",0.0%
"Mount Russell Rd, Little Plain",RU5,8094 m²,"$35,000","$35,000",0.0%
"Castle St, Mount Russell",RU5,2023 m²,"$20,000","$20,000",0.0%
"Nullamanna Rd, Nullamanna",RU5,1.214 ha,"$27,000","$48,600",80.0%
"Wynella Rd, Oakwood",RU5,2079 m²,"$23,000","$23,000",0.0%
"Hospital Flat Rd, Tingha",R5,8852 m²,"$20,000","$20,000",0.0%
"Ruby St, Tingha",RU5,1619 m²,"$5,000","$5,000",0.0%
"Campbell St, Wandera",RU5,1492 m²,"$15,000","$15,000",0.0%
"Warialda St, Yetman",RU5,2023 m²,"$20,000","$20,000",0.0%
