Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Baylis St, Bethungra",RU5,2023 m²,"$69,200","$69,200",0.0%
"Howell St, Illabo",RU5,2024 m²,"$85,300","$85,300",0.0%
"Illabo Showground Rd, Illabo",R5,4.047 ha,"$126,000","$189,000",50.0%
"Cedric St, Junee",RU5,853.6 m²,"$141,000","$145,000",2.8%
"Hammond St, Junee",RU5,954.8 m²,"$121,000","$121,000",0.0%
"Joffre St, Junee",RU5,1012 m²,"$96,900","$111,000",14.6%
"John Potts Dr, Junee",RU5,960 m²,"$155,000","$170,000",9.7%
"Walster St, Junee",R5,5264 m²,"$301,000","$301,000",0.0%
"George St, Old Junee",RU5,2023 m²,"$117,000","$117,000",0.0%
"Gundagai St, Wantabadgery",R5,8094 m²,"$157,000","$172,000",9.6%
