Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"The Ponds Way , Aldavilla",R5,1.001 ha,"$285,000","$295,000",3.5%
"Gladstone St, Arakoon",R1,804.6 m²,"$650,000","$650,000",0.0%
"Rocks View Cres, Arakoon",R5,1.002 ha,"$650,000","$680,000",4.6%
"Burnt Bridge Rd, Burnt Bridge",RU5,1.216 ha,"$90,000","$95,000",5.6%
"Comara Tce, Crescent Head",R1,789.7 m²,"$870,000","$890,000",2.3%
"Pacific St, Crescent Head",R3,354.1 m²,"$710,000","$725,000",2.1%
"Point Plomer Rd, Crescent Head",C4,20.07 ha,"$1,400,000","$1,400,000",0.0%
"Sullivan St, East Kempsey",R1,841 m²,"$190,000","$190,000",0.0%
"Macleay St, Frederickton",RU5,2023 m²,"$200,000","$200,000",0.0%
"Alverton St, Greenhill",R1,682.9 m²,"$135,000","$135,000",0.0%
"Frank Archibald St, Greenhill",RU5,1591 m²,"$42,000","$45,000",7.1%
"Straight St, Hat Head",RU5,847.3 m²,"$525,000","$560,000",6.7%
"Kundabung Rd, Kundabung",RU5,4262 m²,"$225,000","$235,000",4.4%
"Morton Ave, Smithtown",RU5,592.9 m²,"$175,000","$175,000",0.0%
"Blairs Lane, South Kempsey",R5,1.205 ha,"$365,000","$375,000",2.7%
"Bloomfield St, South Kempsey",R1,916.8 m²,"$90,000","$90,000",0.0%
"Lachlan St, South Kempsey",MU1,1012 m²,"$120,000","$136,000",13.3%
"Yarravel St, South Kempsey",R3,607 m²,"$110,000","$110,000",0.0%
"Flinders St, South West Rocks",R3,613.4 m²,"$380,000","$390,000",2.6%
"Ocean St, South West Rocks",R1,560.3 m²,"$339,000","$340,000",0.3%
"Phillip Dr, South West Rocks",R1,3.179 ha,"$2,280,000","$2,300,000",0.9%
"Ninth Ave, Stuarts Point",RU5,689.2 m²,"$320,000","$300,000",-6.3%
"Broughton St, West Kempsey",R1,581.7 m²,"$110,000","$110,000",0.0%
"Main St, Willawarrin",RU5,1012 m²,"$95,000","$95,000",0.0%
