Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Archibald Rd, Gerringong",R2,2.936 ha,"$10,600,000","$9,600,000",-9.4%
"Jupiter St, Gerringong",R2,556.4 m²,"$865,000","$860,000",-0.6%
"Headland Dr, Gerroa",R2,695.6 m²,"$2,050,000","$1,700,000",-17.1%
"Headland Dr, Gerroa",R2,556.4 m²,"$3,740,000","$3,000,000",-19.8%
"Beattie St, Jamberoo",R2,846.1 m²,"$765,000","$760,000",-0.7%
"Barney St, Kiama",R2,725.7 m²,"$975,000","$950,000",-2.6%
"Bele Pl, Kiama",R5,1000 m²,"$1,130,000","$1,070,000",-5.3%
"Boanyo Ave, Kiama",R2,714.5 m²,"$2,350,000","$2,120,000",-9.8%
"Chapman St, Kiama",R3,733.5 m²,"$1,400,000","$1,300,000",-7.1%
"Kiarama Ave, Kiama Downs",R2,728 m²,"$1,020,000","$1,000,000",-2.0%
"Meehan Dr, Kiama Downs",R2,709.6 m²,"$730,000","$730,000",0.0%
"North Kiama Dr, Kiama Downs",R2,600.7 m²,"$2,670,000","$2,670,000",0.0%
"Kalang Rd, Kiama Heights",R2,708.2 m²,"$1,060,000","$980,000",-7.6%
"Charles Ave, Minnamurra",R2,557.48 m²,"$3,350,000","$3,350,000",0.0%
"Renfrew Rd, Werri Beach",R2,986.4 m²,"$1,560,000","$1,610,000",3.2%
