Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Savoy Ave, East Killara",C4,929.5 m²,"$2,010,000","$2,110,000",5.0%
"Pleasant Ave, East Lindfield",R2,878.9 m²,"$2,300,000","$2,550,000",10.9%
"Carlotta Ave, Gordon",C4,1233 m²,"$1,720,000","$1,720,000",0.0%
"Moree St, Gordon",R4,2744 m²,"$13,500,000","$13,200,000",-2.2%
"Ridge St, Gordon",MU1,2019 m²,"$12,400,000","$13,000,000",4.8%
"Yarabah Ave, Gordon",R2,1008 m²,"$2,520,000","$2,720,000",7.9%
"Elva Ave, Killara",R2,859.4 m²,"$2,750,000","$2,800,000",1.8%
"Eustace Pde, Killara",R2,696.8 m²,"$2,040,000","$2,240,000",9.8%
"Pacific Hwy, Killara",R4,1941 m²,"$7,900,000","$7,900,000",0.0%
"Bent St, Lindfield",R2,758.8 m²,"$2,440,000","$2,510,000",2.9%
"Hamilton Cnr, Lindfield",R1,349.3 m²,"$1,650,000","$1,650,000",0.0%
"Nelson Rd, Lindfield",R2,834.7 m²,"$3,300,000","$3,480,000",5.5%
"Bobbin Head Rd, North Turramurra",R5,2.035 ha,"$5,950,000","$5,950,000",0.0%
"Scullin Pl, North Wahroonga",C4,933.7 m²,"$1,300,000","$1,460,000",12.3%
"Crown Rd, Pymble",R2,1092 m²,"$2,350,000","$2,610,000",11.1%
"Cynthia St, Pymble",R2,1012 m²,"$2,050,000","$2,210,000",7.8%
"Hope St, Pymble",R2,1138 m²,"$2,750,000","$2,750,000",0.0%
"Abingdon Rd, Roseville",C4,874.2 m²,"$1,710,000","$1,790,000",4.7%
"Bromborough Rd, Roseville",R2,866.3 m²,"$2,200,000","$2,400,000",9.1%
"Corona Ave, Roseville",R4,696.8 m²,"$2,940,000","$3,000,000",2.0%
"Pacific Hwy, Roseville",R4,846.7 m²,"$2,700,000","$2,700,000",0.0%
"Warrane Rd, Roseville Chase",R2,681 m²,"$2,150,000","$2,500,000",16.3%
"Parkinson Ave, South Turramurra",R2,973.8 m²,"$1,620,000","$1,760,000",8.6%
"Athena Ave, St Ives",R2,929.5 m²,"$1,900,000","$2,030,000",6.8%
"Benaroon Ave, St Ives",R2,891.5 m²,"$2,350,000","$2,350,000",0.0%
"Burraneer Ave, St Ives",C4,935.8 m²,"$1,350,000","$1,410,000",4.4%
"Eucalyptus St, St Ives",R2,929.5 m²,"$1,900,000","$2,040,000",7.4%
"Mona Vale Rd, St Ives",R3,2749 m²,"$7,500,000","$7,500,000",0.0%
"Stanley Cl, St Ives",R3,557.5 m²,"$2,200,000","$2,090,000",-5.0%
"Gould Ave, St Ives Chase",C4,954.8 m²,"$1,410,000","$1,560,000",10.6%
"Dawson Pl, Turramurra",R2,923.2 m²,"$1,580,000","$1,680,000",6.3%
"Finlay Rd, Turramurra",R3,2377 m²,"$7,500,000","$7,500,000",0.0%
"Katina St, Turramurra",R2,878.4 m²,"$2,250,000","$2,490,000",10.7%
"Swindon Cl, Turramurra",C4,1353 m²,"$1,400,000","$1,470,000",5.0%
"Adelong Pl, Wahroonga",R2,988.6 m²,"$1,800,000","$1,980,000",10.0%
"Billyard Ave, Wahroonga",R2,1000 m²,"$2,690,000","$2,950,000",9.7%
"Chauvel Cl, Wahroonga",R2,992.7 m²,"$1,860,000","$2,030,000",9.1%
"Wongalee Ave, Wahroonga",C4,836.2 m²,"$1,300,000","$1,420,000",9.2%
"Dunoon Ave, West Pymble",R2,834.7 m²,"$1,850,000","$1,850,000",0.0%
"Gillian Pde, West Pymble",R2,967.5 m²,"$1,840,000","$1,970,000",7.1%
