Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Sandilands St, Bonalbo",RU5,1011.83 m²,"$60,000","$60,000",0.0%
"Kyogle Rd, Cawongla",RU5,2549 m²,"$185,000","$200,000",8.1%
"William St, Geneva",R1,1214 m²,"$270,000","$270,000",0.0%
"Bloore St, Kyogle",MU1,562.8 m²,"$196,000","$186,000",-5.1%
"Colin St, Kyogle",R1,607 m²,"$190,000","$190,000",0.0%
"Ettrick St, Kyogle",R3,961.1 m²,"$275,000","$275,000",0.0%
"Mcdougall St, Kyogle",R1,1580.8 m²,"$132,000","$125,000",-5.3%
"Tooloom St, Mallanganee",RU5,1138 m²,"$56,000","$56,000",0.0%
"Eagle Ct, New Park",R5,2923 m²,"$215,000","$225,000",4.7%
"Prince St, Old Bonalbo",RU5,1012 m²,"$30,000","$33,000",10.0%
"Lawrence St, Tabulam",RU5,2028 m²,"$72,000","$82,000",13.9%
"Worendo St, Wiangaree",RU5,1011 m²,"$110,000","$118,000",7.3%
"Richmond St, Woodenbong",RU5,1012 m²,"$92,000","$92,000",0.0%
