Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Federation St, Albert",RU5,973.7 m²,"$1,320","$1,320",0.0%
"Bena St, Burcher",RU5,2023.5 m²,"$10,500","$10,500",0.0%
"Bathurst St, Condobolin",RU5,201.8 m²,"$12,600","$18,900",50.0%
"Goobang St, Condobolin",RU5,4047 m²,"$16,800","$16,800",0.0%
"Hughes St, Condobolin",RU5,1018 m²,"$4,210","$4,210",0.0%
"Mahonga St, Condobolin",RU5,678 m²,"$23,700","$23,700",0.0%
"Officers Pde, Condobolin",RU5,1456 m²,"$53,900","$59,200",9.8%
"Willis Lane, Condobolin",R5,17.07 ha,"$97,500","$107,000",9.7%
"Wiradjuri Way, Condobolin",RU5,4174 m²,"$59,000","$76,700",30.0%
"Henry Parkes Way, Derriwong",RU5,2024 m²,"$1,260","$1,380",9.5%
"Wilmatha Rd, Fifield",RU5,1.7 ha,"$6,520","$19,500",199.1%
"Canada St, Lake Cargelligo",RU5,1012 m²,"$30,900","$30,900",0.0%
"Foster St, Lake Cargelligo",RU5,1012 m²,"$23,900","$23,900",0.0%
"Grace St, Lake Cargelligo",RU5,2023 m²,"$40,500","$40,500",0.0%
"Mcinnes St, Lake Cargelligo",RU5,4139 m²,"$93,400","$93,400",0.0%
"Nilssons Lane, Lake Cargelligo",R5,51.487 ha,"$163,000","$163,000",0.0%
"Lachlan Valley Way, Murrin Bridge",RU5,379.74 ha,"$427,000","$427,000",0.0%
"Hutchinson Lane, Tottenham",R5,6.475 ha,"$16,600","$16,600",0.0%
"Umang St, Tottenham",RU5,1012 m²,"$7,330","$7,330",0.0%
"Wooyeo St, Tullibigeal",RU5,2024 m²,"$6,450","$6,450",0.0%
