Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Merinda Cl, Adamstown Heights",R2,536.5 m²,"$680,000","$680,000",0.0%
"Macquarie St, Arcadia Vale",R2,575.4 m²,"$360,000","$390,000",8.3%
"Gosford St, Awaba",R2,1018 m²,"$325,000","$335,000",3.1%
"Bay St, Balcolyn",R2,613.4 m²,"$415,000","$410,000",-1.2%
"Letchworth Pde, Balmoral",R2,758.8 m²,"$445,000","$430,000",-3.4%
"Macquarie St, Barnsley",R2,657.6 m²,"$374,000","$395,000",5.6%
"Nelson St, Barnsley",R2,2175 m²,"$503,000","$515,000",2.4%
"Aylward St, Belmont",R2,626 m²,"$580,000","$580,000",0.0%
"Bellevue Rd, Belmont",R2,767.6 m²,"$1,870,000","$1,870,000",0.0%
"Halyard Way, Belmont",C4,31.19 ha,"$1,600,000","$1,600,000",0.0%
"Pacific Hwy, Belmont",MU1,746 m²,"$540,000","$540,000",0.0%
"Ross St, Belmont",R2,701.9 m²,"$955,000","$985,000",3.1%
"Stanley St, Belmont",R3,645 m²,"$475,000","$540,000",13.7%
"Camberwarra Dr, Belmont North",R2,593.3 m²,"$520,000","$555,000",6.7%
"Canara Cl, Belmont North",R2,944.7 m²,"$680,000","$665,000",-2.2%
"John Fisher Rd, Belmont North",R2,556.4 m²,"$460,000","$470,000",2.2%
"Pacific Hwy, Belmont North",R3,202.3 m²,"$7,000","$7,000",0.0%
"Lake St, Blackalls Park",R2,1292 m²,"$709,000","$725,000",2.3%
"Michael St, Blackalls Park",R2,404.7 m²,"$328,000","$360,000",9.8%
"Rhodes St, Blackalls Park",R3,834.7 m²,"$385,000","$395,000",2.6%
"Karog St, Blacksmiths",R2,803 m²,"$597,000","$635,000",6.4%
"Kolang St, Blacksmiths",R3,720.8 m²,"$705,000","$770,000",9.2%
"Lochend Pl, Bolton Point",R2,658 m²,"$325,000","$350,000",7.7%
"Macquarie St, Bolton Point",R2,1322 m²,"$841,000","$860,000",2.3%
"Middle Point Rd, Bolton Point",R2,645 m²,"$470,000","$480,000",2.1%
"Grand Pde, Bonnells Bay",R2,828.3 m²,"$895,000","$920,000",2.8%
"Nevada Cl, Bonnells Bay",R2,770.2 m²,"$415,000","$430,000",3.6%
"Blantyre Rd, Boolaroo",R2,1.3 ha,"$1,560,000","$1,560,000",0.0%
"Lamb St, Boolaroo",R3,542.5 m²,"$500,000","$540,000",8.0%
"Sixth St, Boolaroo",R2,607 m²,"$440,000","$480,000",9.1%
"Muswellbrook Cres, Booragul",R2,612 m²,"$390,000","$400,000",2.6%
"Bulgonia Rd, Brightwaters",R2,666.9 m²,"$405,000","$390,000",-3.7%
"Bracken Cl, Cameron Park",R2,634.4 m²,"$400,000","$400,000",0.0%
"Gaites Dr, Cameron Park",R2,612.6 m²,"$405,000","$405,000",0.0%
"Northlakes Dr, Cameron Park",R2,752.3 m²,"$407,000","$420,000",3.2%
"Mary St, Cardiff",MU1,558 m²,"$435,000","$435,000",0.0%
"Wansbeck Valley Rd, Cardiff",R3,815.7 m²,"$430,000","$470,000",9.3%
"Main Rd, Cardiff Heights",R2,714.5 m²,"$422,000","$445,000",5.5%
"First St, Cardiff South",R2,735.81 m²,"$441,000","$480,000",8.8%
"Florina Cl, Cardiff South",R2,541.8 m²,"$456,000","$470,000",3.1%
"Amelia St, Carey Bay",R3,613.4 m²,"$410,000","$430,000",4.9%
"Hale St, Catherine Hill Bay",R2,7.081 ha,"$10,000,000","$11,000,000",10.0%
"Northwood Rd, Catherine Hill Bay",R2,891.6 m²,"$890,000","$890,000",0.0%
"Stollard St, Catherine Hill Bay",R2,574.2 m²,"$763,000","$763,000",0.0%
"Macquarie Gr, Caves Beach",R2,663.9 m²,"$740,000","$805,000",8.8%
"Charlestown Rd, Charlestown",R2,727.2 m²,"$369,000","$390,000",5.7%
"Dickinson St, Charlestown",R4,676.6 m²,"$706,000","$750,000",6.2%
"E K Ave, Charlestown",R2,695.6 m²,"$490,000","$480,000",-2.0%
"Elmore St, Charlestown",R3,562.8 m²,"$552,000","$580,000",5.1%
"Goola Ave, Charlestown",R2,550.1 m²,"$588,000","$600,000",2.0%
"Jennifer St, Charlestown",R2,600.7 m²,"$510,000","$540,000",5.9%
"Pacific Hwy, Charlestown",R2,657.6 m²,"$378,000","$400,000",5.8%
"Park St, Charlestown",R2,731.1 m²,"$540,000","$550,000",1.9%
"Pillapai St, Charlestown",R2,581.7 m²,"$496,000","$520,000",4.8%
"Smart St, Charlestown",MU1,550.1 m²,"$620,000","$589,000",-5.0%
"Timbercrest Ch, Charlestown",R2,506.9 m²,"$620,000","$620,000",0.0%
"Coal Point Rd, Coal Point",R2,2108.8 m²,"$1,710,000","$1,670,000",-2.3%
"Bowerbird Ave, Cooranbong",R2,605.5 m²,"$407,000","$407,000",0.0%
"Gardiner St, Dora Creek",R2,847.3 m²,"$395,000","$410,000",3.8%
"Newport Rd, Dora Creek",R2,1018 m²,"$604,000","$640,000",6.0%
"Tumut St, Dudley",R2,594.4 m²,"$694,000","$740,000",6.6%
"Crystal St, Edgeworth",R2,715.4 m²,"$394,000","$405,000",2.8%
"Neilson St, Edgeworth",R2,518.5 m²,"$389,000","$400,000",2.8%
"Bareki Rd, Eleebana",R2,600.7 m²,"$1,640,000","$1,700,000",3.7%
"Croft Rd, Eleebana",R2,765.1 m²,"$635,000","$650,000",2.4%
"Minchinbury Cl, Eleebana",R2,663.2 m²,"$620,000","$640,000",3.2%
"Macleay St, Eraring",C4,9705 m²,"$1,450,000","$1,450,000",0.0%
