Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Anglo Rd, Greenwich",R2,315.8 m²,"$2,120,000","$2,250,000",6.1%
"Carlotta St, Greenwich",R2,575.4 m²,"$2,600,000","$2,800,000",7.7%
"St Lawrence St, Greenwich",R2,790.4 m²,"$3,600,000","$3,900,000",8.3%
"Vista St, Greenwich",R2,721.6 m²,"$2,730,000","$2,950,000",8.1%
"Bridge St, Lane Cove",R2,562.8 m²,"$1,890,000","$2,100,000",11.1%
"Fig Tree St, Lane Cove",R3,607 m²,"$1,880,000","$2,000,000",6.4%
"Joseph St, Lane Cove",R2,556.4 m²,"$2,090,000","$2,230,000",6.7%
"Northwood Rd, Lane Cove",MU1,1049.5 m²,"$3,650,000","$3,650,000",0.0%
"Osborne Rd, Lane Cove",R2,564.6 m²,"$1,930,000","$2,040,000",5.7%
"Johnston Cres, Lane Cove North",R2,560.3 m²,"$1,600,000","$1,700,000",6.3%
"Merinda St, Lane Cove North",C4,796.7 m²,"$1,380,000","$1,480,000",7.3%
"Mowbray Rd, Lane Cove North",R2,948.5 m²,"$2,370,000","$2,500,000",5.5%
"Mowbray Rd, Lane Cove North",R4,1290 m²,"$3,300,000","$3,780,000",14.6%
"Yethonga Ave, Lane Cove West",R2,569.1 m²,"$1,880,000","$1,980,000",5.3%
"The Crescent , Linley Point",R2,676.5 m²,"$2,410,000","$2,550,000",5.8%
"Lucretia Ave, Longueville",R2,556.4 m²,"$3,570,000","$3,750,000",5.0%
"Stuart St, Longueville",R2,719.9 m²,"$2,700,000","$2,900,000",7.4%
"Kellys Esp, Northwood",Z,50 m²,"$70,000","$75,000",7.1%
"Point Rd, Northwood",R2,1606 m²,"$5,250,000","$5,820,000",10.9%
"Illawong Ave, Riverview",R2,545.3 m²,"$2,150,000","$2,330,000",8.4%
"Berry Rd, St Leonards",R4,556.4 m²,"$2,320,000","$2,520,000",8.6%
