Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Lake Paddock Dr, Leeton",R2,1202 m²,"$80,500","$80,500",0.0%
"Lansdowne Rd, Leeton",R5,4000 m²,"$225,000","$225,000",0.0%
"Lightwood St, Leeton",R1,847.3 m²,"$26,700","$34,700",30.0%
"Macquarie St, Leeton",RU5,1012 m²,"$35,400","$35,400",0.0%
"Moreton Bay Dr, Leeton",R1,1491 m²,"$132,000","$138,000",4.6%
"Palm Ave, Leeton",R3,1088 m²,"$191,000","$191,000",0.0%
"Teak St, Leeton",R1,834.7 m²,"$79,900","$79,900",0.0%
"Tulipwood Rd, Leeton",R2,3036 m²,"$169,000","$169,000",0.0%
"Wattle Ave, Murrami",RU5,1012 m²,"$9,520","$9,520",0.0%
"Binyah St, Whitton",RU5,1853 m²,"$35,500","$35,500",0.0%
"Mccaughey Pl, Yanco",R2,1200 m²,"$71,700","$71,700",0.0%
