Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Gardenia Cres, Caniaba",RU5,2974 m²,"$350,000","$350,000",0.0%
"Main St, Clunes",RU5,1202 m²,"$380,000","$470,000",23.7%
"Dalley St, East Lismore",R1,607 m²,"$240,000","$240,000",0.0%
"Military Rd, East Lismore",MU1,607 m²,"$150,000","$150,000",0.0%
"Alison Ave, Goonellabah",R1,631.7 m²,"$200,000","$200,000",0.0%
"Andrews Cres, Goonellabah",R1,717 m²,"$285,000","$285,000",0.0%
"Ashgrove Dr, Goonellabah",R1,903.8 m²,"$275,000","$275,000",0.0%
"Dudley Dr, Goonellabah",R1,914.3 m²,"$270,000","$270,000",0.0%
"Duke St, Goonellabah",R1,632.32 m²,"$240,000","$240,000",0.0%
"Greenhills Dr, Goonellabah",R1,677.4 m²,"$300,000","$300,000",0.0%
"Hilltop Cl, Goonellabah",R1,4678 m²,"$445,000","$445,000",0.0%
"Holmesleigh Dr, Goonellabah",R1,904 m²,"$290,000","$290,000",0.0%
"Little Uralba St, Lismore",R3,486.5 m²,"$200,000","$200,000",0.0%
"Magellan St, Lismore",R2,551.72 m²,"$105,000","$105,000",0.0%
"Orion St, Lismore",R1,442.6 m²,"$204,000","$204,000",0.0%
"Millar St, Lismore Heights",R1,424 m²,"$26,000","$26,000",0.0%
"Robrown Dr, Lismore Heights",R1,746.1 m²,"$230,000","$230,000",0.0%
"Cullen St, Nimbin",RU5,1940 m²,"$380,000","$415,000",9.2%
"Thorburn St, Nimbin",RU5,1012 m²,"$295,000","$320,000",8.5%
"Pine St, North Lismore",R2,698.1 m²,"$80,000","$80,000",0.0%
"Bank St, North Woodburn",RU5,885.2 m²,"$200,000","$180,000",-10.0%
"Richmond Hill Rd, Richmond Hill",R5,3302 m²,"$446,000","$470,000",5.4%
"Cromer St, South Lismore",R2,1005 m²,"$79,000","$79,000",0.0%
"Campbell St, Wyrallah",RU5,2070 m²,"$219,000","$243,000",11.0%
