Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Eleventh Ave, Austral",R2,1.214 ha,"$6,350,000","$7,200,000",13.4%
"Fifteenth Ave, Austral",R3,1.214 ha,"$6,600,000","$6,600,000",0.0%
"Lacerta Rd, Austral",R2,375 m²,"$550,000","$580,000",5.5%
"Nemean Rd, Austral",R3,223.3 m²,"$459,000","$480,000",4.6%
"Nino Ave, Austral",C4,3183 m²,"$1,710,000","$1,800,000",5.3%
"Findley Rd, Bringelly",R5,2.038 ha,"$3,000,000","$2,750,000",-8.3%
"Coonong St, Busby",R3,556.4 m²,"$540,000","$600,000",11.1%
"Graziers Way, Carnes Hill",R3,450 m²,"$580,000","$620,000",6.9%
"Bottlebrush Ave, Casula",R2,525 m²,"$620,000","$670,000",8.1%
"Carnation Ave, Casula",R2,1847.7 m²,"$1,850,000","$2,100,000",13.5%
"De Meyrick Ave, Casula",R3,2.606 ha,"$14,000,000","$14,500,000",3.6%
"Gibson Ave, Casula",R3,1373.7 m²,"$1,600,000","$1,900,000",18.8%
"Guise Ave, Casula",R3,675 m²,"$685,000","$780,000",13.9%
"St Andrews Bvd, Casula",R2,557.4 m²,"$570,000","$650,000",14.0%
"Birgitte Cres, Cecil Hills",R2,620.9 m²,"$700,000","$800,000",14.3%
"Lancaster Ave, Cecil Hills",R3,624.9 m²,"$760,000","$860,000",13.2%
"Chesham Pl, Chipping Norton",R2,525 m²,"$780,000","$900,000",15.4%
"Longstaff Ave, Chipping Norton",R3,663.9 m²,"$800,000","$900,000",12.5%
"Newbridge Rd, Chipping Norton",R2,815.7 m²,"$800,000","$1,100,000",37.5%
"Cubitt Dr, Denham Court",R5,1 ha,"$2,500,000","$2,750,000",10.0%
"Ardennes Ave, Edmondson Park",R1,6805 m²,"$3,300,000","$3,800,000",15.2%
"General Bvd, Edmondson Park",B4,314.6 m²,"$400,000","$560,000",40.0%
"Hartlepool Rd, Edmondson Park",R1,352.1 m²,"$630,000","$720,000",14.3%
"Eber Ave, Elizabeth Hills",R1,510 m²,"$815,000","$950,000",16.6%
"Varney Ave, Elizabeth Hills",R2,375 m²,"$550,000","$670,000",21.8%
"Cygnet Ave, Green Valley",R3,450 m²,"$575,000","$640,000",11.3%
"Lyrebird Cres, Green Valley",R2,530.6 m²,"$600,000","$650,000",8.3%
"Waygara Ave, Green Valley",R2,566.9 m²,"$570,000","$670,000",17.5%
"Jagungal Pl, Heckenberg",R2,,"$360,000","$400,000",11.1%
"Matthew Ave, Heckenberg",R2,562.8 m²,"$550,000","$600,000",9.1%
"Rossini Dr, Hinchinbrook",R2,450 m²,"$560,000","$600,000",7.1%
"Derna Rd, Holsworthy",R3,557.48 m²,"$730,000","$860,000",17.8%
"Merriwa Ave, Hoxton Park",R2,435 m²,"$550,000","$650,000",18.2%
"Biscuit St, Leppington",R3,210 m²,"$370,000","$460,000",24.3%
"Cadet St, Leppington",R2,312.5 m²,"$525,000","$590,000",12.4%
"Camden Valley Way, Leppington",R2,3.033 ha,"$8,260,000","$8,650,000",4.7%
"Atkinson St, Liverpool",R4,866 m²,"$1,050,000","$1,050,000",0.0%
"George St, Liverpool",MU1,442.6 m²,"$2,320,000","$2,400,000",3.5%
"Mill Rd, Liverpool",R4,1051 m²,"$2,250,000","$2,250,000",0.0%
"Riverpark Dr, Liverpool",R4,4537 m²,"$4,100,000","$4,100,000",0.0%
"Wildman Ave, Liverpool",R2,556.4 m²,"$630,000","$680,000",7.9%
"Adrian Ave, Lurnea",R3,588.1 m²,"$650,000","$700,000",7.7%
"Weir Cres, Lurnea",R2,562.8 m²,"$580,000","$620,000",6.9%
"Robey Ave, Middleton Grange",R1,406.5 m²,"$640,000","$670,000",4.7%
"Cabramatta Ave, Miller",R4,619.7 m²,"$540,000","$650,000",20.4%
"Corriedale St, Miller",R4,1964 m²,"$2,500,000","$2,500,000",0.0%
"Boyce St, Moorebank",R1,309.3 m²,"$540,000","$580,000",7.4%
"Craig Ave, Moorebank",R3,682.9 m²,"$840,000","$950,000",13.1%
"Mainstay St, Moorebank",R3,300 m²,"$530,000","$560,000",5.7%
"Market St, Moorebank",R2,519.3 m²,"$680,000","$720,000",5.9%
"Travers St, Moorebank",R3,375 m²,"$700,000","$780,000",11.4%
"Riverview Rd, Pleasure Point",R2,841 m²,"$940,000","$980,000",4.3%
"Braidwood Dr, Prestons",R2,466.6 m²,"$550,000","$600,000",9.1%
"Camden Valley Way, Prestons",R2,395.5 m²,"$35,000","$35,000",0.0%
"Camden Valley Way, Prestons",R2,3052 m²,"$3,600,000","$3,600,000",0.0%
"Geebung Ct, Voyager Point",R2,585.8 m²,"$740,000","$900,000",21.6%
"Freeman St, Warwick Farm",R3,607 m²,"$640,000","$700,000",9.4%
"Mcgirr Pde, Warwick Farm",R3,657.6 m²,"$600,000","$680,000",13.3%
"Stroud Ave, Warwick Farm",R2,1797.9 m²,"$1,400,000","$1,460,000",4.3%
"Alexandrina Ct, Wattle Grove",R2,450.8 m²,"$650,000","$760,000",16.9%
"Carmichael Dr, West Hoxton",R2,512 m²,"$605,000","$650,000",7.4%
"Godfrey Ave, West Hoxton",R2,714.5 m²,"$650,000","$740,000",13.9%
"Twenty Seventh Ave, West Hoxton",Z,2.029 ha,"$1,250,000","$1,250,000",0.0%
