Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Bond St, Lockhart",RU5,1 ha,"$197,000","$197,000",0.0%
"Drummond St, Lockhart",RU5,1012 m²,"$65,700","$68,900",4.9%
"Green St, Lockhart",RU5,749.3 m²,"$21,000","$21,000",0.0%
"Reid St, Lockhart",RU5,2023 m²,"$66,800","$66,800",0.0%
"Treasure St, Lockhart",R5,1.505 ha,"$219,000","$219,000",0.0%
"Roberts St, Milbrulong",RU5,2023 m²,"$14,300","$47,900",235.0%
"Manson St, Pleasant Hills",RU5,2023 m²,"$8,560","$8,980",4.9%
"Hill St, The Rock",RU5,1.798 ha,"$236,000","$276,000",17.0%
"Nicholas St, The Rock",RU5,1012 m²,"$76,000","$79,800",5.0%
"Nicholas St, The Rock",RU5,2024 m²,"$126,000","$170,000",34.9%
"Old Trunk Rd, The Rock",R5,4.047 ha,"$259,000","$259,000",0.0%
"Scott St, The Rock",RU5,4557 m²,"$150,000","$202,000",34.7%
"Urana St, The Rock",RU5,1872 m²,"$38,100","$40,000",5.0%
"Macconochie St, Yerong Creek",RU5,1819 m²,"$54,500","$54,500",0.0%
