Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Oakhampton Rd, Aberglasslyn",R1,540.1 m²,"$350,000","$350,000",0.0%
"Poplar Cl, Aberglasslyn",R1,659.5 m²,"$360,000","$370,000",2.8%
"Silky Oak Dr, Aberglasslyn",R5,4073 m²,"$690,000","$720,000",4.4%
"Centenary Cl, Bolwarra Heights",R1,603.1 m²,"$450,000","$450,000",0.0%
"Prince St, Bolwarra Heights",R1,700.9 m²,"$450,000","$435,000",-3.3%
"Riverview Rd, Bolwarra Heights",C4,8132 m²,"$800,000","$775,000",-3.1%
"Dragonfly Dr, Chisholm",R1,525 m²,"$430,000","$465,000",8.1%
"Forest Dr, Chisholm",R5,5271 m²,"$752,000","$750,000",-0.3%
"Macrae St, East Maitland",R1,642.7 m²,"$413,000","$413,000",0.0%
"Melbourne St, East Maitland",MU1,562.8 m²,"$520,000","$580,000",11.5%
"Morton St, East Maitland",R1,568 m²,"$375,000","$375,000",0.0%
"Newcastle St, East Maitland",R1,670.3 m²,"$400,000","$400,000",0.0%
"Porter Ave, East Maitland",R1,778.7 m²,"$520,000","$520,000",0.0%
"William St, East Maitland",R1,559 m²,"$450,000","$450,000",0.0%
"Wilton Dr, East Maitland",R1,772.8 m²,"$485,000","$485,000",0.0%
"Rawmarsh St, Farley",R1,574.4 m²,"$360,000","$345,000",-4.2%
"Crestview St, Gillieston Heights",R1,490.5 m²,"$360,000","$380,000",5.6%
"Ryans Rd, Gillieston Heights",R1,10.33 ha,"$3,940,000","$3,940,000",0.0%
"Albert St, Horseshoe Bend",R1,448.7 m²,"$300,000","$335,000",11.7%
"Ayrshire Way, Largs",R5,2007 m²,"$630,000","$630,000",0.0%
"George St, Largs",R1,809.4 m²,"$430,000","$425,000",-1.2%
"Eloura St, Lochinvar",R1,590.9 m²,"$390,000","$390,000",0.0%
"Freeman Dr, Lochinvar",R5,3422 m²,"$558,000","$560,000",0.4%
"Allan St, Lorn",R1,613.4 m²,"$607,000","$610,000",0.5%
"Dagworth Rd, Louth Park",R5,7.872 ha,"$2,150,000","$2,150,000",0.0%
"Reflection Dr, Louth Park",R5,5130 m²,"$740,000","$790,000",6.8%
"Bourke St, Maitland",R1,373.9 m²,"$315,000","$330,000",4.8%
"Denman St, Maitland",MU1,581.6 m²,"$415,000","$410,000",-1.2%
"Regent St, Maitland",R1,600.7 m²,"$390,000","$420,000",7.7%
"Cedar Cl, Metford",R1,552.5 m²,"$355,000","$355,000",0.0%
"High St, Morpeth",R1,626 m²,"$550,000","$550,000",0.0%
"Laurie Dr, Raworth",R1,822 m²,"$404,000","$410,000",1.5%
"Easton Cl, Rutherford",R1,916.6 m²,"$344,000","$360,000",4.7%
"Fourth Ave, Rutherford",R1,607 m²,"$313,000","$330,000",5.4%
"Capp St, Telarah",R1,514.91 m²,"$346,000","$370,000",6.9%
"South St, Telarah",R1,4066 m²,"$1,150,000","$1,150,000",0.0%
"Bradbury St, Tenambit",R1,575.4 m²,"$380,000","$400,000",5.3%
"Acer Tce, Thornton",R1,621.4 m²,"$441,000","$441,000",0.0%
"Glenroy St, Thornton",R1,682.9 m²,"$375,000","$400,000",6.7%
"Haussman Dr, Thornton",R1,2.032 ha,"$3,450,000","$3,450,000",0.0%
"John Arthur Ave, Thornton",R1,680.5 m²,"$390,000","$390,000",0.0%
"River Rd, Windella",R5,5500 m²,"$679,000","$680,000",0.2%
"Frewin Ave, Woodberry",R1,756.4 m²,"$310,000","$310,000",0.0%
