Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Castlereagh Hwy, Birriwa",RU5,4048 m²,"$12,500","$13,000",4.0%
"Bocoble Rd, Bocoble",R5,10.58 ha,"$320,000","$320,000",0.0%
"Suttor Ave, Caerleon",R1,720.2 m²,"$220,000","$222,000",0.9%
"Station St, Charbon",RU5,923.2 m²,"$63,000","$65,000",3.2%
"Arber St, Clandulla",RU5,2021 m²,"$70,000","$77,000",10.0%
"Winchester Cres, Cooks Gap",R5,10.12 ha,"$289,000","$346,000",19.7%
"Carara Rd, Erudgere",R5,10.12 ha,"$586,000","$586,000",0.0%
"Caledonian St, Gulgong",R2,8094 m²,"$300,000","$300,000",0.0%
"Grimshaw Lane, Gulgong",R1,4.047 ha,"$319,000","$333,000",4.4%
"Medley St, Gulgong",R1,869.6 m²,"$184,000","$193,000",4.9%
"Medley St, Gulgong",MU1,1921 m²,"$200,000","$210,000",5.0%
"Old Mill Rd, Gulgong",R5,5.577 ha,"$455,000","$460,000",1.1%
"Castlereagh Hwy, Ilford",RU5,1.834 ha,"$160,000","$160,000",0.0%
"Castlereagh Hwy, Ilford",R5,40 ha,"$430,000","$470,000",9.3%
"Angus Ave, Kandos",RU5,1012 m²,"$52,000","$54,500",4.8%
"Dabee Rd, Kandos",RU5,4047 m²,"$145,000","$145,000",0.0%
"Dunn St, Kandos",RU5,1012 m²,"$115,000","$118,000",2.6%
"Stewart St, Kandos",RU5,1562 m²,"$164,000","$164,000",0.0%
"Gunther St, Lue",RU5,4046 m²,"$114,000","$114,000",0.0%
"Lue Rd, Lue",R5,10.2 ha,"$249,000","$265,000",6.4%
"Bateman Ave, Mudgee",R1,959 m²,"$275,000","$283,000",2.9%
"Church St, Mudgee",MU1,419.5 m²,"$402,000","$395,000",-1.7%
"Denison St, Mudgee",R3,515 m²,"$310,000","$322,000",3.9%
"Lahy Ct, Mudgee",R1,826.2 m²,"$195,000","$195,000",0.0%
"Madeira Rd, Mudgee",R1,1082 m²,"$339,000","$339,000",0.0%
"Mulgoa Way, Mudgee",R1,660 m²,"$255,000","$255,000",0.0%
"Robertson St, Mudgee",R1,1 ha,"$800,000","$800,000",0.0%
"White Cir, Mudgee",R1,840 m²,"$199,000","$209,000",5.0%
"Chestnut Cl, Putta Bucca",R2,5857 m²,"$400,000","$384,000",-4.0%
"Pyramul Rd, Pyramul",RU5,2.114 ha,"$107,000","$111,000",3.7%
"Acacia Dr, Rylstone",R2,2.334 ha,"$365,000","$365,000",0.0%
"Bylong Valley Way, Rylstone",RU5,5242.3 m²,"$259,000","$259,000",0.0%
"Louee St, Rylstone",RU5,746.1 m²,"$94,100","$108,000",14.8%
"Piper St, Rylstone",RU5,1721 m²,"$175,000","$201,000",14.9%
"Cope Rd, Stubbo",R5,10.12 ha,"$329,000","$360,000",9.4%
"Bylong Valley Way, Upper Growee",R5,10.04 ha,"$309,000","$320,000",3.6%
"Price St, Wollar",RU5,2023 m²,"$40,000","$40,000",0.0%
