Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Stroud St, Allworth",RU5,1011 m²,"$160,000","$165,000",3.1%
"Argyle St, Barrington",RU5,2025 m²,"$235,000","$250,000",6.4%
"Lucas Ct, Black Head",R1,674.7 m²,"$419,000","$450,000",7.4%
"Ocean St, Black Head",R1,594.4 m²,"$879,000","$880,000",0.1%
"Croll St, Blueys Beach",R2,556.4 m²,"$1,150,000","$1,150,000",0.0%
"Newman Ave, Blueys Beach",R2,543.8 m²,"$3,600,000","$3,600,000",0.0%
"Boomerang Dr, Boomerang Beach",R2,811.9 m²,"$905,000","$900,000",-0.6%
"Crawford St, Bulahdelah",RU5,1176 m²,"$250,000","$250,000",0.0%
"Markwell Rd, Bulahdelah",RU5,2809 m²,"$250,000","$250,000",0.0%
"Markwell Back Rd, Bulahdelah",R5,2.21 ha,"$410,000","$485,000",18.3%
"Prince St, Bulahdelah",RU5,757 m²,"$175,000","$195,000",11.4%
"Stroud St, Bulahdelah",RU5,1075 m²,"$190,000","$190,000",0.0%
"Bundabah Rd, Bundabah",RU5,1214 m²,"$310,000","$310,000",0.0%
"Hungerford St, Bundook",R5,8094 m²,"$173,000","$175,000",1.2%
"The Lakes Way , Bungwahl",RU5,2023 m²,"$350,000","$350,000",0.0%
"Charlotte Bay St, Charlotte Bay",RU5,708.2 m²,"$385,000","$420,000",9.1%
"Lombard St, Coolongolook",RU5,1012 m²,"$250,000","$260,000",4.0%
"Burraneer Rd, Coomba Park",C4,10 ha,"$685,000","$600,000",-12.4%
"Coonabarabran Rd, Coomba Park",RU5,557.48 m²,"$180,000","$180,000",0.0%
"Petrie St, Coopernook",RU5,1012 m²,"$220,000","$220,000",0.0%
"Young St, Croki",RU5,607 m²,"$185,000","$185,000",0.0%
"Deborah St, Crowdy Head",RU5,632.3 m²,"$910,000","$880,000",-3.3%
"Clovernook Dr, Cundletown",R5,1.5 ha,"$390,000","$390,000",0.0%
"Kolonga Pl, Cundletown",R1,629 m²,"$230,000","$230,000",0.0%
"River St, Cundletown",R1,1171 m²,"$600,000","$600,000",0.0%
"Figtree Dr, Diamond Beach",R5,8123 m²,"$635,000","$635,000",0.0%
"Jubilee Pde, Diamond Beach",R1,613.4 m²,"$1,330,000","$1,100,000",-17.3%
"Seaview St, Diamond Beach",R1,634.1 m²,"$440,000","$440,000",0.0%
"Padmans Rd, Elands",RU5,1552 m²,"$89,500","$105,000",17.3%
"Hillside Pde, Elizabeth Beach",R2,602 m²,"$665,000","$665,000",0.0%
"Angus Dr, Failford",R5,5000 m²,"$455,000","$525,000",15.4%
"Akala Ave, Forster",R2,705.8 m²,"$465,000","$435,000",-6.5%
"Becker Rd, Forster",R2,556.4 m²,"$890,000","$810,000",-9.0%
"Bounty Key, Forster",R2,641.1 m²,"$790,000","$790,000",0.0%
"Cape Hawke Dr, Forster",R5,6178 m²,"$695,000","$695,000",0.0%
"Cavill Ave, Forster",R2,557.48 m²,"$370,000","$350,000",-5.4%
"Helen St, Forster",R3,569.1 m²,"$410,000","$430,000",4.9%
"Sunset Ave, Forster",R2,581.7 m²,"$410,000","$390,000",-4.9%
"Wallis St, Forster",R4,1619 m²,"$2,200,000","$2,100,000",-4.6%
"Church St, Gloucester",MU1,948.5 m²,"$215,000","$215,000",0.0%
"Church St, Gloucester",R3,613.3 m²,"$225,000","$225,000",0.0%
"Denison St, Gloucester",R2,1012 m²,"$173,000","$200,000",15.6%
"Moonlight Cct, Gloucester",R5,4589 m²,"$275,000","$315,000",14.6%
"Rye Cres, Gloucester",R2,736.4 m²,"$125,000","$145,000",16.0%
"Wright Cl, Gloucester",R5,8085 m²,"$410,000","$450,000",9.8%
"Emerald Pl, Green Point",RU5,575.4 m²,"$300,000","$300,000",0.0%
"Pacific View Dr, Hallidays Point",R5,5349 m²,"$485,000","$485,000",0.0%
"The Ridge , Hallidays Point",R5,4026 m²,"$680,000","$680,000",0.0%
"Beach St, Harrington",MU1,638.6 m²,"$1,210,000","$1,210,000",0.0%
"Church St, Harrington",R1,505.9 m²,"$440,000","$440,000",0.0%
"Diamantina Cct, Harrington",R1,608.8 m²,"$350,000","$385,000",10.0%
"Elizabeth St, Harrington",R1,486.9 m²,"$320,000","$305,000",-4.7%
"John Gollan Ave, Harrington",R1,644.7 m²,"$645,000","$700,000",8.5%
"Binda St, Hawks Nest",R3,1012 m²,"$605,000","$680,000",12.4%
"Booner St, Hawks Nest",MU1,752.8 m²,"$900,000","$900,000",0.0%
"Mermaid Ave, Hawks Nest",R2,556.4 m²,"$475,000","$535,000",12.6%
"The Anchorage , Hawks Nest",R2,923.2 m²,"$980,000","$1,100,000",12.2%
"Station St, Johns River",RU5,1287 m²,"$205,000","$205,000",0.0%
"Alice St, Karuah",RU5,696.7 m²,"$290,000","$300,000",3.5%
"The Bucketts Way , Krambach",RU5,1012 m²,"$220,000","$220,000",0.0%
"Cundle Rd, Lansdowne",RU5,834.7 m²,"$175,000","$175,000",0.0%
"Old Coach Rd, Limeburners Creek",RU5,1081 m²,"$220,000","$220,000",0.0%
"Manning St, Manning Point",RU5,518.5 m²,"$285,000","$285,000",0.0%
"Farnell St, Nabiac",RU5,1073 m²,"$310,000","$330,000",6.5%
"Martin St, Nabiac",R5,5000 m²,"$450,000","$420,000",-6.7%
"Whimbrel Dr, Nerong",RU5,666 m²,"$130,000","$145,000",11.5%
"Eastslope Way, North Arm Cove",RU5,780.43 m²,"$318,000","$335,000",5.4%
"Eastslope Way, North Arm Cove",RU5,1103 m²,"$860,000","$880,000",2.3%
"Corkwood St, Old Bar",R1,778.9 m²,"$380,000","$380,000",0.0%
"Lewis St, Old Bar",R1,923.2 m²,"$1,190,000","$1,190,000",0.0%
"Old Bar Rd, Old Bar",R1,7.138 ha,"$992,000","$1,000,000",0.8%
"South Heron Rd, Old Bar",R5,5003 m²,"$500,000","$510,000",2.0%
"Cambage St, Pindimar",RU5,1031 m²,"$325,000","$325,000",0.0%
"Cunningham St, Pindimar",RU5,2441 m²,"$820,000","$850,000",3.7%
"Koree St, Pindimar",RU5,1214 m²,"$280,000","$295,000",5.4%
"Wombo St, Pindimar",RU5,1315 m²,"$720,000","$750,000",4.2%
"Saunders St, Purfleet",RU5,632.3 m²,"$50,000","$50,000",0.0%
"Red Head Rd, Red Head",R1,557.8 m²,"$485,000","$485,000",0.0%
"Torquay Cct, Red Head",R1,700 m²,"$465,000","$420,000",-9.7%
"Kinka Rd, Seal Rocks",RU5,691.1 m²,"$1,260,000","$1,260,000",0.0%
"Amaroo Dr, Smiths Lake",RU5,841.5 m²,"$655,000","$640,000",-2.3%
"Paradise Dr, Smiths Lake",R5,1.08 ha,"$690,000","$690,000",0.0%
"Third Ridge Rd, Smiths Lake",RU5,648.9 m²,"$330,000","$300,000",-9.1%
"Wood St, Stratford",RU5,2023 m²,"$150,000","$160,000",6.7%
