Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Rose St, Ashley",RU5,2023 m²,"$34,200","$49,500",44.7%
"Gwydir St, Biniguy",RU5,2023 m²,"$3,050","$13,000",326.2%
"Yeoman St, Boggabilla",RU5,2023 m²,"$7,580","$7,580",0.0%
"Bendygleet Rd, Moree",R5,2.531 ha,"$205,000","$213,000",3.9%
"Boland Dr, Moree",R1,675 m²,"$22,800","$22,800",0.0%
"Callaille Ave, Moree",R2,1370 m²,"$169,000","$169,000",0.0%
"Carbeen St, Moree",C4,1.012 ha,"$121,000","$121,000",0.0%
"Gwydir St, Moree",R1,1012 m²,"$120,000","$120,000",0.0%
"Jacaranda Dr, Moree",R2,939.7 m²,"$50,600","$50,600",0.0%
"Warialda St, Moree",R1,935.8 m²,"$40,300","$41,500",3.0%
"Short St, Mungindi",R1,2023 m²,"$2,570","$2,570",0.0%
"Paramellowa St, Pallamallawa",RU5,2024 m²,"$32,200","$36,000",11.8%
