Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Bardwell Rd, Mosman",R2,314.23 m²,"$2,700,000","$2,950,000",9.3%
"Beauty Point Rd, Mosman",C4,651.3 m²,"$3,000,000","$3,250,000",8.3%
"Bond St, Mosman",R3,434.7 m²,"$2,650,000","$2,900,000",9.4%
"Bradleys Head Rd, Mosman",R2,752.5 m²,"$5,200,000","$5,700,000",9.6%
"Central Ave, Mosman",R2,607.01 m²,"$3,200,000","$3,400,000",6.3%
"Holt Ave, Mosman",C4,345.49 m²,"$2,700,000","$2,950,000",9.3%
"Hopetoun Ave, Mosman",C4,446.9 m²,"$6,000,000","$6,550,000",9.2%
"Kardinia Rd, Mosman",C4,663.9 m²,"$6,750,000","$7,100,000",5.2%
"Lennox St, Mosman",C4,526.97 m²,"$3,500,000","$3,850,000",10.0%
"Mandolong Rd, Mosman",C4,562.8 m²,"$5,500,000","$6,250,000",13.6%
"Milner St, Mosman",R2,508.2 m²,"$3,000,000","$3,300,000",10.0%
"Muston St, Mosman",R3,562.8 m²,"$5,500,000","$6,000,000",9.1%
"Pearl Bay Ave, Mosman",C4,588 m²,"$6,000,000","$6,500,000",8.3%
"Wolseley Rd, Mosman",R2,505.9 m²,"$4,750,000","$5,200,000",9.5%
