Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Fairview Ct, Barham",R5,7373 m²,"$220,000","$235,000",6.8%
"Niemur St, Barham",R1,1012 m²,"$130,000","$138,000",6.2%
"Teddys Lane, Barham",R1,5901 m²,"$355,000","$356,000",0.3%
"Teddys Lane, Barham",R1,2679 m²,"$640,000","$670,000",4.7%
"Fitzroy St, Bunnaloo",RU5,1.917 ha,"$30,000","$30,000",0.0%
"Cheer St, Koraleigh",RU5,1012 m²,"$25,000","$25,000",0.0%
"Cobb Hwy, Mathoura",R5,4.043 ha,"$213,000","$195,000",-8.5%
"Conargo St, Mathoura",RU5,1897 m²,"$88,000","$92,400",5.0%
"Aberdeen Way, Moama",R1,720 m²,"$240,000","$216,000",-10.0%
"Kilkerrin Dr, Moama",R5,7864 m²,"$475,000","$490,000",3.2%
"Merool Rd, Moama",R1,2.192 ha,"$595,000","$600,000",0.8%
"River Gums Dr, Moama",R2,1963 m²,"$506,000","$510,000",0.8%
"Nyang St, Moulamein",RU5,1012 m²,"$30,000","$30,200",0.7%
"Swan Hill Rd, Moulamein",R5,1.441 ha,"$125,000","$126,000",0.8%
"Templeton Cl, Murray Downs",R1,1110 m²,"$260,000","$340,000",30.8%
"Cadell St, Tooleybuc",RU5,2023 m²,"$70,000","$70,000",0.0%
"De Quiros St, Wakool",RU5,1070 m²,"$25,000","$32,500",30.0%
