Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Bluebonnet Cres, Coleambally",RU5,1157 m²,"$28,300","$30,500",7.8%
"Channel Nine Rd, Coleambally",R5,4.047 ha,"$111,000","$119,000",7.2%
"Kestrel Rd, Coleambally",RU5,1524 m²,"$26,200","$26,200",0.0%
"Campbell St, Darlington Point",RU5,1003 m²,"$62,100","$68,300",10.0%
"Short St, Darlington Point",R5,2.05 ha,"$211,000","$232,000",10.0%
"Sturt Hwy, Darlington Point",RU5,2023 m²,"$17,000","$18,700",10.0%
"Jerilderie St, Jerilderie",RU5,540.2 m²,"$24,500","$24,500",0.0%
"Mahonga St, Jerilderie",RU5,1015 m²,"$34,400","$34,400",0.0%
"O'Neill St, Jerilderie",RU5,7235.8 m²,"$62,400","$62,400",0.0%
"Rankin Rd, Jerilderie",R5,2 ha,"$120,000","$120,000",0.0%
