Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Grey Gum Rd, Denman",R5,7260 m²,"$305,000","$300,000",-1.6%
"Rosemount Rd, Denman",RU5,5.387 ha,"$750,000","$735,000",-2.0%
"Turtle St, Denman",RU5,970.8 m²,"$145,000","$155,000",6.9%
"Anzac Pde, Muswellbrook",R1,676.6 m²,"$95,700","$105,000",9.7%
"Bligh St, Muswellbrook",R1,771.4 m²,"$160,000","$160,000",0.0%
"Casuarina Cl, Muswellbrook",R1,701.9 m²,"$130,000","$135,000",3.9%
"Chardonnay St, Muswellbrook",R1,751.9 m²,"$158,000","$165,000",4.4%
"Fitzgerald Ave, Muswellbrook",R1,1.731 ha,"$640,000","$670,000",4.7%
"King St, Muswellbrook",R1,834.7 m²,"$170,000","$175,000",2.9%
"Lower Hill St, Muswellbrook",R1,674.1 m²,"$120,000","$120,000",0.0%
"Maitland St, Muswellbrook",R1,860 m²,"$150,000","$150,000",0.0%
"Mussel St, Muswellbrook",R1,647.7 m²,"$150,000","$160,000",6.7%
"Shaw Cres, Muswellbrook",R1,733.5 m²,"$140,000","$145,000",3.6%
"Stockyard Pde, Muswellbrook",R5,4127 m²,"$311,000","$300,000",-3.5%
"Goulburn Dr, Sandy Hollow",RU5,2023 m²,"$120,000","$130,000",8.3%
