Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Bowra St, Bowraville",RU5,746.1 m²,"$135,000","$140,000",3.7%
"Upper Warrell Creek Rd, Congarinni",R5,1.001 ha,"$356,000","$380,000",6.7%
"Main St, Eungai Creek",RU5,1610 m²,"$185,000","$195,000",5.4%
"Matilda St, Macksville",MU1,569.1 m²,"$245,000","$255,000",4.1%
"Sturdee St, Macksville",R2,618.6 m²,"$378,000","$378,000",0.0%
"Wallace St, Macksville",R1,957 m²,"$260,000","$245,000",-5.8%
"West St, Macksville",R3,809.4 m²,"$270,000","$270,000",0.0%
"Lackey St, Nambucca Heads",R3,765.1 m²,"$380,000","$395,000",4.0%
"Nambucca St, Nambucca Heads",R1,686.1 m²,"$285,000","$285,000",0.0%
"Ridge St, Nambucca Heads",R4,910.5 m²,"$600,000","$600,000",0.0%
"Adin St, Scotts Head",MU1,451.5 m²,"$462,000","$470,000",1.7%
"Matthew St, Scotts Head",R1,784 m²,"$900,000","$850,000",-5.6%
"Vernon St, Scotts Head",R1,675.2 m²,"$475,000","$440,000",-7.4%
"Taylors Arm Rd, Taylors Arm",RU5,771.4 m²,"$125,000","$130,000",4.0%
"Priory Pde, Valla",R5,2.024 ha,"$525,000","$525,000",0.0%
"Hibiscus Dr, Valla Beach",R1,804.2 m²,"$425,000","$425,000",0.0%
"Valla Beach Rd, Valla Beach",R1,1.89 ha,"$1,050,000","$1,050,000",0.0%
"Albert Dr, Warrell Creek",RU5,1041 m²,"$185,000","$195,000",5.4%
"Scotts Head Rd, Way Way",R5,2 ha,"$550,000","$550,000",0.0%
"Rodeo Dr, Wirrimbi",R5,8.919 ha,"$600,000","$600,000",0.0%
