Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Baranbah St, Baan Baa",RU5,2023 m²,"$36,300","$36,300",0.0%
"Gurley St, Bellata",RU5,2023 m²,"$39,900","$39,900",0.0%
"Clark Rd, Boggabri",R5,3.033 ha,"$102,000","$102,000",0.0%
"Merton St, Boggabri",R1,1012 m²,"$66,600","$66,600",0.0%
"Wee Waa St, Boggabri",MU1,1012 m²,"$56,800","$56,800",0.0%
"Queen St, Edgeroi",RU5,8094 m²,"$30,000","$30,000",0.0%
"Holmes St, Gwabegar",RU5,1580 m²,"$20,000","$20,000",0.0%
"Baranbar St, Narrabri",R1,870.6 m²,"$128,000","$128,000",0.0%
"Barwan St, Narrabri",R1,727.2 m²,"$113,000","$124,000",9.7%
"Blanche Peadon Dr, Narrabri",R1,562.8 m²,"$40,900","$40,900",0.0%
"Dangar St, Narrabri",MU1,1012 m²,"$126,000","$126,000",0.0%
"Gibbons St, Narrabri",R1,1012 m²,"$195,000","$195,000",0.0%
"Riverside Dr, Narrabri",R5,6000 m²,"$265,000","$265,000",0.0%
"Stafford Dr, Narrabri",R5,2.02 ha,"$230,000","$253,000",10.0%
"Annabella St, Pilliga",RU5,2832.8 m²,"$23,400","$23,400",0.0%
"Alma St, Wee Waa",R1,1214 m²,"$39,900","$39,900",0.0%
"Warrior St, Wee Waa",MU1,1347 m²,"$40,000","$40,000",0.0%
"Yarrie Lake Rd, Wee Waa",R5,3.98 ha,"$178,000","$178,000",0.0%
