Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Allambie Rd, Allambie Heights",R2,632.3 m²,"$1,290,000","$1,400,000",8.5%
"Condamine St, Allambie Heights",R2,474.2 m²,"$1,050,000","$1,080,000",2.9%
"Palermo Pl, Allambie Heights",R2,619.7 m²,"$1,300,000","$1,560,000",20.0%
"Barrenjoey Rd, Avalon Beach",R3,1100 m²,"$3,000,000","$3,150,000",5.0%
"Barrenjoey Rd, Avalon Beach",C4,474.2 m²,"$3,450,000","$4,070,000",18.0%
"Binburra Ave, Avalon Beach",C4,613.4 m²,"$1,430,000","$1,550,000",8.4%
"Binburra Ave, Avalon Beach",R2,695.6 m²,"$1,830,000","$2,100,000",14.8%
"Cabarita Rd, Avalon Beach",C4,1046.8 m²,"$3,910,000","$4,290,000",9.7%
"Central Rd, Avalon Beach",R2,1182 m²,"$1,740,000","$1,950,000",12.1%
"Elaine Ave, Avalon Beach",R2,708.2 m²,"$1,950,000","$2,050,000",5.1%
"Elvina Ave, Avalon Beach",R2,645 m²,"$1,570,000","$1,570,000",0.0%
"Hudson Pde, Avalon Beach",C4,765.1 m²,"$1,350,000","$1,520,000",12.6%
"Palmgrove Rd, Avalon Beach",R2,581.7 m²,"$1,560,000","$1,700,000",9.0%
"Wandearah Ave, Avalon Beach",C4,701.9 m²,"$1,360,000","$1,530,000",12.5%
"Lombard St, Balgowlah",R1,518.3 m²,"$1,950,000","$2,250,000",15.4%
"Woodland St, Balgowlah Heights",R2,531.1 m²,"$2,300,000","$2,720,000",18.3%
"Beaumont Cres, Bayview",R2,700 m²,"$1,610,000","$1,810,000",12.4%
"Gilwinga Dr, Bayview",R5,4047 m²,"$2,000,000","$2,300,000",15.0%
"Kananook Ave, Bayview",C4,695.3 m²,"$1,500,000","$1,620,000",8.0%
"Elliot St, Beacon Hill",R2,556.4 m²,"$1,160,000","$1,330,000",14.7%
"Lady Penrhyn Dr, Beacon Hill",R2,585.6 m²,"$1,540,000","$1,820,000",18.2%
"Charleroi Rd, Belrose",R2,695.6 m²,"$1,190,000","$1,300,000",9.2%
"Seaview Pde, Belrose",R3,432.8 m²,"$1,190,000","$1,260,000",5.9%
"Seeana Pl, Belrose",R2,695.6 m²,"$1,190,000","$1,300,000",9.2%
"Birubi Cres, Bilgola Plateau",C4,841 m²,"$1,230,000","$1,380,000",12.2%
"Mariposa Rd, Bilgola Plateau",R2,695.6 m²,"$1,400,000","$1,500,000",7.1%
"Consul Rd, Brookvale",R2,556.4 m²,"$1,230,000","$1,360,000",10.6%
"Mccarrs Creek Rd, Church Point",C4,1012.7 m²,"$2,550,000","$2,750,000",7.8%
"Alexander St, Collaroy",R2,537.5 m²,"$1,750,000","$1,800,000",2.9%
"Cliff Rd, Collaroy",R2,836.22 m²,"$4,500,000","$5,250,000",16.7%
"Pittwater Rd, Collaroy",R2,696.77 m²,"$1,750,000","$1,750,000",0.0%
"Suffolk Ave, Collaroy",R2,701.9 m²,"$1,980,000","$2,370,000",19.7%
"Claudare St, Collaroy Plateau",R2,422.71 m²,"$1,630,000","$1,770,000",8.6%
"Idaline St, Collaroy Plateau",R2,657.6 m²,"$2,550,000","$2,670,000",4.7%
"Cowan Dr, Cottage Point",C4,689.2 m²,"$1,700,000","$1,830,000",7.7%
"Maybrook Ave, Cromer",R2,701.9 m²,"$1,140,000","$1,320,000",15.8%
"Toronto Ave, Cromer",R2,701.9 m²,"$1,250,000","$1,330,000",6.4%
"Tyagarah Pl, Cromer",R2,575.4 m²,"$1,180,000","$1,400,000",18.6%
"Ellen St, Curl Curl",R2,632.15 m²,"$4,000,000","$4,500,000",12.5%
"Lalchere St, Curl Curl",R2,600.7 m²,"$2,500,000","$3,050,000",22.0%
"Aranda Dr, Davidson",R2,701.9 m²,"$1,220,000","$1,390,000",13.9%
"Bix Rd, Dee Why",R2,588.1 m²,"$1,290,000","$1,550,000",20.2%
"Howard Ave, Dee Why",R3,919.8 m²,"$3,400,000","$3,600,000",5.9%
"Pacific Pde, Dee Why",MU1,766.4 m²,"$2,780,000","$2,800,000",0.7%
"Patey St, Dee Why",R2,663.9 m²,"$1,950,000","$2,250,000",15.4%
"Pittwater Rd, Dee Why",R2,739.8 m²,"$1,350,000","$1,500,000",11.1%
"Allington Cres, Elanora Heights",R2,695.6 m²,"$1,280,000","$1,360,000",6.3%
"Dendrobium Cres, Elanora Heights",R5,2 ha,"$3,250,000","$3,920,000",20.6%
"Dewrang Ave, Elanora Heights",C4,695.6 m²,"$1,200,000","$1,300,000",8.3%
"Augusta Rd, Fairlight",R1,428.2 m²,"$2,150,000","$2,580,000",20.0%
"Sydney Rd, Fairlight",R1,375 m²,"$1,850,000","$2,010,000",8.7%
"Cannons Pde, Forestville",R2,619.7 m²,"$1,280,000","$1,500,000",17.2%
"Edinburgh Rd, Forestville",R2,675.6 m²,"$1,170,000","$1,340,000",14.5%
"Warringah Rd, Forestville",R2,663.9 m²,"$960,000","$1,020,000",6.3%
"Bluegum Cres, Frenchs Forest",R3,696.85 m²,"$1,680,000","$1,770,000",5.4%
"Jimada Ave, Frenchs Forest",R2,575.4 m²,"$1,130,000","$1,320,000",16.8%
"Kurrajong Rd, Frenchs Forest",R2,695.6 m²,"$1,150,000","$1,340,000",16.5%
"Johnson St, Freshwater",R2,404.7 m²,"$2,570,000","$2,850,000",10.9%
"Ronald Ave, Freshwater",R2,935.8 m²,"$5,500,000","$5,800,000",5.5%
"Galway Ave, Killarney Heights",R2,695.6 m²,"$1,470,000","$1,650,000",12.2%
"Addison Rd, Manly",R1,414.8 m²,"$4,100,000","$4,600,000",12.2%
"Ashburner St, Manly",R3,652.3 m²,"$10,200,000","$10,900,000",6.9%
"Bower St, Manly",C4,464.5 m²,"$8,000,000","$9,500,000",18.8%
"Fairlight St, Manly",R1,435.7 m²,"$3,250,000","$3,400,000",4.6%
"Montpelier Pl, Manly",R2,584.3 m²,"$6,800,000","$7,600,000",11.8%
"Pittwater Rd, Manly",R3,344.1 m²,"$3,140,000","$3,390,000",8.0%
"Addiscombe Rd, Manly Vale",R2,511.1 m²,"$1,890,000","$2,170,000",14.8%
"Gibbs St, Manly Vale",R2,617.3 m²,"$1,700,000","$1,990,000",17.1%
"Bungan St, Mona Vale",MU1,733.5 m²,"$3,660,000","$3,650,000",-0.3%
"Darley St, Mona Vale",R3,695.6 m²,"$2,500,000","$2,600,000",4.0%
"Elimatta Rd, Mona Vale",C4,695.6 m²,"$1,670,000","$1,750,000",4.8%
"Emma St, Mona Vale",C4,695.6 m²,"$1,320,000","$1,470,000",11.4%
"Grandview Pde, Mona Vale",R2,733.5 m²,"$3,200,000","$3,300,000",3.1%
"Heath St, Mona Vale",R2,923.2 m²,"$2,800,000","$3,100,000",10.7%
"Jeanette Ave, Mona Vale",R2,695.5 m²,"$1,310,000","$1,440,000",9.9%
"Mount Pleasant Ave, Mona Vale",C4,695.6 m²,"$1,400,000","$1,480,000",5.7%
"Parkland Rd, Mona Vale",R2,695.6 m²,"$1,410,000","$1,540,000",9.2%
"Pittwater Rd, Mona Vale",R3,847.3 m²,"$1,400,000","$1,580,000",12.9%
"Surfview Rd, Mona Vale",C4,1113 m²,"$7,700,000","$10,200,000",32.5%
"Wallaby Cct, Mona Vale",R3,562.3 m²,"$1,240,000","$1,320,000",6.5%
"Waterview St, Mona Vale",R2,689.2 m²,"$1,500,000","$1,580,000",5.3%
"Lagoon St, Narrabeen",R2,499.5 m²,"$2,100,000","$2,300,000",9.5%
"Ocean St, Narrabeen",R2,464.52 m²,"$2,370,000","$2,650,000",11.8%
"Park St, Narrabeen",R3,834.7 m²,"$3,350,000","$3,700,000",10.5%
"Pittwater Rd, Narrabeen",R2,815.7 m²,"$4,600,000","$6,100,000",32.6%
"Ara Cres, Narraweena",R2,619.7 m²,"$1,180,000","$1,350,000",14.4%
"Calvert Pde, Newport",C4,714.5 m²,"$2,400,000","$2,840,000",18.3%
"King St, Newport",R2,701.9 m²,"$1,790,000","$1,920,000",7.3%
"The Boulevarde , Newport",R2,581.7 m²,"$2,410,000","$2,580,000",7.1%
"Walworth Ave, Newport",R2,650 m²,"$2,210,000","$2,410,000",9.1%
"Taree Ave, North Balgowlah",R2,600.7 m²,"$1,750,000","$1,950,000",11.4%
"Ian Ave, North Curl Curl",R2,531.1 m²,"$2,750,000","$3,500,000",27.3%
"Thomas St, North Manly",R2,558.49 m²,"$1,820,000","$2,200,000",20.9%
"Darius Ave, North Narrabeen",R2,556.4 m²,"$1,720,000","$1,800,000",4.7%
"Garden St, North Narrabeen",C4,600.7 m²,"$1,200,000","$1,200,000",0.0%
"Lido Ave, North Narrabeen",R2,464.44 m²,"$1,280,000","$1,310,000",2.3%
"Pittwater Rd, North Narrabeen",R3,689.2 m²,"$1,450,000","$1,500,000",3.5%
"Barrenjoey Rd, Palm Beach",C4,588.1 m²,"$11,500,000","$11,500,000",0.0%
"Nabilla Rd, Palm Beach",R2,695.6 m²,"$3,400,000","$3,630,000",6.8%
"Pacific Rd, Palm Beach",C4,866.3 m²,"$3,630,000","$3,800,000",4.7%
"Queenscliff Rd, Queenscliff",R3,777.3 m²,"$3,400,000","$3,570,000",5.0%
"Judith St, Seaforth",R2,550.1 m²,"$1,730,000","$1,990,000",15.0%
"Peacock St, Seaforth",R2,726.7 m²,"$2,240,000","$2,680,000",19.6%
"Angorra Rd, Terrey Hills",R2,695.5 m²,"$1,130,000","$1,240,000",9.7%
"Blue Wren Way, Warriewood",R3,341.6 m²,"$1,170,000","$1,310,000",12.0%
"Carpenter Cres, Warriewood",C4,746.1 m²,"$2,400,000","$2,690,000",12.1%
"Fern Cct, Warriewood",R3,390 m²,"$1,210,000","$1,300,000",7.4%
"Macpherson St, Warriewood",R3,1.295 ha,"$12,000,000","$12,700,000",5.8%
"Sydney Rd, Warriewood",R2,695.6 m²,"$1,860,000","$2,120,000",14.0%
"Warriewood Rd, Warriewood",R2,733.5 m²,"$1,420,000","$1,540,000",8.5%
"Warriewood Rd, Warriewood",R3,6838 m²,"$11,500,000","$12,000,000",4.4%
"Whale Beach Rd, Whale Beach",C4,701.9 m²,"$8,180,000","$9,200,000",12.5%
