Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Coolabah Dr, Clifton Grove",R5,2.413 ha,"$630,000","$650,000",3.2%
"Chapel Hill Lane, Lucknow",RU5,1280 m²,"$225,000","$281,000",24.9%
"Adina Cres, Orange",R2,600.7 m²,"$170,000","$180,000",5.9%
"Alan Ridley Pl, Orange",R1,740.6 m²,"$310,000","$320,000",3.2%
"Amanda Pl, Orange",R1,725.5 m²,"$275,000","$280,000",1.8%
"Anson St, Orange",R1,717.1 m²,"$310,000","$310,000",0.0%
"Balmoral Dr, Orange",R1,521.5 m²,"$331,000","$315,000",-4.8%
"Bathurst Rd, Orange",R1,436.3 m²,"$210,000","$215,000",2.4%
"Boronia Cres, Orange",R2,719.1 m²,"$265,000","$280,000",5.7%
"Borrodell Dr, Orange",R2,2 ha,"$1,370,000","$1,370,000",0.0%
"Burrendong Way, Orange",C4,13.8 ha,"$1,200,000","$1,200,000",0.0%
"Clinton St, Orange",R1,539.5 m²,"$540,000","$540,000",0.0%
"Cooinda Ave, Orange",R2,1126 m²,"$395,000","$395,000",0.0%
"Diamond Dr, Orange",R1,532.1 m²,"$320,000","$320,000",0.0%
"Emily Pl, Orange",R2,863.8 m²,"$230,000","$230,000",0.0%
"Kite St, Orange",MU1,446.5 m²,"$490,000","$515,000",5.1%
"Mccarron Pl, Orange",R2,1262 m²,"$360,000","$340,000",-5.6%
"Mccormick Pl, Orange",R5,5144 m²,"$840,000","$710,000",-15.5%
"Park St, Orange",R1,2.286 ha,"$1,480,000","$1,480,000",0.0%
"Prince St, Orange",R3,1.069 ha,"$1,830,000","$1,830,000",0.0%
"Seaton St, Spring Hill",RU5,1207 m²,"$230,000","$234,000",1.7%
