Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Kadina St, Alectown",RU5,2157 m²,"$14,500","$14,500",0.0%
"Station St, Bogan Gate",RU5,2024 m²,"$23,700","$29,600",24.9%
"West St, Bogan Gate",R5,3237.6 m²,"$33,100","$41,300",24.8%
"Flagstone St, Cookamidgera",RU5,8094 m²,"$31,600","$31,600",0.0%
"Albert St, Parkes",R1,986.5 m²,"$142,000","$142,000",0.0%
"Birch Rd, Parkes",R5,8000 m²,"$281,000","$281,000",0.0%
"Bollinger St, Parkes",R1,803 m²,"$100,000","$100,000",0.0%
"Danilenko St, Parkes",R1,780 m²,"$173,000","$173,000",0.0%
"East St, Parkes",R1,569.1 m²,"$119,000","$124,000",4.2%
"Fisher St, Parkes",R5,8122 m²,"$314,000","$314,000",0.0%
"Henry Parkes Way, Parkes",R5,3.699 ha,"$333,000","$306,000",-8.1%
"Howard St, Parkes",R1,980.1 m²,"$103,000","$103,000",0.0%
"Hydrangea Ave, Parkes",R1,1.259 ha,"$343,000","$360,000",5.0%
"Jubilee St, Parkes",R1,941.7 m²,"$114,000","$114,000",0.0%
"Moulden St, Parkes",R1,3399 m²,"$137,000","$137,000",0.0%
"Peak Hill Rd, Parkes",MU1,3585 m²,"$432,000","$432,000",0.0%
"Weston St, Parkes",MU1,5518 m²,"$127,000","$127,000",0.0%
"Caswell St, Peak Hill",RU5,683 m²,"$8,240","$8,240",0.0%
"Euchie St, Peak Hill",RU5,1012 m²,"$28,100","$29,500",5.0%
"Mingelo St, Peak Hill",R5,1.619 ha,"$80,000","$80,000",0.0%
"Forbes St, Trundle",R5,8094 m²,"$31,000","$31,000",0.0%
"West St, Trundle",RU5,1012 m²,"$23,500","$48,100",104.7%
"Anderson St, Tullamore",RU5,1315 m²,"$10,900","$10,900",0.0%
"Kitchener St, Tullamore",R5,3.239 ha,"$17,200","$17,200",0.0%
