Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Marwood Dr, Beecroft",R2,935.8 m²,"$1,560,000","$1,700,000",9.0%
"Bradley Dr, Carlingford",R2,695.6 m²,"$1,370,000","$1,500,000",9.5%
"Mahony Rd, Constitution Hill",R2,2699 m²,"$2,660,000","$2,800,000",5.3%
"Norris Way, Constitution Hill",R3,,"$470,000","$490,000",4.3%
"Robbs Pl, Dundas Valley",R2,592.07 m²,"$1,100,000","$1,210,000",10.0%
"Albuera Rd, Epping",R2,689.2 m²,"$1,690,000","$1,760,000",4.1%
"Dawson St, Epping",R2,765.1 m²,"$1,760,000","$1,870,000",6.3%
"Hillside Cres, Epping",R2,3051 m²,"$3,750,000","$3,850,000",2.7%
"Second Ave, Epping",R2,696.77 m²,"$1,800,000","$1,900,000",5.6%
"Macartney St, Ermington",R2,500.9 m²,"$1,190,000","$1,280,000",7.6%
"Mcardle St, Ermington",R2,2174 m²,"$3,040,000","$3,150,000",3.6%
"Stevens St, Ermington",R2,538.82 m²,"$1,150,000","$1,240,000",7.8%
"Cowper St, Granville",MU1,556.4 m²,"$1,200,000","$1,300,000",8.3%
"Flock St, Lidcombe",R4,4928 m²,"$21,000,000","$21,000,000",0.0%
"Beaurepaire Ave, Newington",R3,309.5 m²,"$1,100,000","$1,200,000",9.1%
"Brickfield St, North Parramatta",R3,854.4 m²,"$2,200,000","$2,250,000",2.3%
"Gilbert St, North Parramatta",R2,413.1 m²,"$1,000,000","$1,140,000",14.0%
"Gladstone St, North Parramatta",R3,543.8 m²,"$1,170,000","$1,260,000",7.7%
"Somerset Dr, North Rocks",R2,695.6 m²,"$1,190,000","$1,260,000",5.9%
"Rifle Range Rd, Northmead",R3,8604 m²,"$10,500,000","$10,900,000",3.8%
"Wandella Ave, Northmead",R2,727.2 m²,"$1,040,000","$1,200,000",15.4%
"Gollan Ave, Oatlands",R2,784.1 m²,"$1,720,000","$1,860,000",8.1%
"Church St, Parramatta",MU1,254.3 m²,"$2,150,000","$2,150,000",0.0%
"George St, Parramatta",MU1,721 m²,"$9,550,000","$9,550,000",0.0%
"Grose St, Parramatta",MU1,670.2 m²,"$3,060,000","$3,060,000",0.0%
"Macquarie St, Parramatta",MU1,581.7 m²,"$5,000,000","$4,600,000",-8.0%
"Hope St, Rosehill",MU1,732.2 m²,"$4,350,000","$4,350,000",0.0%
"James Ruse Dr, Rosehill",MU1,9820 m²,"$17,500,000","$17,500,000",0.0%
"Prospect St, Rosehill",R4,1315.2 m²,"$2,200,000","$2,200,000",0.0%
"Park Rd, Rydalmere",R3,1384 m²,"$2,750,000","$2,750,000",0.0%
"Carnarvon St, Silverwater",R3,1366 m²,"$2,850,000","$2,900,000",1.8%
"Edwin Flack Ave, Sydney Olympic Park",B4,2.191 ha,"$4,000,000","$4,000,000",0.0%
"Arkana St, Telopea",R2,607 m²,"$1,180,000","$1,250,000",5.9%
"Marshall Rd, Telopea",R4,752.5 m²,"$1,300,000","$1,300,000",0.0%
"Sturt St, Telopea",R4,8758 m²,"$17,500,000","$17,500,000",0.0%
"Derbyshire Ave, Toongabbie",R2,575.4 m²,"$820,000","$890,000",8.5%
"Edna Ave, Toongabbie",R3,556.4 m²,"$760,000","$810,000",6.6%
"Greenmeadows Cres, Toongabbie",R2,557.4 m²,"$774,000","$840,000",8.5%
"Stromboli Strait , Wentworth Point",A,4816 m²,"$11,400,000","$11,200,000",-1.8%
"Railway St, Wentworthville",R3,1013 m²,"$1,360,000","$1,400,000",2.9%
"Central Ave, Westmead",R4,1333 m²,"$3,550,000","$3,400,000",-4.2%
"Marconi St, Winston Hills",R2,556.4 m²,"$980,000","$1,040,000",6.1%
