Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Bunderra Dr, Beechwood",R5,9578 m²,"$500,000","$500,000",0.0%
"Stanley Dr, Beechwood",RU5,728.7 m²,"$330,000","$330,000",0.0%
"Binbilla Dr, Bonny Hills",R1,672.7 m²,"$450,000","$470,000",4.4%
"Coreen Pl, Bonny Hills",R5,8096 m²,"$725,000","$725,000",0.0%
"Kendall Cres, Bonny Hills",R1,640.4 m²,"$495,000","$515,000",4.0%
"Short St, Bonny Hills",R1,537.5 m²,"$900,000","$900,000",0.0%
"Idant St, Camden Head",R1,556.4 m²,"$600,000","$600,000",0.0%
"Thone St, Comboyne",RU5,1012 m²,"$220,000","$230,000",4.6%
"Riverbreeze Dr, Crosslands",R1,743.2 m²,"$250,000","$250,000",0.0%
"Bell St, Dunbogan",R1,695.5 m²,"$375,000","$375,000",0.0%
"James Atkins Cl, Dunbogan",R1,832.6 m²,"$450,000","$470,000",4.4%
"Scarborough Way, Dunbogan",R1,692.3 m²,"$390,000","$405,000",3.9%
"The Boulevarde , Dunbogan",R1,1012 m²,"$630,000","$630,000",0.0%
"Herons Creek Rd, Herons Creek",RU5,818.1 m²,"$190,000","$190,000",0.0%
"Batar Creek Rd, Kendall",R1,1097 m²,"$300,000","$300,000",0.0%
"Brotherglen Dr, Kew",R2,4002 m²,"$500,000","$500,000",0.0%
"Kendall Rd, Kew",R1,823 m²,"$290,000","$290,000",0.0%
"Fenton Dr, King Creek",R5,7457 m²,"$620,000","$620,000",0.0%
"Abel Tasman Dr, Lake Cathie",R1,628.8 m²,"$448,000","$448,000",0.0%
"Chepana St, Lake Cathie",R1,546.3 m²,"$510,000","$535,000",4.9%
"Chepana St, Lake Cathie",R1,546.3 m²,"$850,000","$850,000",0.0%
"Forest Pkwy, Lake Cathie",R2,4000 m²,"$550,000","$550,000",0.0%
"Lakeside Way, Lake Cathie",C4,2254 m²,"$660,000","$660,000",0.0%
"Oxley St, Lake Cathie",R1,640.9 m²,"$530,000","$530,000",0.0%
"Sirius Dr, Lakewood",R1,679.3 m²,"$340,000","$340,000",0.0%
"Bass Ave, Laurieton",R1,718 m²,"$400,000","$400,000",0.0%
"Lee Pl, Logans Crossing",R5,1.328 ha,"$525,000","$525,000",0.0%
"Henry St, Long Flat",RU5,1202 m²,"$260,000","$260,000",0.0%
"Bayside Ave, North Haven",R1,568.4 m²,"$500,000","$500,000",0.0%
"Ackroyd St, Port Macquarie",R1,872.6 m²,"$500,000","$525,000",5.0%
"Ballina Cres, Port Macquarie",R1,669.7 m²,"$488,000","$488,000",0.0%
"Ballina Cres, Port Macquarie",R1,765.8 m²,"$1,050,000","$1,050,000",0.0%
"Bellevue Dr, Port Macquarie",R1,581.7 m²,"$440,000","$430,000",-2.3%
"Burrawan St, Port Macquarie",MU1,1006 m²,"$795,000","$829,000",4.3%
"Calwalla Cres, Port Macquarie",R1,585.28 m²,"$470,000","$470,000",0.0%
"Commodore Cres, Port Macquarie",R1,884.6 m²,"$1,250,000","$1,350,000",8.0%
"Eliza Cct, Port Macquarie",R1,608.2 m²,"$380,000","$380,000",0.0%
"Hastings Ave, Port Macquarie",R3,670.3 m²,"$540,000","$540,000",0.0%
"Home St, Port Macquarie",R1,689.2 m²,"$575,000","$550,000",-4.4%
"Links Cres, Port Macquarie",R2,4001 m²,"$1,320,000","$1,320,000",0.0%
"Lord St, Port Macquarie",R3,556.4 m²,"$800,000","$720,000",-10.0%
"Settlement Point Rd, Port Macquarie",R1,677.5 m²,"$650,000","$680,000",4.6%
"The Jib , Port Macquarie",R1,716 m²,"$370,000","$360,000",-2.7%
"Timber Rdge, Port Macquarie",C4,1934 m²,"$600,000","$600,000",0.0%
"Wallis St, Port Macquarie",R2,2205 m²,"$550,000","$550,000",0.0%
"Waterford Tce, Port Macquarie",R1,621.7 m²,"$430,000","$450,000",4.7%
"Wattle St, Port Macquarie",R3,569.1 m²,"$570,000","$570,000",0.0%
"William St, Port Macquarie",R4,891.6 m²,"$1,200,000","$1,100,000",-8.3%
"Banyule Pl, Sancrox",R5,1.272 ha,"$650,000","$650,000",0.0%
"Verdun Dr, Sancrox",R5,8000 m²,"$680,000","$680,000",0.0%
"Acacia Dr, Telegraph Point",R5,1.266 ha,"$400,000","$400,000",0.0%
"Rollands Plains Rd, Telegraph Point",RU5,942.2 m²,"$195,000","$195,000",0.0%
"Thrumster St, Thrumster",R1,3.238 ha,"$1,650,000","$1,650,000",0.0%
"Blackbutt Dr, Wauchope",R1,703 m²,"$295,000","$295,000",0.0%
"Eucalypts Cl, Wauchope",R2,4057 m²,"$350,000","$350,000",0.0%
"Young St, Wauchope",MU1,562.8 m²,"$350,000","$358,000",2.3%
"Warramunga Cl, West Haven",R1,767.8 m²,"$320,000","$320,000",0.0%
