Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Kellys Lane, Araluen",RU5,2466 m²,"$152,000","$190,000",25.0%
"Duncan St, Braidwood",MU1,1078 m²,"$273,000","$273,000",0.0%
"Maddrell Pl, Braidwood",R2,943 m²,"$408,000","$489,000",19.9%
"Ashby Dr, Bungendore",R2,1275 m²,"$562,000","$562,000",0.0%
"Hopkins St, Bungendore",R2,1006 m²,"$516,000","$516,000",0.0%
"Reardon Pl, Bungendore",R5,1.061 ha,"$859,000","$944,000",9.9%
"Rutledge St, Bungendore",R1,1808 m²,"$633,000","$633,000",0.0%
"Trucking Yard Lane, Bungendore",R2,7988 m²,"$826,000","$867,000",5.0%
"Blewitt Lane, Burra",C4,6.787 ha,"$851,000","$936,000",10.0%
"Mulga St, Captains Flat",RU5,680 m²,"$161,000","$177,000",9.9%
"Douglas Cl, Carwoola",C4,9.183 ha,"$955,000","$859,000",-10.1%
"Wanna Wanna Rd, Carwoola",C4,80.73 ha,"$2,600,000","$2,470,000",-5.0%
"Woodland Ave, Carwoola",R5,1.443 ha,"$873,000","$916,000",4.9%
"Beatty Cres, Crestwood",R2,696.9 m²,"$509,000","$509,000",0.0%
"Morton St, Crestwood",R2,4.047 ha,"$1,760,000","$1,760,000",0.0%
"Uriarra Rd, Crestwood",R3,994.2 m²,"$553,000","$580,000",4.9%
"Oxalis Cres, Environa",R1,375 m²,"$420,000","$420,000",0.0%
"Bambridge Pde, Googong",R1,467 m²,"$484,000","$484,000",0.0%
"Edward Dr, Googong",R1,1.242 ha,"$4,500,000","$4,500,000",0.0%
"Old Cooma Rd, Googong",R1,2.34 ha,"$484,000","$484,000",0.0%
"Tempe Cres, Googong",C4,1.014 ha,"$882,000","$882,000",0.0%
"Taylor Pl, Greenleigh",C4,6967 m²,"$867,000","$910,000",5.0%
"Acacia Dr, Jerrabomberra",R2,898.6 m²,"$653,000","$685,000",4.9%
"Benalla Ct, Jerrabomberra",C4,3443 m²,"$1,190,000","$1,150,000",-3.4%
"Coral Dr, Jerrabomberra",R3,3455 m²,"$1,200,000","$1,260,000",5.0%
"Halloran Dr, Jerrabomberra",R2,862.3 m²,"$621,000","$652,000",5.0%
"Waterfall Dr, Jerrabomberra",R2,1051 m²,"$892,000","$865,000",-3.0%
"Donald Rd, Karabar",R2,600.7 m²,"$453,000","$475,000",4.9%
"Laura Pl, Karabar",R2,600.7 m²,"$526,000","$474,000",-9.9%
"Seymour St, Majors Creek",RU5,3205 m²,"$311,000","$311,000",0.0%
"Budawang Rd, Mongarlowe",C4,13.28 ha,"$544,000","$544,000",0.0%
"Clyde St, Mongarlowe",RU5,3826.4 m²,"$153,000","$267,000",74.5%
"Nerriga Rd, Nerriga",RU5,3035 m²,"$39,000","$39,000",0.0%
"Collett St, Queanbeyan",R4,992.7 m²,"$683,000","$683,000",0.0%
"Crawford St, Queanbeyan",MU1,1617 m²,"$1,030,000","$1,030,000",0.0%
"Kathleen St, Queanbeyan",R2,626 m²,"$590,000","$619,000",4.9%
"Hybon Ave, Queanbeyan East",R2,973.8 m²,"$835,000","$876,000",4.9%
"Patrick Brick Ct, Queanbeyan East",R2,469.8 m²,"$480,000","$494,000",2.9%
"Crest Park Pde, Queanbeyan West",R2,848.2 m²,"$511,000","$511,000",0.0%
"Buckley Pl, Royalla",C4,2.966 ha,"$1,080,000","$1,080,000",0.0%
"Alderson Pl, Tralee",R2,85.494 ha,"$32,500,000","$32,500,000",0.0%
"Clare Valley Pl, Wamboin",C4,7.02 ha,"$915,000","$1,000,000",9.3%
