Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Albert St, Casino",R1,600.7 m²,"$140,000","$140,000",0.0%
"Canning Dr, Casino",R1,600 m²,"$225,000","$225,000",0.0%
"Canterbury St, Casino",R1,745.6 m²,"$210,000","$210,000",0.0%
"Fergusson St, Casino",R1,858.12 m²,"$210,000","$210,000",0.0%
"Frederick St, Casino",R1,2789 m²,"$240,000","$240,000",0.0%
"Lakeside Dr, Casino",R1,1161 m²,"$280,000","$280,000",0.0%
"Laurel Ave, Casino",R1,761.5 m²,"$210,000","$210,000",0.0%
"Light St, Casino",R1,607 m²,"$203,000","$203,000",0.0%
"Teak St, Casino",R1,702 m²,"$200,000","$200,000",0.0%
"Adams St, Coraki",RU5,2694 m²,"$200,000","$210,000",5.0%
"Minto St, Coraki",RU5,980.1 m²,"$80,000","$84,000",5.0%
"Richmond Tce, Coraki",RU5,1012 m²,"$115,000","$120,000",4.4%
"Surry St, Coraki",RU5,1012 m²,"$162,000","$162,000",0.0%
"Anson Ave, Evans Head",R1,828.4 m²,"$600,000","$615,000",2.5%
"Cassia St, Evans Head",R1,764.5 m²,"$550,000","$570,000",3.6%
"Cypress St, Evans Head",R1,986.4 m²,"$680,000","$700,000",2.9%
"Heath St, Evans Head",R1,809.4 m²,"$700,000","$725,000",3.6%
"Pacific Cres, Evans Head",R1,607 m²,"$750,000","$770,000",2.7%
"Brumby Pl, North Casino",R5,9188 m²,"$400,000","$400,000",0.0%
"Murray St, Rappville",RU5,1518 m²,"$45,000","$45,000",0.0%
"Hills Rd, Rileys Hill",RU5,1012 m²,"$295,000","$295,000",0.0%
"River St, Woodburn",RU5,705.1 m²,"$170,000","$179,000",5.3%
"Woodburn St, Woodburn",RU5,753.7 m²,"$218,000","$218,000",0.0%
