Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"River Ave, Chatswood West",R2,562.7 m²,"$1,280,000","$1,400,000",9.4%
"Marlow Ave, Denistone",R2,784.1 m²,"$1,850,000","$2,000,000",8.1%
"Darvall Rd, Denistone West",R2,524.8 m²,"$1,200,000","$1,370,000",14.2%
"Moncrieff Dr, East Ryde",R2,575.4 m²,"$1,590,000","$1,640,000",3.1%
"Edgar St, Eastwood",R2,663.9 m²,"$1,500,000","$1,620,000",8.0%
"Edgar St, Eastwood",R2,626 m²,"$2,300,000","$2,420,000",5.2%
"Rowe St, Eastwood",MU1,306.8 m²,"$3,650,000","$3,650,000",0.0%
"George St, Gladesville",R2,588.1 m²,"$2,100,000","$2,300,000",9.5%
"Pittwater Rd, Gladesville",R4,920.7 m²,"$3,000,000","$3,000,000",0.0%
"Shackel Ave, Gladesville",R2,626 m²,"$5,200,000","$5,750,000",10.6%
"The Strand , Gladesville",R2,550.1 m²,"$1,600,000","$1,710,000",6.9%
"Warner St, Gladesville",R2,562.8 m²,"$1,700,000","$1,920,000",12.9%
"Herring Rd, Macquarie Park",MU1,1094 m²,"$8,290,000","$8,290,000",0.0%
"Agincourt Rd, Marsfield",R2,582.9 m²,"$2,000,000","$2,000,000",0.0%
"Torrington Dr, Marsfield",R2,575.4 m²,"$1,500,000","$1,620,000",8.0%
"Macintosh St, Melrose Park",R2,577.81 m²,"$1,450,000","$1,620,000",11.7%
"Norfolk Way, North Ryde",R3,378.5 m²,"$1,100,000","$1,200,000",9.1%
"Trevitt Rd, North Ryde",R2,670.3 m²,"$2,050,000","$2,250,000",9.8%
"Truscott St, North Ryde",R2,556.4 m²,"$1,500,000","$1,600,000",6.7%
"Delange Rd, Putney",R2,594.4 m²,"$1,990,000","$2,130,000",7.0%
"Phillip Rd, Putney",R2,696.77 m²,"$2,700,000","$2,700,000",0.0%
"Edward St, Ryde",MU1,626.2 m²,"$2,350,000","$2,350,000",0.0%
"Greene Ave, Ryde",R2,638.6 m²,"$1,840,000","$1,980,000",7.6%
"Lardelli Dr, Ryde",R1,232.1 m²,"$1,050,000","$1,200,000",14.3%
"Quarry Rd, Ryde",R2,3802.5 m²,"$6,000,000","$6,000,000",0.0%
"Richard Johnson Cres, Ryde",R2,556.4 m²,"$1,570,000","$1,650,000",5.1%
"Woodbine Cres, Ryde",R2,480.6 m²,"$1,400,000","$1,550,000",10.7%
"Anzac Ave, West Ryde",MU1,3148 m²,"$9,000,000","$9,000,000",0.0%
"Bennett St, West Ryde",R2,601.98 m²,"$1,690,000","$1,850,000",9.5%
"Melville St, West Ryde",R2,494.69 m²,"$1,250,000","$1,450,000",16.0%
"West Pde, West Ryde",MU1,170.8 m²,"$980,000","$980,000",0.0%
