Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Bellinger Tce, Albion Park",R2,21.59 ha,"$6,000,000","$6,510,000",8.5%
"Cawdell Dr, Albion Park",R2,567 m²,"$500,000","$500,000",0.0%
"Chinchilla Way, Albion Park",R2,684.7 m²,"$490,000","$490,000",0.0%
"Ash Ave, Albion Park Rail",R2,556.4 m²,"$407,000","$410,000",0.7%
"Barrack Ave, Barrack Heights",R2,627.13 m²,"$680,000","$680,000",0.0%
"Woodlands Dr, Barrack Heights",R2,563 m²,"$490,000","$500,000",2.0%
"Honey Eater Dr, Blackbutt",R2,619.9 m²,"$550,000","$580,000",5.5%
"Borjeson Cct, Calderwood",MU1,399.2 m²,"$400,000","$420,000",5.0%
"Brotheridge Ave, Calderwood",R1,440.6 m²,"$460,000","$460,000",0.0%
"Bushranger Pde, Calderwood",R1,15.74 ha,"$11,100,000","$14,000,000",26.1%
"Berringer Way, Flinders",R2,640 m²,"$580,000","$590,000",1.7%
"St Ives Rd, Flinders",R2,500.8 m²,"$595,000","$605,000",1.7%
"Hayes Ave, Mount Warrigal",R2,556.4 m²,"$419,000","$480,000",14.6%
"Barton St, Oak Flats",R2,696.77 m²,"$595,000","$595,000",0.0%
"The Esplanade , Oak Flats",R2,663.9 m²,"$901,000","$960,000",6.6%
"Wentworth St, Oak Flats",R3,696.77 m²,"$612,000","$610,000",-0.3%
"Banks Dr, Shell Cove",R2,596.7 m²,"$750,000","$750,000",0.0%
"Capricorn Way, Shell Cove",R2,516.4 m²,"$690,000","$700,000",1.5%
"Mainsail Ave, Shell Cove",R3,341.8 m²,"$985,000","$985,000",0.0%
"Boollwarroo Pde, Shellharbour",R2,531.1 m²,"$2,300,000","$2,650,000",15.2%
"Eastern Ave, Shellharbour",R2,771.4 m²,"$1,040,000","$950,000",-8.7%
"Wattle Rd, Shellharbour",R2,1.511 ha,"$3,000,000","$3,300,000",10.0%
"Exeter Pl, Tullimbar",A,2.552 ha,"$4,020,000","$5,600,000",39.3%
"Huskisson St, Tullimbar",A,394.6 m²,"$415,000","$405,000",-2.4%
"Malua St, Tullimbar",R2,375 m²,"$430,000","$440,000",2.3%
"Antrim Ave, Warilla",R3,790.4 m²,"$504,000","$505,000",0.2%
"Bradman Ave, Warilla",R2,626 m²,"$435,000","$465,000",6.9%
"Stephanie Ave, Warilla",R3,550.1 m²,"$772,000","$750,000",-2.9%
"Cooby Rd, Yellow Rock Ridge",C4,6491 m²,"$900,000","$1,000,000",11.1%
"Johnstons Cl, Yellow Rock Ridge",R5,9358 m²,"$1,300,000","$1,340,000",3.1%
