Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Bells Lane, Badagarang",R1,2.342 ha,"$2,280,000","$2,280,000",0.0%
"Lancaster Dr, Badagarang",R1,501.9 m²,"$410,000","$400,000",-2.4%
"Burrandool Ave, Bangalee",R5,4423 m²,"$770,000","$770,000",0.0%
"Warrah Rd, Bangalee",R2,2 ha,"$2,100,000","$2,100,000",0.0%
"Basin View Pde, Basin View",R2,1119 m²,"$1,150,000","$1,150,000",0.0%
"Harriss Ave, Basin View",R2,1352 m²,"$870,000","$861,000",-1.0%
"Reserve Rd, Basin View",R2,1012 m²,"$435,000","$447,000",2.8%
"Malibu Dr, Bawley Point",RU5,708.2 m²,"$1,950,000","$1,950,000",0.0%
"Rosemary Ave, Bawley Point",RU5,607 m²,"$743,000","$743,000",0.0%
"Voyager Cres, Bawley Point",R2,4219 m²,"$761,000","$824,000",8.3%
"Wonnawong Pl, Bawley Point",R5,5467 m²,"$950,000","$904,000",-4.8%
"Belah Glen, Bendalong",R2,534.1 m²,"$1,570,000","$1,570,000",0.0%
"Boronia St, Bendalong",R2,588.1 m²,"$2,190,000","$2,190,000",0.0%
"Kirpson St, Berrara",R2,701.9 m²,"$560,000","$560,000",0.0%
"Berringer Cres, Berringer Lake",R2,670.3 m²,"$630,000","$619,000",-1.8%
"Kangaroo Valley Rd, Berry",R5,5296 m²,"$1,720,000","$1,560,000",-9.3%
"North St, Berry",R3,897.9 m²,"$1,090,000","$1,090,000",0.0%
"Parker Cres, Berry",R1,669.7 m²,"$987,000","$930,000",-5.8%
"Victoria St, Berry",R2,626 m²,"$1,220,000","$1,100,000",-9.8%
"Dalwah St, Bomaderry",R3,809.4 m²,"$425,000","$382,000",-10.1%
"Monk Cres, Bomaderry",R2,622.3 m²,"$380,000","$323,000",-15.0%
"Tarawara St, Bomaderry",R1,806.8 m²,"$375,000","$371,000",-1.1%
"Bundewallah Rd, Bundewallah",C4,1.466 ha,"$1,650,000","$1,810,000",9.7%
"Como Ave, Burrill Lake",R1,630 m²,"$548,000","$548,000",0.0%
"Mcdonald Pde, Burrill Lake",R2,411 m²,"$1,820,000","$1,230,000",-32.4%
"Woodlawn Ave, Burrill Lake",R2,556.4 m²,"$514,000","$475,000",-7.6%
"Chapman St, Callala Bay",R2,809.4 m²,"$635,000","$635,000",0.0%
"Huon St, Callala Bay",R1,708.8 m²,"$441,000","$465,000",5.4%
"Murray St, Callala Bay",R2,638.6 m²,"$1,890,000","$1,890,000",0.0%
"King George St, Callala Beach",R2,727.2 m²,"$741,000","$741,000",0.0%
"Quay Rd, Callala Beach",R2,929.5 m²,"$2,890,000","$3,300,000",14.2%
"Sandlewood Cove, Callala Beach",R1,557.7 m²,"$616,000","$770,000",25.0%
"Nooramunga Ave, Cambewarra Village",R2,999.1 m²,"$555,000","$530,000",-4.5%
"Esme St, Conjola Park",RU5,645 m²,"$408,000","$408,000",0.0%
"Wheatley Pl, Conjola Park",R5,1.092 ha,"$815,000","$815,000",0.0%
"Windemere Dr, Conjola Park",RU5,867.3 m²,"$1,080,000","$907,000",-16.0%
"Collier Dr, Cudmirrah",R2,733.5 m²,"$1,760,000","$1,580,000",-10.2%
"First Ave, Cudmirrah",R2,787.6 m²,"$512,000","$563,000",10.0%
"Goonawarra Dr, Cudmirrah",R2,910.5 m²,"$824,000","$824,000",0.0%
"Brighton Pde, Culburra Beach",R2,1031 m²,"$773,000","$775,000",0.3%
"Eastbourne Ave, Culburra Beach",R2,973.8 m²,"$1,400,000","$1,400,000",0.0%
"Penguins Head Rd, Culburra Beach",R2,866.3 m²,"$595,000","$625,000",5.0%
"The Lake Circuit , Culburra Beach",R3,929.5 m²,"$605,000","$570,000",-5.8%
"The Marina , Culburra Beach",R2,581.7 m²,"$1,750,000","$2,280,000",30.3%
"Austen St, Cunjurong Point",R2,884.9 m²,"$791,000","$791,000",0.0%
"Piscator Ave, Currarong",R2,423.7 m²,"$968,000","$1,000,000",3.3%
"Walton Way, Currarong",R2,645 m²,"$2,080,000","$2,080,000",0.0%
"Fairley St, Depot Beach",RU5,733.5 m²,"$1,300,000","$1,340,000",3.1%
"Highview Dr, Dolphin Point",R2,670.3 m²,"$846,000","$895,000",5.8%
"Seaside Pde, Dolphin Point",R2,607 m²,"$1,630,000","$1,630,000",0.0%
"Durras Rd, Durras North",RU5,2.332 ha,"$1,720,000","$1,720,000",0.0%
"Scott St, Durras North",RU5,663.9 m²,"$674,000","$674,000",0.0%
"King George St, Erowal Bay",R2,1012 m²,"$536,000","$536,000",0.0%
"Naval Pde, Erowal Bay",R2,1227 m²,"$1,210,000","$1,210,000",0.0%
"Watt Rd, Falls Creek",R5,2.4 ha,"$718,000","$700,000",-2.5%
"Anglers Pde, Fishermans Paradise",RU5,695.6 m²,"$552,000","$552,000",0.0%
"Wattle St, Fishermans Paradise",RU5,696.77 m²,"$377,000","$329,000",-12.7%
"Adelaide St, Greenwell Point",R2,959 m²,"$1,400,000","$1,650,000",17.9%
"Greens Rd, Greenwell Point",R2,616 m²,"$487,000","$460,000",-5.5%
"Greenwell Point Rd, Greenwell Point",R3,1214 m²,"$516,000","$500,000",-3.1%
"Haiser Rd, Greenwell Point",R2,600.7 m²,"$982,000","$1,090,000",11.0%
"Admiralty Cres, Huskisson",R2,1008.2 m²,"$3,160,000","$3,300,000",4.4%
"Calala St, Huskisson",R2,1284.75 m²,"$1,040,000","$1,010,000",-2.9%
"Currambene St, Huskisson",R3,670.3 m²,"$1,350,000","$1,080,000",-20.0%
"Cyrus St, Hyams Beach",R2,607 m²,"$2,210,000","$2,800,000",26.7%
"Hyam Rd, Hyams Beach",R2,834.7 m²,"$1,120,000","$1,220,000",8.9%
"Lister Ct, Hyams Beach",R1,282.2 m²,"$780,000","$820,000",5.1%
"Brooks Lane, Kangaroo Valley",RU5,1284 m²,"$860,000","$860,000",0.0%
"Jenanter Dr, Kangaroo Valley",R2,4054 m²,"$1,280,000","$1,280,000",0.0%
"Palisade Ct, Kangaroo Valley",R5,6218 m²,"$1,150,000","$1,150,000",0.0%
"Edward Ave, Kings Point",R2,651.3 m²,"$493,000","$424,000",-14.0%
"Kings Point Dr, Kings Point",R2,708.2 m²,"$779,000","$779,000",0.0%
"Murramarang Rd, Kioloa",RU5,714.5 m²,"$445,000","$428,000",-3.8%
"Panamuna Pl, Kioloa",RU5,867.3 m²,"$1,290,000","$1,290,000",0.0%
"Carroll Ave, Lake Conjola",RU5,645 m²,"$1,360,000","$1,080,000",-20.6%
"Garrad Way, Lake Conjola",RU5,651.6 m²,"$763,000","$686,000",-10.1%
"Lake Conjola Entrance Rd, Lake Conjola",RU5,828.3 m²,"$587,000","$570,000",-2.9%
"Prior St, Lake Conjola",RU5,809.4 m²,"$1,100,000","$1,080,000",-1.8%
"Oak Ave, Lake Tabourie",RU5,716 m²,"$557,000","$510,000",-8.4%
"Torquay Dr, Lake Tabourie",RU5,621.3 m²,"$451,000","$386,000",-14.4%
"Sunset Strip , Manyana",R2,556.4 m²,"$1,500,000","$1,680,000",12.0%
"The Battlement , Manyana",R2,556.4 m²,"$552,000","$552,000",0.0%
"Charles St, Milton",R2,861.2 m²,"$567,000","$573,000",1.1%
"Whatman Pl, Milton",R1,749.9 m²,"$555,000","$540,000",-2.7%
"Buckland St, Mollymook",R2,676.6 m²,"$761,000","$727,000",-4.5%
"Donlan Rd, Mollymook Beach",R2,728 m²,"$1,750,000","$1,550,000",-11.4%
"Mitchell Pde, Mollymook Beach",R2,733.5 m²,"$4,060,000","$3,500,000",-13.8%
"Catherine St, Myola",R2,834.7 m²,"$693,000","$625,000",-9.8%
"Catherine St, Myola",R2,885.2 m²,"$1,180,000","$1,060,000",-10.2%
"Matron Porter Dr, Narrawallee",R2,663.9 m²,"$2,100,000","$2,100,000",0.0%
"Ross Ave, Narrawallee",R2,556.4 m²,"$716,000","$609,000",-14.9%
"Ambassador Ave, North Nowra",R2,668.9 m²,"$405,000","$400,000",-1.2%
"Page Ave, North Nowra",R1,661.2 m²,"$356,000","$360,000",1.1%
"Centre St, Nowra",R1,910.5 m²,"$405,000","$420,000",3.7%
"Clipper Rd, Nowra",R2,681.9 m²,"$300,000","$315,000",5.0%
"Elia Ave, Nowra",R2,748.9 m²,"$515,000","$515,000",0.0%
"Elyard Dr, Nowra",R2,746.1 m²,"$330,000","$370,000",12.1%
"Graham St, Nowra",MU1,604.3 m²,"$580,000","$565,000",-2.6%
"Kinghorne St, Nowra",R3,588.6 m²,"$375,000","$400,000",6.7%
"Wallace St, Nowra",R1,626 m²,"$280,000","$300,000",7.1%
"Prentice Ave, Old Erowal Bay",R2,695.6 m²,"$394,000","$401,000",1.8%
"Ophir St, Orient Point",R2,1069 m²,"$468,000","$470,000",0.4%
"Orama Cres, Orient Point",R2,1138 m²,"$1,150,000","$950,000",-17.4%
"Corella Cres, Sanctuary Point",R1,575.8 m²,"$433,000","$409,000",-5.5%
"Ethel St, Sanctuary Point",R3,812.1 m²,"$565,000","$452,000",-20.0%
"Greville Ave, Sanctuary Point",R2,999.1 m²,"$870,000","$783,000",-10.0%
"Vickery Ave, Sanctuary Point",R2,771.4 m²,"$430,000","$390,000",-9.3%
"Davison Dr, Shoalhaven Heads",R2,636.6 m²,"$665,000","$598,000",-10.1%
"Hay Ave, Shoalhaven Heads",R2,1276 m²,"$2,450,000","$2,450,000",0.0%
"Jerry Bailey Rd, Shoalhaven Heads",R3,1524 m²,"$1,180,000","$1,180,000",0.0%
"River Rd, Shoalhaven Heads",R2,695.6 m²,"$1,350,000","$1,300,000",-3.7%
"Caladenia Cres, South Nowra",R1,650.7 m²,"$440,000","$410,000",-6.8%
"Lachlan Cres, St Georges Basin",R2,626 m²,"$800,000","$776,000",-3.0%
"Loralyn Ave, St Georges Basin",R2,1303 m²,"$1,280,000","$1,280,000",0.0%
"The Basin Road , St Georges Basin",R5,581.8 m²,"$375,000","$375,000",0.0%
"Turvey Cres, St Georges Basin",R2,658.2 m²,"$405,000","$400,000",-1.2%
"Advance Rd, Sussex Inlet",C4,8.047 ha,"$625,000","$700,000",12.0%
"Chichester Rd, Sussex Inlet",R1,630 m²,"$374,000","$374,000",0.0%
"Government Rd, Sussex Inlet",R2,815.7 m²,"$368,000","$368,000",0.0%
"Jacobs Dr, Sussex Inlet",R3,942.1 m²,"$424,000","$442,000",4.3%
"Jacobs Dr, Sussex Inlet",MU1,2017 m²,"$1,040,000","$1,040,000",0.0%
"Sussex Inlet Rd, Sussex Inlet",R5,3.466 ha,"$875,000","$875,000",0.0%
"Thora St, Sussex Inlet",R2,671.1 m²,"$891,000","$891,000",0.0%
"Tradewinds Ave, Sussex Inlet",R2,668.9 m²,"$392,000","$392,000",0.0%
"Yarroma Ave, Swanhaven",R2,733.5 m²,"$425,000","$412,000",-3.1%
"Kells Rd, Tomerong",RU5,1606 m²,"$560,000","$560,000",0.0%
"Brushbox Dr, Ulladulla",R1,786.2 m²,"$570,000","$524,000",-8.1%
"Church St, Ulladulla",R2,668.8 m²,"$505,000","$429,000",-15.1%
"Crescent St, Ulladulla",R3,1052 m²,"$1,020,000","$943,000",-7.6%
"Martin Ave, Ulladulla",R2,682.9 m²,"$620,000","$560,000",-9.7%
"Princes Hwy, Ulladulla",MU1,425.5 m²,"$960,000","$960,000",0.0%
"South Pacific Cres, Ulladulla",R2,600.7 m²,"$2,150,000","$1,520,000",-29.3%
"Thadalee Pl, Ulladulla",R2,782.7 m²,"$630,000","$621,000",-1.4%
"Turnbull Lane, Ulladulla",R5,8775 m²,"$965,000","$993,000",2.9%
"Argyle St, Vincentia",R1,663.9 m²,"$850,000","$850,000",0.0%
"Elizabeth Dr, Vincentia",R1,746.1 m²,"$2,630,000","$2,550,000",-3.0%
"Illfracombe Ave, Vincentia",R2,588 m²,"$2,080,000","$2,080,000",0.0%
"Miller St, Vincentia",R2,720.8 m²,"$732,000","$800,000",9.3%
"Cavanagh Lane, West Nowra",R1,638.3 m²,"$375,000","$375,000",0.0%
"Glenair Ave, West Nowra",R2,810 m²,"$355,000","$355,000",0.0%
"Woollamia Rd, Woollamia",RU5,1113 m²,"$562,000","$562,000",0.0%
"Bennett Pl, Worrigee",R5,1 ha,"$1,120,000","$855,000",-23.7%
"Flanagan Ct, Worrigee",R2,760 m²,"$425,000","$400,000",-5.9%
"Reid St, Wrights Beach",R2,1012 m²,"$1,400,000","$1,400,000",0.0%
"Wasshaven Cl, Wrights Beach",R2,702 m²,"$650,000","$643,000",-1.1%
