Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Chalker St, Adaminaby",RU5,1094 m²,"$159,000","$174,000",9.4%
"Denison St, Adaminaby",RU5,562.4 m²,"$59,700","$59,700",0.0%
"Old Cemetery Rd, Adaminaby",R5,73.351 ha,"$383,000","$478,000",24.8%
"Bent St, Berridale",RU5,1151 m²,"$358,000","$358,000",0.0%
"Dalgety Rd, Berridale",R5,8.573 ha,"$433,000","$541,000",24.9%
"Jindabyne Rd, Berridale",RU5,906.5 m²,"$385,000","$385,000",0.0%
"Evans St, Bibbenluke",RU5,4046 m²,"$101,000","$105,000",4.0%
"Alira Lane, Binjura",R5,4.052 ha,"$397,000","$397,000",0.0%
"Mittagang Rd, Binjura",C4,11.11 ha,"$401,000","$461,000",15.0%
"Mckeachie St, Bombala",R5,2.833 ha,"$201,000","$261,000",29.9%
"Wellington St, Bombala",R1,1012 m²,"$101,000","$101,000",0.0%
"Bunyan St, Bredbo",R5,2.023 ha,"$404,000","$545,000",34.9%
"Cooma St, Bredbo",RU5,2023 m²,"$249,000","$249,000",0.0%
"Captain Robertson Dr, Burra",R5,3.38 ha,"$610,000","$630,000",3.3%
"Eden St, Cathcart",RU5,4046 m²,"$48,100","$48,100",0.0%
"Bombala St, Cooma",MU1,250 m²,"$178,000","$178,000",0.0%
"Elizabeth St, Cooma",R2,827.5 m²,"$246,000","$253,000",2.9%
"Kiah Ave, Cooma",R2,11.77 ha,"$916,000","$916,000",0.0%
"Stratos Pl, Cooma",R2,755.7 m²,"$228,000","$239,000",4.8%
"Yongala Ct, Cooma",R1,803.5 m²,"$289,000","$289,000",0.0%
"Big Flat Rd, Craigie",RU5,7027.35 m²,"$75,100","$93,800",24.9%
"Snowy Mountains Hwy, Dairymans Plains",RU5,5078 m²,"$255,000","$255,000",0.0%
"Cooma St, Dalgety",R5,5.13 ha,"$330,000","$379,000",14.9%
"Rutherford St, Dalgety",RU5,2023 m²,"$236,000","$240,000",1.7%
"Bombala St, Delegate",RU5,1012 m²,"$41,700","$52,100",24.9%
"Alpensee Weg , East Jindabyne",RU5,800.8 m²,"$737,000","$773,000",4.9%
"Echidna Pl, East Jindabyne",R2,1316 m²,"$982,000","$1,030,000",4.9%
"Kanangra Cres, East Jindabyne",R5,2023 m²,"$1,130,000","$1,130,000",0.0%
"Carruthers Rd, Jindabyne",R5,2 ha,"$1,050,000","$1,150,000",9.5%
"Cobbon Cres, Jindabyne",R1,2.399 ha,"$2,620,000","$2,620,000",0.0%
"Gippsland St, Jindabyne",R1,1061 m²,"$937,000","$900,000",-4.0%
"Gippsland St, Jindabyne",R1,751.2 m²,"$1,100,000","$990,000",-10.0%
"Mitchell Cct, Jindabyne",R2,839.9 m²,"$810,000","$769,000",-5.1%
"Banksia Ave, Kalkite",RU5,806.3 m²,"$514,000","$514,000",0.0%
"Micalago Rd, Michelago",R5,13.38 ha,"$460,000","$644,000",40.0%
"Ryrie St, Michelago",RU5,3162 m²,"$439,000","$439,000",0.0%
"Clarke St, Nimmitabel",RU5,2023 m²,"$109,000","$130,000",19.3%
"Clarke St, Nimmitabel",R5,4.123 ha,"$201,000","$231,000",14.9%
"Beresford Rd, Numeralla",R5,14.16 ha,"$306,000","$345,000",12.8%
"Maclean St, Numeralla",RU5,3027 m²,"$103,000","$103,000",0.0%
"Clancy St, Old Adaminaby",RU5,879 m²,"$141,000","$197,000",39.7%
